Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES421	ES521	2	20000
ES421	ES521	3	20000
ES421	ES521	4	20000
ES421	ES521	5	20000
ES421	ES521	6	20000
ES421	ES521	7	20000
ES421	ES523	1	20000
ES421	ES523	2	20000
ES421	ES523	3	20000
ES421	ES523	4	20000
ES421	ES523	5	20000
ES421	ES523	6	20000
ES421	ES523	7	20000
ES421	ES614	1	20000
ES421	ES614	2	20000
ES421	ES614	3	20000
ES421	ES614	4	20000
ES421	ES614	5	20000
ES421	ES614	6	20000
ES421	ES614	7	20000
ES421	ES616	1	20000
ES421	ES616	2	20000
ES421	ES616	3	20000
ES421	ES616	4	20000
ES421	ES616	5	20000
ES421	ES616	6	20000
ES421	ES616	7	20000
ES421	ES620	1	20000
ES421	ES620	2	20000
ES421	ES620	3	20000
ES421	ES620	4	20000
ES421	ES620	5	20000
ES421	ES620	6	20000
ES421	ES620	7	20000
ES422	ES423	1	20000
ES422	ES423	2	20000
ES422	ES423	3	20000
ES422	ES423	4	20000
ES422	ES423	5	20000
ES422	ES423	6	20000
ES422	ES423	7	20000
ES422	ES425	1	20000
ES422	ES425	2	20000
ES422	ES425	3	20000
ES422	ES425	4	20000
ES422	ES425	5	20000
ES422	ES425	6	20000
ES422	ES425	7	20000
ES422	ES431	1	20000
ES422	ES431	2	20000
ES422	ES431	3	20000
ES422	ES431	4	20000
ES422	ES431	5	20000
ES422	ES431	6	20000
ES422	ES431	7	20000
ES422	ES613	1	20000
ES422	ES613	2	20000
ES422	ES613	3	20000
ES422	ES613	4	20000
ES422	ES613	5	20000
ES422	ES613	6	20000
ES422	ES613	7	20000
ES422	ES616	1	20000
ES422	ES616	2	20000
ES422	ES616	3	20000
ES422	ES616	4	20000
ES422	ES616	5	20000
ES422	ES616	6	20000
ES422	ES616	7	20000
ES423	ES424	1	20000
ES423	ES424	2	20000
ES423	ES424	3	20000
ES423	ES424	4	20000
ES423	ES424	5	20000
ES423	ES424	6	20000
ES423	ES424	7	20000
ES423	ES425	1	20000
ES423	ES425	2	20000
ES423	ES425	3	20000
ES423	ES425	4	20000
ES423	ES425	5	20000
ES423	ES425	6	20000
ES423	ES425	7	20000
ES423	ES523	1	20000
ES423	ES523	2	20000
ES423	ES523	3	20000
ES423	ES523	4	20000
ES423	ES523	5	20000
ES423	ES523	6	20000
ES423	ES523	7	20000
ES425	ES431	1	20000
ES425	ES431	2	20000
ES425	ES431	3	20000
ES425	ES431	4	20000
ES425	ES431	5	20000
ES425	ES431	6	20000
ES425	ES431	7	20000
ES425	ES432	1	20000
ES425	ES432	2	20000
ES425	ES432	3	20000
ES425	ES432	4	20000
ES425	ES432	5	20000
ES425	ES432	6	20000
ES425	ES432	7	20000
ES431	ES432	1	20000
ES431	ES432	2	20000
ES431	ES432	3	20000
ES431	ES432	4	20000
ES431	ES432	5	20000
ES431	ES432	6	20000
ES431	ES432	7	20000
ES431	ES613	1	20000
ES431	ES613	2	20000
ES431	ES613	3	20000
ES431	ES613	4	20000
ES431	ES613	5	20000
ES431	ES613	6	20000
ES431	ES613	7	20000
ES431	ES615	1	20000
ES431	ES615	2	20000
ES431	ES615	3	20000
ES431	ES615	4	20000
ES431	ES615	5	20000
ES431	ES615	6	20000
ES431	ES615	7	20000
ES431	ES618	1	20000
ES431	ES618	2	20000
ES431	ES618	3	20000
ES431	ES618	4	20000
ES431	ES618	5	20000
ES431	ES618	6	20000
ES431	ES618	7	20000
ES431	Portugal	1	20000
ES431	Portugal	2	20000
ES431	Portugal	3	20000
ES431	Portugal	4	20000
ES431	Portugal	5	20000
ES431	Portugal	6	20000
ES431	Portugal	7	20000
ES432	ES616	1	20000
ES432	ES616	2	20000
ES432	ES616	3	20000
ES432	ES616	4	20000
ES432	ES616	5	20000
ES432	ES616	6	20000
ES432	ES616	7	20000
