Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES242	HydroPumpStorage	3	0.0
ES242	HydroPumpStorage	4	0.0
ES242	HydroPumpStorage	5	0.0
ES242	HydroPumpStorage	6	0.0
ES242	HydroPumpStorage	7	0.0
ES242	Li-Ion_BESS	1	0.0
ES242	Li-Ion_BESS	2	0.0
ES242	Li-Ion_BESS	3	0.0
ES242	Li-Ion_BESS	4	0.0
ES242	Li-Ion_BESS	5	0.0
ES242	Li-Ion_BESS	6	0.0
ES242	Li-Ion_BESS	7	0.0
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	HydroPumpStorage	3	0.0
ES243	HydroPumpStorage	4	0.0
ES243	HydroPumpStorage	5	0.0
ES243	HydroPumpStorage	6	0.0
ES243	HydroPumpStorage	7	0.0
ES243	Li-Ion_BESS	1	0.0
ES243	Li-Ion_BESS	2	0.0
ES243	Li-Ion_BESS	3	0.0
ES243	Li-Ion_BESS	4	0.0
ES243	Li-Ion_BESS	5	0.0
ES243	Li-Ion_BESS	6	0.0
ES243	Li-Ion_BESS	7	0.0
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	HydroPumpStorage	3	0.0
ES300	HydroPumpStorage	4	0.0
ES300	HydroPumpStorage	5	0.0
ES300	HydroPumpStorage	6	0.0
ES300	HydroPumpStorage	7	0.0
ES300	Li-Ion_BESS	1	0.0
ES300	Li-Ion_BESS	2	0.0
ES300	Li-Ion_BESS	3	0.0
ES300	Li-Ion_BESS	4	0.0
ES300	Li-Ion_BESS	5	0.0
ES300	Li-Ion_BESS	6	0.0
ES300	Li-Ion_BESS	7	0.0
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	HydroPumpStorage	3	0.0
ES412	HydroPumpStorage	4	0.0
ES412	HydroPumpStorage	5	0.0
ES412	HydroPumpStorage	6	0.0
ES412	HydroPumpStorage	7	0.0
ES412	Li-Ion_BESS	1	0.0
ES412	Li-Ion_BESS	2	0.0
ES412	Li-Ion_BESS	3	0.0
ES412	Li-Ion_BESS	4	0.0
ES412	Li-Ion_BESS	5	0.0
ES412	Li-Ion_BESS	6	0.0
ES412	Li-Ion_BESS	7	0.0
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	HydroPumpStorage	3	0.0
ES413	HydroPumpStorage	4	0.0
ES413	HydroPumpStorage	5	0.0
ES413	HydroPumpStorage	6	0.0
ES413	HydroPumpStorage	7	0.0
ES413	Li-Ion_BESS	1	0.0
