ES111,ES112,ES113,ES120,ES213,ES230,ES241,ES243,ES413,ES415,ES418,ES419,ES425,ES431,ES432,ES511,ES512,ES513,ES514,ES523,ES613,ES614,ES615,ES616,ES617,ES618,FR,PT,time,hour,dayofweek,month,EU
0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.478764003,0.237678885,01/01/2015 10:00,10,3,1,0.3832722244918747
0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.493290656,0.248327915,01/01/2015 11:00,11,3,1,0.3743166246627284
0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.457712668,0.25781863,01/01/2015 12:00,12,3,1,0.3702492109777664
0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.42878247,0.204835033,01/01/2015 13:00,13,3,1,0.3774996871845832
0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.4207805,0.183686433,01/01/2015 14:00,14,3,1,0.3830541364823761
0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.415856211,0.123977133,01/01/2015 15:00,15,3,1,0.4096349205782058
0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.452788379,0.164667638,01/01/2015 16:00,16,3,1,0.4289769886283815
0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.557675736,0.315323394,01/01/2015 17:00,17,3,1,0.4328568096710441
0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.606426197,0.377984531,01/01/2015 18:00,18,3,1,0.4182968419535403
0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.59300751,0.372641333,01/01/2015 19:00,19,3,1,0.3957943833650707
0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.594607903,0.400590367,01/01/2015 20:00,20,3,1,0.370927481636449
0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.586482827,0.372305048,01/01/2015 21:00,21,3,1,0.3551584574712478
0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.54105626,0.396181295,01/01/2015 22:00,22,3,1,0.3426383031875769
0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.453650129,0.369988417,01/01/2015 23:00,23,3,1,0.3520786441717682
0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.391234765,0.274371334,01/02/2015 00:00,0,6,2,0.3332411762573896
0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.349132094,0.307813025,01/02/2015 01:00,1,6,2,0.3214548254604285
0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.343715376,0.180099391,01/02/2015 02:00,2,6,2,0.3158070500784718
0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.344577127,0.204909763,01/02/2015 03:00,3,6,2,0.3139850647518728
0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.352702204,0.222471322,01/02/2015 04:00,4,6,2,0.3213375572337236
0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.372153145,0.296043045,01/02/2015 05:00,5,6,2,0.3420697632244251
0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.393943124,0.363486904,01/02/2015 06:00,6,6,2,0.371364747135293
0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.451434199,0.325673504,01/02/2015 07:00,7,6,2,0.4025906286863765
0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.520004924,0.354369839,01/02/2015 08:00,8,6,2,0.4172406087777314
0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.560630309,0.397115421,01/02/2015 09:00,9,6,2,0.4086252710882538
0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.600763265,0.401711318,01/02/2015 10:00,10,6,2,0.4010468954831357
0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.608272806,0.431042858,01/02/2015 11:00,11,6,2,0.3909530676705908
0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.563461775,0.430669207,01/02/2015 12:00,12,6,2,0.3855579642118296
0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.496737659,0.426783246,01/02/2015 13:00,13,6,2,0.390671633452646
0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.490828512,0.449538542,01/02/2015 14:00,14,6,2,0.4020603525324445
0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.531084575,0.441953443,01/02/2015 15:00,15,6,2,0.4157430937201383
0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.601255694,0.424130329,01/02/2015 16:00,16,6,2,0.440968120975586
0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.672411671,0.522138774,01/02/2015 17:00,17,6,2,0.4417808912653604
0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.674750708,0.5442215,01/02/2015 18:00,18,6,2,0.434720668234374
0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.639418934,0.580615028,01/02/2015 19:00,19,6,2,0.397161323838656
0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.593499938,0.547173336,01/02/2015 20:00,20,6,2,0.3814430643571659
0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.594731011,0.538243097,01/02/2015 21:00,21,6,2,0.3730017069039103
0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.561122738,0.522661884,01/02/2015 22:00,22,6,2,0.3645785823794391
0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.552997661,0.369988417,01/02/2015 23:00,23,6,2,0.362985136264229
0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.497599409,0.219332661,01/03/2015 00:00,0,6,3,0.347276401867758
0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.458328204,0.206030714,01/03/2015 01:00,1,6,3,0.3367925789642422
0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.411793672,0.163845608,01/03/2015 02:00,2,6,3,0.3336202176941304
0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.378554721,0.152785562,01/03/2015 03:00,3,6,3,0.3319482822276403
0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.37018343,0.240443896,01/03/2015 04:00,4,6,3,0.3346750309203237
0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.382001724,0.250607182,01/03/2015 05:00,5,6,3,0.3436311464093073
0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.4105626,0.291783432,01/03/2015 06:00,6,6,3,0.3587896330001258
0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.471623784,0.332473938,01/03/2015 07:00,7,6,3,0.3786387730421259
0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.532684969,0.401935508,01/03/2015 08:00,8,6,3,0.3962178211918604
0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.57257171,0.443859059,01/03/2015 09:00,9,6,3,0.3976568705689801
0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.575526283,0.39509771,01/03/2015 10:00,10,6,3,0.3908283391739813
0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.579465715,0.378133991,01/03/2015 11:00,11,6,3,0.3873951988199979
0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.531577004,0.437208086,01/03/2015 12:00,12,6,3,0.3815596941444799
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.473470393,0.398946306,01/03/2015 13:00,13,6,3,0.3813111160431677
0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.424966146,0.359040466,01/03/2015 14:00,14,6,3,0.3892620705612058
0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.439000369,0.354145649,01/03/2015 15:00,15,6,3,0.4027081188457573
0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.501292626,0.373837014,01/03/2015 16:00,16,6,3,0.4377336088848446
0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.605933768,0.381758398,01/03/2015 17:00,17,6,3,0.4467231280498706
0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.609996307,0.379404402,01/03/2015 18:00,18,6,3,0.4343787298629108
0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.564077311,0.418450846,01/03/2015 19:00,19,6,3,0.4197991698530419
0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.546226764,0.441206143,01/03/2015 20:00,20,6,3,0.3942456040782243
0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.575649391,0.406232485,01/03/2015 21:00,21,6,3,0.384826574750587
0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.539332759,0.380712177,01/03/2015 22:00,22,6,3,0.3783687589042128
0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.507817309,0.308709786,01/03/2015 23:00,23,6,3,0.3638441645094863
0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.471623784,0.218846916,01/04/2015 00:00,0,2,4,0.3513131238218488
0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.440108334,0.2078616,01/04/2015 01:00,1,2,4,0.3427903047183639
0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.407854241,0.184172178,01/04/2015 02:00,2,2,4,0.3393466057655249
0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.405145882,0.14845122,01/04/2015 03:00,3,2,4,0.3417030900080079
0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.416102425,0.169338266,01/04/2015 04:00,4,2,4,0.3464993879193735
0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.428413148,0.186899824,01/04/2015 05:00,5,2,4,0.352004274286198
0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.459682383,0.239210851,01/04/2015 06:00,6,2,4,0.3659859953655681
0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.483072756,0.244927699,01/04/2015 07:00,7,2,4,0.3789057482836992
0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.523451927,0.250495087,01/04/2015 08:00,8,2,4,0.3914379453329752
0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.573925889,0.304898554,01/04/2015 09:00,9,2,4,0.4017022879987625
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.608642127,0.296341965,01/04/2015 10:00,10,2,4,0.4013928717335831
0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.613197095,0.263161828,01/04/2015 11:00,11,2,4,0.3994245414098835
0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.590052936,0.274632889,01/04/2015 12:00,12,2,4,0.394647617832534
0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.4785,0.577742213,0.239883421,01/04/2015 13:00,13,2,4,0.3916209398935251
0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.4975,0.563092454,0.237379965,01/04/2015 14:00,14,2,4,0.3969679573652631
