Node	Generator	Period	genInvCap
ES230	Lignite	2	3.827884375027902e-06
ES230	Solar	1	2.2620715682819537e-06
ES230	Solar	2	4.66045811257549e-07
ES230	Waste	1	0.00011391286620929935
ES230	Waste	2	4.021538325411123e-08
ES230	Windonshore	1	6.00639225467603e-07
ES230	Windonshore	2	6.034171743384805e-07
ES241	BioCCS	1	0.0
ES241	BioCCS	2	0.0
ES241	CoalCCS	1	0.0
ES241	CoalCCS	2	0.0
ES241	GasCCS	1	0.0
ES241	GasCCS	2	0.0
ES241	GasOCGT	1	1.7272773674035963e-07
ES241	GasOCGT	2	2.8939562268337224e-07
ES241	Hydroregulated	1	2.7442857231108064e-07
ES241	Hydroregulated	2	2.1713950428103486e-07
ES241	Hydrorun-of-the-river	1	1.586503799444472e-07
ES241	Hydrorun-of-the-river	2	2.5856448892213405e-07
ES241	Lignite	1	8.195735701631244e-06
ES241	Lignite	2	3.830252283339722e-06
ES241	Solar	1	587.9242318040341
ES241	Solar	2	1.462225084641112e-05
ES241	Waste	1	3.268124277802362e-05
ES241	Waste	2	4.1239240062097964e-08
ES241	Windonshore	1	4.390265075926436e-07
ES241	Windonshore	2	3.761906265439373e-07
ES242	BioCCS	1	0.0
ES242	BioCCS	2	0.0
ES242	CoalCCS	1	0.0
ES242	CoalCCS	2	0.0
ES242	GasCCGT	1	4.342634837238373e-09
ES242	GasCCGT	2	1.583052552739983e-08
ES242	GasCCS	1	0.0
ES242	GasCCS	2	0.0
ES242	GasOCGT	1	3.8977064536673756e-07
ES242	GasOCGT	2	3.886751132018574e-07
ES242	Lignite	1	8.200874427728994e-06
ES242	Lignite	2	3.858517256924346e-06
ES242	Solar	1	5.620256615657127e-07
ES242	Solar	2	8.37095187155315e-07
ES242	Waste	1	3.5923999601846095e-05
ES242	Waste	2	4.424223218879994e-08
ES242	Windonshore	1	7.599267064506421e-07
ES242	Windonshore	2	1.021883271800473e-06
ES243	BioCCS	1	0.0
ES243	BioCCS	2	0.0
ES243	CoalCCS	1	0.0
ES243	CoalCCS	2	0.0
ES243	GasCCGT	1	9.59791122853167e-07
ES243	GasCCGT	2	1.1208283315418239e-07
ES243	GasCCS	1	0.0
ES243	GasCCS	2	0.0
ES243	GasOCGT	1	5.799883092287292e-07
ES243	GasOCGT	2	1.1342141412544386e-06
ES243	Hydroregulated	1	4.444576688911184e-07
ES243	Hydroregulated	2	9.92879654745589e-08
ES243	Hydrorun-of-the-river	1	1.8308198690419886e-07
ES243	Hydrorun-of-the-river	2	6.753787762192966e-08
ES243	Lignite	1	8.229821903139008e-06
ES243	Lignite	2	3.83501063494399e-06
ES243	Solar	1	5.296237759466749e-07
ES243	Solar	2	2.7843597555492096e-06
ES243	Waste	1	3.898981680964973e-05
ES243	Waste	2	4.221141547904186e-08
ES243	Windonshore	1	1.2474993127398193e-07
ES243	Windonshore	2	8.829772160931867e-07
ES300	BioCCS	1	0.0
ES300	BioCCS	2	0.0
ES300	CoalCCS	1	0.0
ES300	CoalCCS	2	0.0
ES300	GasCCGT	1	3.652495644133199e-07
ES300	GasCCGT	2	3.9823274059712697e-07
ES300	GasCCS	1	0.0
ES300	GasCCS	2	0.0
ES300	GasOCGT	1	6.13013059749282e-08
ES300	GasOCGT	2	1.348493990001784e-07
ES300	Lignite	1	8.386928880648345e-06
ES300	Lignite	2	3.889447709854141e-06
ES300	Solar	1	1678.2859915671268
ES300	Solar	2	2.823462006272275e-07
ES300	Waste	1	0.0003320561410686581
ES300	Waste	2	4.050526421192281e-08
ES300	Windonshore	1	2.8041079502827415e-07
ES300	Windonshore	2	7.063294302609272e-08
ES412	BioCCS	1	0.0
ES412	BioCCS	2	0.0
ES412	CoalCCS	1	0.0
ES412	CoalCCS	2	0.0
ES412	GasCCGT	1	1.2587952191128986e-08
ES412	GasCCGT	2	1.502799272086472e-08
ES412	GasCCS	1	0.0
ES412	GasCCS	2	0.0
ES412	GasOCGT	1	1.4069461598105748e-06
ES412	GasOCGT	2	3.031929859321502e-07
ES412	Lignite	1	8.365123216787463e-06
ES412	Lignite	2	3.779545739826061e-06
ES412	Solar	1	2.0294695701750243e-08
ES412	Solar	2	4.2545161739736455e-08
ES412	Waste	1	0.00010654661693412295
ES412	Waste	2	4.03546277049362e-08
ES412	Windonshore	1	6.481661785073811e-07
ES412	Windonshore	2	2.9762205546297836e-06
ES413	Bio	1	3.939833773042354e-08
ES413	Bio	2	1.270882254704326e-06
ES413	BioCCS	1	0.0
ES413	BioCCS	2	0.0
ES413	CoalCCS	1	0.0
ES413	CoalCCS	2	0.0
ES413	GasCCS	1	0.0
ES413	GasCCS	2	0.0
ES413	GasOCGT	1	1.529492103709878e-07
ES413	GasOCGT	2	4.19008196372853e-07
ES413	Hydroregulated	1	2.8249758088350063e-07
ES413	Hydroregulated	2	2.2275446908347024e-07
ES413	Hydrorun-of-the-river	1	1.0161939911768059e-07
ES413	Hydrorun-of-the-river	2	2.4834371492443126e-07
ES413	Lignite	1	8.383379328206498e-06
ES413	Lignite	2	3.7681127684989046e-06
ES413	Solar	1	4.482893416479783e-07
ES413	Solar	2	1.0243492822579405e-06
ES413	Waste	1	1.0129425830760948e-05
ES413	Waste	2	3.5033681591849022e-06
ES413	Windonshore	1	6.334290105769469e-07
ES413	Windonshore	2	7.981406237128475e-07
ES414	BioCCS	1	0.0
ES414	BioCCS	2	0.0
ES414	CoalCCS	1	0.0
ES414	CoalCCS	2	0.0
ES414	GasCCGT	1	1.2840202178976292e-07
ES414	GasCCGT	2	7.580739563535067e-08
ES414	GasCCS	1	0.0
ES414	GasCCS	2	0.0
ES414	GasOCGT	1	1.3395253754534585e-06
ES414	GasOCGT	2	2.727734230224073e-07
ES414	Lignite	1	8.335937226648069e-06
ES414	Lignite	2	3.8151380235380655e-06
ES414	Solar	1	5.15320152771892e-07
ES414	Solar	2	7.105869572871883e-07
ES414	Waste	1	9.532951818273197e-05
ES414	Waste	2	4.0690225829810006e-08
ES414	Windonshore	1	2.236434283986455e-06
ES414	Windonshore	2	1.4210038444774566e-06
ES415	BioCCS	1	0.0
ES415	BioCCS	2	0.0
ES415	CoalCCS	1	0.0
ES415	CoalCCS	2	0.0
ES415	GasCCS	1	0.0
ES415	GasCCS	2	0.0
ES415	GasOCGT	1	6.4590538558255e-08
ES415	GasOCGT	2	7.316303006263474e-07
ES415	Hydroregulated	1	8.850247468217276e-08
ES415	Hydroregulated	2	5.5881929719212755e-08
ES415	Hydrorun-of-the-river	1	0.0
ES415	Hydrorun-of-the-river	2	0.0
ES415	Lignite	1	8.25981048729608e-06
ES415	Lignite	2	3.7393713960306826e-06
ES415	Solar	1	4.4485091166279744e-08
ES415	Solar	2	2.059511744365875e-07
ES415	Waste	1	4.8675217142450346e-05
ES415	Waste	2	4.13361356294316e-08
ES415	Windonshore	1	4.324028566315974e-07
ES415	Windonshore	2	2.3250541516601989e-07
ES416	BioCCS	1	0.0
ES416	BioCCS	2	0.0
ES416	CoalCCS	1	0.0
ES416	CoalCCS	2	0.0
ES416	GasCCS	1	0.0
ES416	GasCCS	2	0.0
ES416	GasOCGT	1	1.4278985520055749e-08
ES416	GasOCGT	2	7.991050002490514e-08
ES416	Lignite	1	8.421714649243281e-06
ES416	Lignite	2	4.002670482454406e-06
ES416	Solar	1	5.48351692941651e-08
ES416	Solar	2	5.798212770992575e-07
ES416	Waste	1	149.37929928359247
ES416	Waste	2	4.102557701162168e-08
ES416	Windonshore	1	4.4688371758638823e-07
ES416	Windonshore	2	7.491483757592817e-07
ES417	BioCCS	1	0.0
ES417	BioCCS	2	0.0
ES417	CoalCCS	1	0.0
ES417	CoalCCS	2	0.0
ES417	GasCCGT	1	8.254313676483549e-10
ES417	GasCCGT	2	2.716190525946516e-09
ES417	GasCCS	1	0.0
ES417	GasCCS	2	0.0
ES417	GasOCGT	1	8.628699223850826e-07
ES417	GasOCGT	2	3.0111523968515037e-07
ES417	Lignite	1	8.262019149474015e-06
ES417	Lignite	2	3.817791511027295e-06
ES417	Solar	1	3.80784825892988e-09
ES417	Solar	2	7.486423814125847e-08
ES417	Waste	1	5.0137715372510434e-05
ES417	Waste	2	4.279054012268066e-08
ES417	Windonshore	1	4.3660475057549775e-07
ES417	Windonshore	2	1.1426071495619166e-06
ES418	BioCCS	1	0.0
ES418	BioCCS	2	0.0
ES418	CoalCCS	1	0.0
ES418	CoalCCS	2	0.0
ES418	GasCCGT	1	3.7998060546814194e-07
ES418	GasCCGT	2	1.9912347211623038e-07
