Node	Storage	Period	storPWInstalledCap
France	HydroPumpStorage	1	5049.000000000339
France	HydroPumpStorage	2	5049.000000873839
France	Li-Ion_BESS	1	7.550272403063278e-05
France	Li-Ion_BESS	2	0.0007563617699064115
Italy	HydroPumpStorage	1	7256.000000215696
Italy	HydroPumpStorage	2	7256.000000684148
Italy	Li-Ion_BESS	1	7.063441241704478e-05
Italy	Li-Ion_BESS	2	2130.618980643922
Portugal	HydroPumpStorage	1	2827.0000010319045
Portugal	HydroPumpStorage	2	2827.0000011359593
Portugal	Li-Ion_BESS	1	6.678647102277831e-05
Portugal	Li-Ion_BESS	2	0.001327918699696779
