Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES130,Solar,2020-2025,1.107693395938104e-05
ES130,Solar,2025-2030,7.883804713976713e-05
ES211,Solar,2020-2025,1.0742634495085375e-05
ES211,Solar,2025-2030,7.82971603941441e-05
ES212,Solar,2020-2025,0.0
ES212,Solar,2025-2030,0.0
ES213,Solar,2020-2025,0.0
ES213,Solar,2025-2030,0.0
ES220,Solar,2020-2025,1.1969321939375219e-05
ES220,Solar,2025-2030,0.00011324908407389692
ES230,Solar,2020-2025,1.1168297306342441e-05
ES230,Solar,2025-2030,8.725699883587758e-05
ES241,Solar,2020-2025,1.1312214450440258e-05
ES241,Solar,2025-2030,8.563216886392714e-05
ES242,Solar,2020-2025,1.2958649195473678e-05
ES242,Solar,2025-2030,0.00012263357377346955
ES243,Solar,2020-2025,1.2681239166649741e-05
ES243,Solar,2025-2030,0.00012136151586049758
ES300,Solar,2020-2025,1.1692892268734785e-05
ES300,Solar,2025-2030,9.864195433492664e-05
ES412,Solar,2020-2025,1.022630991952015e-05
ES412,Solar,2025-2030,7.402658119566664e-05
ES413,Solar,2020-2025,1.2054651524853087e-05
ES413,Solar,2025-2030,0.00010702859929527419
ES414,Solar,2020-2025,1.1987212453869209e-05
ES414,Solar,2025-2030,9.971881872078002e-05
ES415,Solar,2020-2025,1.2457433874182607e-05
ES415,Solar,2025-2030,0.00010741440052681178
ES416,Solar,2020-2025,1.247200230706156e-05
ES416,Solar,2025-2030,0.00011691723266260223
ES417,Solar,2020-2025,1.1380692444691294e-05
ES417,Solar,2025-2030,8.470127962966717e-05
ES418,Solar,2020-2025,1.2516584742499916e-05
ES418,Solar,2025-2030,0.00012259454830694332
ES419,Solar,2020-2025,1.2581610170455918e-05
ES419,Solar,2025-2030,0.00011451761328447487
ES421,Solar,2020-2025,1.3155833643273443e-05
ES421,Solar,2025-2030,0.00013068739981053469
ES422,Solar,2020-2025,1.3327199033960548e-05
ES422,Solar,2025-2030,0.0001569625151150821
ES423,Solar,2020-2025,1.2954512559081058e-05
ES423,Solar,2025-2030,0.00013354523867978625
ES424,Solar,2020-2025,1.2621539209680649e-05
ES424,Solar,2025-2030,0.00012286764764941148
ES425,Solar,2020-2025,1.2293550922386098e-05
ES425,Solar,2025-2030,0.00011088251327303727
ES431,Solar,2020-2025,1.3571097488850364e-05
ES431,Solar,2025-2030,0.00014839487305413245
ES432,Solar,2020-2025,1.287728832736502e-05
ES432,Solar,2025-2030,0.0001306118450126106
ES511,Solar,2020-2025,1.123406143992821e-05
ES511,Solar,2025-2030,9.022114151864414e-05
ES512,Solar,2020-2025,1.0194535962893698e-05
ES512,Solar,2025-2030,7.480003647583256e-05
ES513,Solar,2020-2025,1.2344732530493358e-05
ES513,Solar,2025-2030,0.00011556614204272083
ES514,Solar,2020-2025,1.1833647627658847e-05
ES514,Solar,2025-2030,9.798698369319809e-05
ES521,Solar,2020-2025,1.314648767848764e-05
ES521,Solar,2025-2030,0.00029289629716651623
ES522,Solar,2020-2025,1.184680132645625e-05
ES522,Solar,2025-2030,0.00010600226011519458
ES523,Solar,2020-2025,1.2726923301725006e-05
ES523,Solar,2025-2030,0.0001262283497987249
ES532,Solar,2020-2025,1.2467411307115135e-05
ES532,Solar,2025-2030,0.00013691801524336048
ES611,Solar,2020-2025,1.336950912231515e-05
ES611,Solar,2025-2030,0.4795793966983547
ES612,Solar,2020-2025,1.3628619607985439e-05
ES612,Solar,2025-2030,0.0001963529749267704
ES613,Solar,2020-2025,1.2641925692752908e-05
ES613,Solar,2025-2030,0.0001396872988360454
ES614,Solar,2020-2025,1.3248466922751849e-05
ES614,Solar,2025-2030,0.0004739085908148624
ES615,Solar,2020-2025,1.3176231487055435e-05
ES615,Solar,2025-2030,0.00013242853491632423
ES616,Solar,2020-2025,1.1679205170051607e-05
ES616,Solar,2025-2030,0.00011361116774191032
ES617,Solar,2020-2025,1.1929385452467415e-05
ES617,Solar,2025-2030,0.00016387461195234556
ES618,Solar,2020-2025,1.3634960602339528e-05
ES618,Solar,2025-2030,0.00017984443997807182
ES620,Solar,2020-2025,1.3425078932062115e-05
ES620,Solar,2025-2030,0.0004901730593300947
EU,Solar,2020-2025,8.837898447374825e-06
EU,Solar,2025-2030,0.00010174047741950897
France,Solar,2020-2025,1.546805873314707e-05
France,Solar,2025-2030,4.3591052231122114e-05
Italy,Solar,2020-2025,1.739189142004668e-05
Italy,Solar,2025-2030,542.7532323012468
Portugal,Solar,2020-2025,1.4181696006606878e-05
Portugal,Solar,2025-2030,0.00016503429212878779
