FromNode	ToNode	Period	transmisionInvCap
ES300	ES423	1	7.708767952863127e-07
ES300	ES423	2	3.5747984814675987e-07
ES300	ES424	1	3.266029125370551e-06
ES300	ES424	2	2.4885474141092992e-06
ES300	ES425	1	2.5697700039017946e-06
ES300	ES425	2	6.310072038964823e-07
ES300	ES432	1	1.043461452354677e-06
ES300	ES432	2	8.132956895351115e-06
ES412	ES414	1	6.537988156196661e-06
ES412	ES414	2	3.4633827841967268e-06
ES412	ES416	1	0.00031793197752130915
ES412	ES416	2	4.102471245616397
ES412	ES417	1	0.0002782762293774366
ES412	ES417	2	1.492332506936015e-06
ES412	ES418	1	0.0001530898544523953
ES412	ES418	2	0.00012220011984574245
ES413	ES414	1	6.4252735683112405e-06
ES413	ES414	2	5.956550528075146e-06
ES413	ES418	1	5.635819434246514e-06
ES413	ES418	2	5.046943590124706e-06
ES413	ES419	1	3.596823262341786e-06
ES413	ES419	2	7.908035170879324e-06
ES414	ES415	1	2.6013367460109293e-08
ES414	ES415	2	1.316904611152915e-08
ES414	ES418	1	6.2049530242802575e-06
ES414	ES418	2	3.543620711048833e-06
ES415	ES418	1	0.00019345671920184557
ES415	ES418	2	8.347487334159008e-05
ES415	ES419	1	2.5875178835121915e-06
ES415	ES419	2	5.692015885042413e-06
ES415	ES432	1	2.763188604149036e-06
ES415	ES432	2	3.2631770600984135e-06
ES415	Portugal	1	0.0
ES415	Portugal	2	0.0
ES416	ES417	1	0.0003957925440854594
ES416	ES417	2	0.0005814651927050573
ES416	ES418	1	7.194505997176748e-06
ES416	ES418	2	5.993897336262614e-06
ES416	ES424	1	0.00033739431367394785
ES416	ES424	2	0.0005346966277134254
ES417	ES418	1	3.937686187782674e-06
ES417	ES418	2	4.8620393532502535e-06
ES417	ES424	1	0.000206148112536957
ES417	ES424	2	4.419185347079342e-05
ES418	ES419	1	1.0955611287499778e-05
ES418	ES419	2	1.118322667641237e-05
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES421	ES422	1	2.3445811621058965e-06
ES421	ES422	2	3.448156402230882e-06
ES421	ES423	1	2.41829184233211e-07
ES421	ES423	2	8.718525374442564e-08
ES421	ES521	1	2.788830443023471e-06
ES421	ES521	2	1.7583511039320631e-06
ES421	ES523	1	1.484004542362527e-06
ES421	ES523	2	2.362913033643259e-06
ES421	ES614	1	0.00018974939603025843
ES421	ES614	2	8.735488729295722e-05
ES421	ES616	1	0.0001766316799069251
ES421	ES616	2	3.238063429694995e-06
ES421	ES620	1	2.9816883397870697e-06
ES421	ES620	2	3.778788373928828e-06
ES422	ES423	1	0.00011321510514213348
ES422	ES423	2	4.1420369992632194e-05
ES422	ES425	1	7.808369673512061e-06
ES422	ES425	2	1.1160967156129013e-05
ES422	ES431	1	4.520650691119954e-06
ES422	ES431	2	8.091190725790141e-08
ES422	ES613	1	2.820090912791784e-06
ES422	ES613	2	2.109159199967353e-08
ES422	ES616	1	5.814049472974148e-06
ES422	ES616	2	1.8703319442124422e-06
ES423	ES424	1	4.975390311301453e-06
ES423	ES424	2	3.286035430550677e-06
ES423	ES425	1	0.00010908664520960828
ES423	ES425	2	3.3484256638937633e-05
ES423	ES523	1	4.6664463297929615e-06
ES423	ES523	2	3.028138138435764e-06
ES425	ES431	1	0.0001009390007144413
ES425	ES431	2	2.240307119725597e-05
ES425	ES432	1	2.6882153179030865e-06
ES425	ES432	2	2.2845418371951806e-07
ES431	ES432	1	6.604901500395499e-06
ES431	ES432	2	2.2893387229837428e-07
ES431	ES613	1	0.00015261017477858073
ES431	ES613	2	2.05203462987108e-05
ES431	ES615	1	0.00016808889283841675
ES431	ES615	2	3.1606745492838185e-05
ES431	ES618	1	4.2360989027656615e-07
