ES111,ES112,ES113,ES120,ES213,ES241,ES243,ES413,ES415,ES419,ES425,ES431,ES432,ES512,ES513,ES514,ES523,ES617,FR,PT,time,EU
136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,136.72222222222223,2536.0,593.6,11/02/2017 12:00,29862.338
141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,141.61111111111111,2722.0,653.5,11/02/2017 13:00,28692.135
102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,102.05555555555554,2441.0,629.7,11/02/2017 14:00,29496.25
102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,102.33333333333333,2108.0,733.2,11/02/2017 15:00,31120.655
109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,109.55555555555554,2706.0,740.6,11/02/2017 16:00,34603.119999999995
169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,169.77777777777777,3523.0,774.0,11/02/2017 17:00,37048.33500000001
268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,268.05555555555554,3575.0,1074.9,11/02/2017 18:00,35009.855
215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,2719.0,1061.1,11/02/2017 19:00,31158.175000000007
126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,126.77777777777777,2235.0,627.8,11/02/2017 20:00,29817.38
101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,101.38888888888889,1929.0,657.4,11/02/2017 21:00,27672.020000000004
