Timestep,Import_FR_MW,Import_PT_MW
409,9652.894218072686,-3519.7967822302544
410,9652.894218072686,-563.3203125876807
411,9652.894218072686,-563.3203125876807
412,9652.894218072686,-2325.5647331959008
413,9652.894218072686,-2325.5647331959008
414,9652.894218072686,-1565.2856777461457
415,9652.894218072686,-1565.2856777461457
416,9652.894218072686,-1133.078154256782
417,9652.894218072686,-1133.078154256782
418,9122.094866870024,909.5845939426617
419,9122.094866870024,909.5845939426617
420,3143.8578240902098,1737.2000913025458
421,3143.8578240902098,1737.2000913025458
422,6779.1729685883265,923.1205361223019
423,6779.1729685883265,923.1205361223019
424,9652.894218072686,-2000.4153456671647
425,9652.894218072686,-2000.4153456671647
426,9652.894218072686,-535.8993077811156
427,9652.894218072686,-535.8993077811156
428,9652.894218072686,-654.1712588295777
429,9652.894218072686,-654.1712588295777
430,9652.894218072686,-592.3568771974005
431,9652.894218072686,-592.3568771974005
432,9652.894218072686,-558.8649345003632
433,9652.894218072686,-558.8649345003632
434,9652.894218072686,369.8633215776481
435,9652.894218072686,369.8633215776481
436,9652.894218072686,-1654.061133845069
437,9652.894218072686,-1654.061133845069
438,9652.894218072686,-1340.2615487446983
439,9652.894218072686,-1340.2615487446983
440,4491.660354195837,273.07826763941375
441,4491.660354195837,273.07826763941375
442,7370.4729826795165,-533.5895660421975
443,7370.4729826795165,-533.5895660421975
444,2382.759955818914,-44.14197567508563
445,2382.759955818914,-44.14197567508563
446,6273.66607261901,-1125.0884316514184
447,6273.66607261901,-1125.0884316514184
448,2332.0204646756974,-442.82882771860204
449,2332.0204646756974,-442.82882771860204
450,9652.894218072686,-2655.5424777557255
451,9652.894218072686,-2655.5424777557255
452,9652.894218072686,-3350.0478705422247
453,9652.894218072686,-3350.0478705422247
454,9652.894218072686,-1780.5905469699828
455,9652.894218072686,-1780.5905469699828
456,9652.894218072686,-3880.070111303603
457,9652.894218072686,-3880.070111303603
458,9652.894218072686,694.7623513016788
459,9652.894218072686,694.7623513016788
460,9652.894218072686,-874.9728173974217
461,9652.894218072686,-874.9728173974217
462,9652.894218072686,-2388.7754997013653
463,9652.894218072686,-2388.7754997013653
464,9652.894218072686,-2129.039386041466
465,9652.894218072686,-2129.039386041466
466,1190.0003503678254,203.94665708177308
467,1190.0003503678254,203.94665708177308
468,-4580.219088000469,1059.2535697963776
469,-4580.219088000469,1059.2535697963776
470,-4128.509530033285,2522.6110730950804
471,-4128.509530033285,2522.6110730950804
472,-5301.505064067724,95.44649993570965
473,-5301.505064067724,95.44649993570965
474,9652.894218072686,-2892.6916268188033
475,9652.894218072686,-2892.6916268188033
476,9652.894218072686,-1419.7833875228753
477,9652.894218072686,-1419.7833875228753
478,9652.894218072686,-931.4556810648992
479,9652.894218072686,-931.4556810648992
480,9652.894218072686,-689.7059426708074
481,9652.894218072686,-689.7059426708074
482,9652.894218072686,-933.4239053179499
483,9652.894218072686,-933.4239053179499
484,9652.894218072686,-3067.454631877965
485,9652.894218072686,-3067.454631877965
486,5617.050424827707,-2047.764144237084
487,5617.050424827707,-2047.764144237084
488,-6460.318139741252,1033.1679756895774
489,-6460.318139741252,1033.1679756895774
490,-9652.894218072686,614.0401275829681
491,-9652.894218072686,614.0401275829681
492,-7369.405921288691,865.8262878846035
493,-7369.405921288691,865.8262878846035
494,-4518.662232613735,-181.13931884951853
495,-4518.662232613735,-181.13931884951853
496,-3507.5539226047767,-2437.6722577976107
497,-3507.5539226047767,-2437.6722577976107
498,4942.640176642647,-3537.1805040964264
499,4942.640176642647,-3537.1805040964264
500,9652.894218072686,-4144.676678234069
501,9652.894218072686,-4144.676678234069
502,9652.894218072686,-3670.877077775858
503,9652.894218072686,-3670.877077775858
504,9541.857474894561,-946.6247082708633
505,9541.857474894561,-946.6247082708633
506,5970.8351714070595,796.7023743055033
507,5970.8351714070595,796.7023743055033
508,1010.5735589960041,-3512.3931703672806
509,1010.5735589960041,-3512.3931703672806
510,415.5299947743788,-2237.8406616256525
511,415.5299947743788,-2237.8406616256525
512,3701.123664733559,1065.5684283107694
513,3701.123664733559,1065.5684283107694
514,-8549.118837499855,3352.242918252259
515,-8549.118837499855,3352.242918252259
516,-9652.894218072686,1966.6092540549853
517,-9652.894218072686,1966.6092540549853
518,-9652.894218072686,3085.2174836538234
519,-9652.894218072686,3085.2174836538234
520,-8527.908933456582,534.8994545513324
521,-8527.908933456582,534.8994545513324
522,1841.989538185112,1106.2522660041195
523,1841.989538185112,1106.2522660041195
524,7415.4024164430375,-1651.513130891084
525,7415.4024164430375,-1651.513130891084
526,6435.8574132698905,113.65259231602249
527,6435.8574132698905,113.65259231602249
528,9288.543007875436,-1539.3392238412835
529,9288.543007875436,-1539.3392238412835
530,9652.894218072686,-1458.4261298749116
531,9652.894218072686,-1458.4261298749116
532,1846.2755070285411,-3332.3047901174104
533,1846.2755070285411,-3332.3047901174104
534,-4507.662869868613,1824.1214139245658
535,-4507.662869868613,1824.1214139245658
536,-1654.2301083069742,1331.7121621129827
537,-1654.2301083069742,1331.7121621129827
