Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
48,2.4215130000000005e6,5.057096089655816e6,0.0,0.0,0.0,0.0
49,2.4220510000000005e6,5.058221483328948e6,0.0,0.0,0.0,0.0
50,2.4225890000000005e6,5.05934687700208e6,0.0,0.0,0.0,0.0
51,2.4228895000000005e6,5.060200688069795e6,0.0,0.0,0.0,0.0
52,2.4231900000000005e6,5.061054499137511e6,0.0,0.0,0.0,0.0
53,2.4235790000000005e6,5.062109206927041e6,0.0,0.0,0.0,0.0
54,2.4239680000000005e6,5.063163914716572e6,0.0,0.0,0.0,0.0
55,2.4250205000000005e6,5.065763171067961e6,0.0,0.0,0.0,0.0
56,2.4260730000000005e6,5.068362427419349e6,0.0,0.0,0.0,0.0
57,2.4279080000000005e6,5.072588699196797e6,0.0,0.0,0.0,0.0
58,2.4297430000000005e6,5.076814970974246e6,0.0,0.0,0.0,0.0
59,2.4312260000000005e6,5.081113788790128e6,0.0,0.0,0.0,0.0
60,2.4327090000000005e6,5.08541260660601e6,0.0,0.0,0.0,0.0
61,2.4337355000000005e6,5.087648512713622e6,0.0,0.0,0.0,0.0
62,2.4347620000000005e6,5.089884418821233e6,0.0,0.0,0.0,0.0
63,2.4356710000000005e6,5.091030894249124e6,0.0,0.0,0.0,0.0
64,2.4365800000000005e6,5.092177369677015e6,0.0,0.0,0.0,0.0
65,2.4388430000000005e6,5.093738659632357e6,0.0,0.0,0.0,0.0
66,2.4411060000000005e6,5.0952999495877e6,0.0,0.0,0.0,0.0
67,2.4433420000000005e6,5.097918427539015e6,0.0,0.0,0.0,0.0
68,2.4455780000000005e6,5.100536905490331e6,0.0,0.0,0.0,0.0
69,2.4485855000000005e6,5.103815738406873e6,0.0,0.0,0.0,0.0
70,2.4515930000000005e6,5.107094571323415e6,0.0,0.0,0.0,0.0
71,2.4531005000000005e6,5.108634779523999e6,0.0,0.0,0.0,0.0
72,2.4546080000000005e6,5.110174987724584e6,0.0,0.0,0.0,0.0
73,2.4552440000000005e6,5.110974854302182e6,0.0,0.0,0.0,0.0
74,2.4558800000000005e6,5.11177472087978e6,0.0,0.0,0.0,0.0
75,2.4561655000000005e6,5.112540484618798e6,0.0,0.0,0.0,0.0
76,2.4564510000000005e6,5.113306248357817e6,0.0,0.0,0.0,0.0
77,2.4567860000000005e6,5.114202842986659e6,0.0,0.0,0.0,0.0
78,2.4571210000000005e6,5.115099437615502e6,0.0,0.0,0.0,0.0
79,2.4576850000000005e6,5.116386044707375e6,0.0,0.0,0.0,0.0
80,2.4582490000000005e6,5.117672651799248e6,0.0,0.0,0.0,0.0
81,2.4592470000000005e6,5.119408176257152e6,0.0,0.0,0.0,0.0
82,2.4602450000000005e6,5.121143700715058e6,0.0,0.0,0.0,0.0
