Timestep,a_0,a_1,b
2,-12.382226851151788,-44.901711583858955,3.887554392917948e9
2,-12.383357337756658,-44.872060289893284,3.88744963489874e9
2,-12.383664792131894,-44.102355540483416,3.8841081962020116e9
2,-12.408866241675378,-45.05738152412312,3.888610600060619e9
2,-12.415257591208249,-41.609213394844666,3.8744856498169756e9
2,-12.390604798629086,-44.287711814475415,3.8856325668987412e9
2,-12.41608551598171,-40.410831303139204,3.869306063867966e9
2,-12.389748528071559,-44.658952393424435,3.8870990654908257e9
2,-12.40148977617885,-41.948610215899606,3.875926232880309e9
2,-12.40111319316789,-45.58036377221295,3.8933263316641e9
2,-12.361174734758194,-42.93638753813015,3.881400119899483e9
2,-12.411567956589792,-42.03951139082946,3.8797936470904603e9
2,-12.40333844574851,-42.30851213311564,3.8814797045893154e9
2,-12.40333846888531,-42.332427450996306,3.881603299471121e9
2,-12.41119578086626,-44.079291088280264,3.889943659463205e9
2,-12.405431542049385,-44.0220679264854,3.889850410619815e9
2,-12.405466084440409,-44.175032810551855,3.890574670249053e9
2,-12.406035453228808,-44.3560832823645,3.8914044715474463e9
2,-12.41634877234882,-45.00375230654964,3.8945351951114335e9
2,-12.415135140000007,-45.003758050052475,3.8945229634259706e9
2,-12.2592261444265,-44.964129698266746,3.892664635432277e9
2,-12.207529309719343,-44.818256123591354,3.8916882761872587e9
2,-12.403144032414016,-44.99535989757723,3.894388939246053e9
2,-12.376296017482794,-44.946277429863706,3.893968898931708e9
2,-12.402301425468963,-43.850924159262654,3.8897435730373125e9
2,-12.421438553367636,-44.41314649887126,3.8926252579634194e9
2,-12.427560282388713,-43.62393007566196,3.889090435602758e9
2,-12.147815854157667,-44.21199469379193,3.8889781876930227e9
2,-12.309490201612856,-44.373155781122314,3.8914814900129104e9
2,-12.318980752716184,-43.72573501476071,3.888639895692308e9
2,-12.339192774348485,-44.50934981343834,3.8923922724339285e9
2,-12.372950124919768,-44.506938428431354,3.8927199638963804e9
2,-12.388634757089099,-44.53797529551616,3.8930321460524025e9
2,-12.382907286844608,-44.47420293435165,3.892733989454161e9
2,-12.387065654176588,-44.03487747129447,3.8907735149155912e9
2,-12.357244940793313,-43.398060270076165,3.888390062543625e9
2,-12.403451341318496,-43.69874907472376,3.891160757169509e9
2,-12.351455521590015,-43.72444457076892,3.8908176776442804e9
2,-12.405026885676811,-43.348526947224705,3.8899840763438263e9
2,-12.403228079314312,-43.98149292825818,3.8929403989520216e9
2,-12.403486356910005,-44.09195167510031,3.893509089347032e9
2,-12.403959910971132,-44.10945576408083,3.8936766956823115e9
2,-12.404095810723211,-44.135891007718435,3.893796575556694e9
2,-12.392252736630446,-43.73790023123083,3.891816041628852e9
2,-12.413862306863374,-44.54098881384163,3.8957045359583774e9
2,-12.406867044956897,-44.19493522259344,3.894165727761329e9
2,-12.419652096619387,-44.08726763340976,3.894444390518293e9
2,-12.415135140000007,-44.08745000226115,3.89439784208864e9
2,-12.117597819792834,-44.10218294999834,3.8913395532893305e9
2,-12.233623087951216,-44.096069975049986,3.8926867578273416e9
2,-12.256817333772142,-44.09572532024285,3.89298600480449e9
2,-12.297147559207218,-44.0944213489795,3.8934215026161594e9
2,-12.339597265335666,-44.09229802525331,3.893815328036321e9
2,-12.35493768692742,-44.09259514792641,3.8939653095080757e9
2,-12.384413427998119,-44.11555237393786,3.894321327079836e9
2,-12.406535245610185,-43.276880346261635,3.892057283760725e9
2,-12.403743847862504,-44.35507421775897,3.8975090299483433e9
2,-12.402698531588944,-44.35556029388857,3.8975049738939843e9
2,-12.40402661118722,-44.70476811216121,3.89913837760931e9
2,-12.404100920501918,-44.712938899930556,3.8991856158355184e9
2,-12.403341797793807,-44.75813806023519,3.8993848049371653e9
2,-12.40375503487313,-44.68709456640583,3.8990787768771143e9
2,-12.408108058222622,-44.64014654801329,3.8989803514218354e9
2,-12.410672966375117,-44.73095595933374,3.8994103328418994e9
2,-12.410527979348863,-44.803819868584526,3.8997879887325616e9
2,-12.41479031036815,-44.57017457411446,3.8990028803482447e9
2,-12.416916418925203,-44.04711502495811,3.8968397310055695e9
2,-12.415341875428586,-44.5981437803899,3.8991505263288527e9
2,-12.415135140000007,-44.04714038810416,3.896821854359453e9
2,-12.113571340414278,-44.03870824406375,3.893692340877371e9
2,-12.219657279044236,-44.030805570691896,3.8949553288256097e9
2,-12.314645695026588,-44.0465666285717,3.8959682103636966e9
2,-12.368572921239064,-44.04282091546275,3.896441891727737e9
2,-12.25344689124369,-44.42542142344633,3.896928606594226e9
2,-12.395007615007579,-44.04393704579888,3.8966695726502633e9
2,-12.397839629210265,-44.02502072021866,3.896600837727656e9
2,-12.297204376948471,-44.51938267354681,3.897820799396472e9
2,-12.39804916162023,-44.05829997209093,3.896760081313328e9
2,-12.394338059918336,-44.766407546490754,3.8999507794581494e9
2,-12.403600103671762,-44.12526595551846,3.8971287705733085e9
2,-12.389702989853697,-43.6765684227552,3.8952653845212383e9
2,-12.399408835065282,-42.666433286459785,3.8907019807197657e9
2,-12.387962368485162,-43.10730974807559,3.892674008356977e9
2,-12.415657666884433,-44.661186184012536,3.899869360511074e9
2,-12.411466327160715,-41.79944264261934,3.8869616997542973e9
2,-12.408571690180336,-42.39204771922627,3.8901017343131666e9
