Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
1866,3.575834829353775e6,1.0651776944782527e6,0.0,0.0,0.0,0.0
1867,3.576545295379228e6,1.0592601715398547e6,0.0,0.0,0.0,0.0
1868,3.577255761404681e6,1.0533426486014568e6,0.0,0.0,0.0,0.0
1869,3.579267261404681e6,1.0474251256630588e6,0.0,0.0,0.0,0.0
1870,3.581278761404681e6,1.0415076027246608e6,0.0,0.0,0.0,0.0
1871,3.582391761404681e6,1.0355900797862627e6,0.0,0.0,0.0,0.0
1872,3.583504761404681e6,1.0296725568478648e6,0.0,0.0,0.0,0.0
1873,3.584370761404681e6,1.0237550339094668e6,0.0,0.0,0.0,0.0
1874,3.585236761404681e6,1.0178375109710688e6,0.0,0.0,0.0,0.0
1875,3.585930761404681e6,1.0119199880326707e6,0.0,0.0,0.0,0.0
1876,3.586624761404681e6,1.0060024650942727e6,0.0,0.0,0.0,0.0
1877,3.587775261404681e6,1.0005976486293575e6,0.0,0.0,0.0,0.0
1878,3.588925761404681e6,995192.8321644422,0.0,0.0,0.0,0.0
1879,3.5900833807023405e6,989275.3092260442,0.0,0.0,0.0,0.0
1880,3.591241e6,983357.7862876462,0.0,0.0,0.0,0.0
1881,3.592619e6,979321.4684837451,0.0,0.0,0.0,0.0
1882,3.593997e6,975285.1506798442,0.0,0.0,0.0,0.0
1883,3.595072e6,976308.5977414462,0.0,0.0,0.0,0.0
1884,3.596147e6,977332.0448030483,0.0,0.0,0.0,0.0
1885,3.5972635e6,978355.4918646503,0.0,0.0,0.0,0.0
1886,3.59838e6,979378.9389262523,0.0,0.0,0.0,0.0
1887,3.59919e6,980402.3859878543,0.0,0.0,0.0,0.0
1888,3.6e6,981425.8330494564,0.0,0.0,0.0,0.0
1889,3.6e6,978439.4387433227,0.0,0.0,0.0,0.0
1890,3.6e6,975453.0444371891,0.0,0.0,0.0,0.0
1891,3.6e6,969535.5214987912,0.0,0.0,0.0,0.0
1892,3.6e6,963617.9985603931,0.0,0.0,0.0,0.0
1893,3.6e6,957700.475621995,0.0,0.0,0.0,0.0
1894,3.6e6,951782.9526835971,0.0,0.0,0.0,0.0
1895,3.6e6,945865.4297451992,0.0,0.0,0.0,0.0
1896,3.6e6,939947.9068068011,0.0,0.0,0.0,0.0
1897,3.6e6,934030.383868403,0.0,0.0,0.0,0.0
1898,3.6e6,928112.8609300051,0.0,0.0,0.0,0.0
1899,3.6e6,923843.6890094893,0.0,0.0,0.0,0.0
1900,3.6e6,919574.5170889733,0.0,0.0,0.0,0.0
1901,3.6e6,916596.5250359348,0.0,0.0,0.0,0.0
1902,3.6e6,913618.5329828962,0.0,0.0,0.0,0.0
1903,3.6e6,908844.4382820922,0.0,0.0,0.0,0.0
1904,3.6e6,904070.3435812882,0.0,0.0,0.0,0.0
1905,3.5966245e6,901641.9567059698,0.0,0.0,0.0,0.0
1906,3.593249e6,899213.5698306513,0.0,0.0,0.0,0.0
1907,3.5945405e6,900237.0168922533,0.0,0.0,0.0,0.0
1908,3.595832e6,901260.4639538553,0.0,0.0,0.0,0.0
1909,3.596749e6,902283.9110154574,0.0,0.0,0.0,0.0
1910,3.597666e6,903307.3580770594,0.0,0.0,0.0,0.0
