Timestep,Import_FR_MW,Import_PT_MW
345,-1803.170510851207,-2056.3979757063535
346,-6028.873809582836,-2603.650959177279
347,-6028.873809582836,-2603.650959177279
348,-9652.894209322214,-2172.993662088551
349,-9652.894209322214,-2172.993662088551
350,-6672.557594663973,-2782.5848686719964
351,-6672.557594663973,-2782.5848686719964
352,7599.046860449711,-4465.815610133737
353,7599.046860449711,-4465.815610133737
354,9652.894209322214,-1484.5883057040464
355,9652.894209322214,-1484.5883057040464
356,9652.894209322214,-2823.24141697087
357,9652.894209322214,-2823.24141697087
358,9652.894209322214,-937.783408145795
359,9652.894209322214,-937.783408145795
360,9652.894209322214,190.29853846744118
361,9652.894209322214,190.29853846744118
362,9652.894209322214,-2404.387960938753
363,9652.894209322214,-2404.387960938753
364,9652.894209322214,-3776.622951356285
365,9652.894209322214,-3776.622951356285
366,9652.894209322214,-1211.827287985816
367,9652.894209322214,-1211.827287985816
368,9652.894209322214,-2630.3155757827044
369,9652.894209322214,-2630.3155757827044
370,3007.490264214278,-4164.28026773684
371,3007.490264214278,-4164.28026773684
372,-4613.613008246937,-4194.750843492264
373,-4613.613008246937,-4194.750843492264
374,1672.583550344254,-4459.629968923104
375,1672.583550344254,-4459.629968923104
376,4798.5700247072855,-4501.094269669848
377,4798.5700247072855,-4501.094269669848
378,9652.894209322214,-4639.4957199860855
379,9652.894209322214,-4639.4957199860855
380,9652.894209322214,-5440.719622918177
381,9652.894209322214,-5440.719622918177
382,9652.894209322214,-3427.766443225946
383,9652.894209322214,-3427.766443225946
384,9652.894209322214,-4569.150039017522
385,9652.894209322214,-4569.150039017522
386,9652.894209322214,-1909.8501522382358
387,9652.894209322214,-1909.8501522382358
388,9652.894209322214,-4699.4502483583965
389,9652.894209322214,-4699.4502483583965
390,9652.894209322214,-134.64271461239514
391,9652.894209322214,-134.64271461239514
392,9652.894209322214,-3998.137786902271
393,9652.894209322214,-3998.137786902271
394,2876.6205865629563,-2811.779912051539
395,2876.6205865629563,-2811.779912051539
396,-9652.894209322214,-1698.9915266445823
397,-9652.894209322214,-1698.9915266445823
398,-3436.7733646806882,-2882.3509314379953
399,-3436.7733646806882,-2882.3509314379953
400,511.3390733149372,-4523.250951120275
401,511.3390733149372,-4523.250951120275
402,9652.894209322214,-3867.117472830547
403,9652.894209322214,-3867.117472830547
404,9652.894209322214,-5374.6770011655735
405,9652.894209322214,-5374.6770011655735
406,9652.894209322214,-4970.408273228839
407,9652.894209322214,-4970.408273228839
408,9652.894209322214,-4658.938844952261
409,9652.894209322214,-4658.938844952261
