Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
202,2.260017997095666e6,5.496115147749691e6,0.0,0.0,0.0,0.0
203,2.262311997095666e6,5.50010021945064e6,0.0,0.0,0.0,0.0
204,2.264605997095666e6,5.504085291151588e6,0.0,0.0,0.0,0.0
205,2.266472997095666e6,5.506828399476622e6,0.0,0.0,0.0,0.0
206,2.268339997095666e6,5.509571507801657e6,0.0,0.0,0.0,0.0
207,2.269806997095666e6,5.512077756411464e6,0.0,0.0,0.0,0.0
208,2.271273997095666e6,5.514584005021271e6,0.0,0.0,0.0,0.0
209,2.273207497095666e6,5.51671388230348e6,0.0,0.0,0.0,0.0
210,2.275140997095666e6,5.51884375958569e6,0.0,0.0,0.0,0.0
211,2.277134997095666e6,5.521016420429027e6,0.0,0.0,0.0,0.0
212,2.279128997095666e6,5.523189081272363e6,0.0,0.0,0.0,0.0
213,2.282069997095666e6,5.525123642297251e6,0.0,0.0,0.0,0.0
214,2.285010997095666e6,5.52705820332214e6,0.0,0.0,0.0,0.0
215,2.285794497095666e6,5.528036024711963e6,0.0,0.0,0.0,0.0
216,2.286577997095666e6,5.529013846101787e6,0.0,0.0,0.0,0.0
217,2.286859997095666e6,5.529914781091903e6,0.0,0.0,0.0,0.0
218,2.287141997095666e6,5.53081571608202e6,0.0,0.0,0.0,0.0
219,2.287465497095666e6,5.531679447975503e6,0.0,0.0,0.0,0.0
220,2.287788997095666e6,5.532543179868988e6,0.0,0.0,0.0,0.0
221,2.288273497095666e6,5.533434814084946e6,0.0,0.0,0.0,0.0
222,2.288757997095666e6,5.534326448300905e6,0.0,0.0,0.0,0.0
223,2.289518997095666e6,5.535804031288825e6,0.0,0.0,0.0,0.0
224,2.290279997095666e6,5.537281614276744e6,0.0,0.0,0.0,0.0
225,2.291100997095666e6,5.5399912398148095e6,0.0,0.0,0.0,0.0
