Timestep,a_0,a_1,b
2,-11.02291367993200133,-39.713376863736520761,5152302544.5531282425
2,-13.846987922193701337,-40.345370978758950287,5183948607.2903118134
2,-14.928780633040954484,-44.630699031272335731,5215274065.5458488464
2,-12.011257226583131441,-41.618916467459619923,5174976595.6749591827
2,-12.76086016612546814,-44.659708990889299685,5197885735.9847307205
2,-10.724738643349844835,-44.364065544462100377,5176153832.507019043
2,-13.496501390390454489,-44.58345037112921716,5205872892.9832258224
2,-11.897280736368594845,-44.372942077024994489,5190526031.5365428925
2,-11.27930814554787986,-44.344413629117738651,5184878593.7626094818
2,-14.085238467316603561,-44.497856293138354999,5211141060.5589838028
2,-14.173554271000531557,-44.504489222083790878,5212096547.3825674057
2,-14.417448947052887931,-44.531462956527356312,5213865095.9976453781
2,-11.694898359695175216,-44.341574533223806043,5189806707.9338445663
2,-10.668202476516281507,-44.225052438452173931,5178139765.5495948792
2,-13.373844783344924991,-44.283001986716961085,5205594283.2331447601
2,-12.193443418068062201,-44.164308528030865375,5194676799.7959413528
2,-12.438159077394164598,-43.75660213268324128,5195263239.7449417114
2,-12.874514683837777085,-43.754553807684068545,5199459038.9514245987
2,-12.024728976631530841,-43.178816939251476015,5189587319.7400770187
2,-14.077017354538332583,-44.174863085107467953,5210459789.3681774139
2,-13.679956564078516124,-44.623358127755501812,5209704531.338719368
2,-12.816911231818428618,-43.729929599535573459,5199429993.6484451294
2,-12.090607688662926122,-42.810959772029605119,5189124597.4216108322
2,-14.001951377992616798,-41.901222942075008859,5204714294.2550010681
2,-14.408735978613064432,-42.292237075369158106,5209699716.9115219116
2,-13.872115786152406258,-41.685380580030567899,5203157346.3931045532
2,-13.547164371838013253,-41.702646815122250246,5201076526.7703647614
2,-11.759773296662949349,-42.54168104094505054,5187315543.7582788467
2,-9.0161865450535607636,-41.291535383314467822,5151653509.8203992844
2,-10.732375469546932223,-41.911632757035619079,5175291619.2378473282
2,-12.679958446645381187,-43.681425907791627594,5204970846.7993335724
2,-11.269218274153324444,-43.352751390064426573,5189615331.2952833176
2,-13.244793835812229688,-43.733397995790703305,5210510463.5097732544
2,-14.434860198403054454,-44.525226034700942535,5224913758.0307455063
2,-12.854948905171767137,-43.783583015141807948,5208555454.9946718216
2,-12.686074798186313117,-43.721049971151010993,5207282142.3516111374
2,-11.220177385532018377,-43.361895991034337783,5191037568.949461937
2,-13.55487757713063246,-44.092274779139955854,5216786036.2036066055
2,-11.764448837743801235,-43.545229154167095942,5198046223.2286777496
2,-11.302016571416787727,-43.418363491236014795,5193019835.6832075119
2,-14.598430503361701227,-44.676891048991215882,5226931353.734708786
2,-14.295331293460856514,-44.4540428901817819,5224217190.3544301987
2,-14.562964053125527997,-44.63461367564806892,5226689421.3944673538
2,-11.395670342574044653,-43.462885057634132124,5194403820.0161466599
2,-10.462084722915934165,-43.220530887934231146,5183142914.3095569611
2,-13.508177765364104417,-44.106596496811114605,5217216901.2442798615
2,-12.216066413324851325,-43.700024631744014414,5204076695.6240644455
2,-12.466134299080097847,-43.75609317316111202,5206754574.5836639404
2,-12.970944046871304423,-43.881744908777150727,5212013286.2258291245
2,-12.16431253243806232,-43.617738244129860448,5203729539.4244623184
2,-14.190295886462715558,-44.308590663939497745,5223140330.6944789886
2,-13.775126368616588124,-44.172425889898100593,5220468791.9470834732
2,-13.092075750922626654,-43.898176052293365501,5214190906.3247928619
2,-12.274526548643363455,-43.686314296402187551,5206033613.7542734146
2,-13.119216832103941073,-43.925821383659737762,5214961443.3302631378
2,-14.019524875458904134,-44.213352735002196425,5223291397.241686821
2,-13.16638907301218353,-43.956026369438880863,5215594357.068985939
2,-13.257742396783539718,-43.989758546280022244,5216553545.3733797073
2,-11.436050148131789328,-43.595450763781080639,5197397257.3417568207
2,-8.9304785390530270206,-43.397819816644911839,5168226150.1462030411
2,-10.801455878792374676,-43.611292584300677788,5191386082.8465824127
2,-12.304279255648346236,-43.91511665619033522,5208284107.4592676163
2,-10.986479062659940453,-43.643727968571624842,5193761599.2826137543
2,-13.196480937418179735,-44.092316511908528298,5217256506.4401454926
2,-14.271316413140537449,-44.460559415378867243,5228099513.455324173
3,-8.2245384554890961226,0,3491220558.695212841
3,-13.876813940197965991,-160.13973093908924739,3700990320.1808037758
3,-4.0317287661544316535,-127.53097414262467169,3629385550.0174388885
3,-11.455418188923319534,-117.63777172011303662,3891194466.4953103065
3,-31.383823281711013209,-22.868766465006839184,4062509755.6949539185
3,-0.10716605877162301008,-154.29660903327592791,4038501667.344379425
3,-0.46858687570326901239,-60.401136729244370827,4230707237.8870754242
3,-6.8178685143234538657,-31.885708106942821871,4428573266.8659219742
3,-3.9002443233128354372,-43.578065883022809146,4475468151.3387374878
3,-17.239809879914176349,-31.429448630959321065,4694337195.6337490082
3,-0.86084768056487270815,-31.397793070149880634,4527174708.3890390396
3,-14.783032870569062567,-31.662204246733292479,4722985211.5904722214
