Model Version,Region,Unit,Year,Value
Go RES v1.2.0,GR,€/tCO2,2055,5631.47
Go RES v1.2.0,HR,€/tCO2,2018,589.34
Go RES v1.2.0,HR,€/tCO2,2025,1373.18
Go RES v1.2.0,HR,€/tCO2,2030,1394.88
Go RES v1.2.0,HR,€/tCO2,2035,1719.95
Go RES v1.2.0,HR,€/tCO2,2040,1963.95
Go RES v1.2.0,HR,€/tCO2,2045,2910.08
Go RES v1.2.0,HR,€/tCO2,2050,3913.12
Go RES v1.2.0,HR,€/tCO2,2055,5638.69
Go RES v1.2.0,HU,€/tCO2,2018,589.34
Go RES v1.2.0,HU,€/tCO2,2025,1368.44
Go RES v1.2.0,HU,€/tCO2,2030,1396.31
Go RES v1.2.0,HU,€/tCO2,2035,1702.54
Go RES v1.2.0,HU,€/tCO2,2040,2028.84
Go RES v1.2.0,HU,€/tCO2,2045,2779.73
Go RES v1.2.0,HU,€/tCO2,2050,3946.5
Go RES v1.2.0,HU,€/tCO2,2055,5674.4
Go RES v1.2.0,IE,€/tCO2,2018,589.35
Go RES v1.2.0,IE,€/tCO2,2025,1374.85
Go RES v1.2.0,IE,€/tCO2,2030,1396.26
Go RES v1.2.0,IE,€/tCO2,2035,1701.17
Go RES v1.2.0,IE,€/tCO2,2040,2164.84
Go RES v1.2.0,IE,€/tCO2,2045,2695.31
Go RES v1.2.0,IE,€/tCO2,2050,3919.99
Go RES v1.2.0,IE,€/tCO2,2055,5640.39
Go RES v1.2.0,IT,€/tCO2,2018,589.34
Go RES v1.2.0,IT,€/tCO2,2025,1373.18
Go RES v1.2.0,IT,€/tCO2,2030,1377.8
Go RES v1.2.0,IT,€/tCO2,2035,1725.01
Go RES v1.2.0,IT,€/tCO2,2040,1973.94
Go RES v1.2.0,IT,€/tCO2,2045,2915.37
Go RES v1.2.0,IT,€/tCO2,2050,3914.91
Go RES v1.2.0,IT,€/tCO2,2055,5637.97
Go RES v1.2.0,LT,€/tCO2,2018,618.47
Go RES v1.2.0,LT,€/tCO2,2025,1374.93
Go RES v1.2.0,LT,€/tCO2,2030,1396.5
Go RES v1.2.0,LT,€/tCO2,2035,1731.9
Go RES v1.2.0,LT,€/tCO2,2040,1966.55
Go RES v1.2.0,LT,€/tCO2,2045,2901.06
Go RES v1.2.0,LT,€/tCO2,2050,3939.25
Go RES v1.2.0,LT,€/tCO2,2055,5640.51
Go RES v1.2.0,LU,€/tCO2,2018,575.68
Go RES v1.2.0,LU,€/tCO2,2025,1355.4
Go RES v1.2.0,LU,€/tCO2,2030,1396.38
Go RES v1.2.0,LU,€/tCO2,2035,1735.07
Go RES v1.2.0,LU,€/tCO2,2040,2164.59
Go RES v1.2.0,LU,€/tCO2,2045,1232.7
Go RES v1.2.0,LU,€/tCO2,2050,6423.45
Go RES v1.2.0,LU,€/tCO2,2055,4693.92
Go RES v1.2.0,LV,€/tCO2,2018,618.47
Go RES v1.2.0,LV,€/tCO2,2025,1374.85
Go RES v1.2.0,LV,€/tCO2,2030,1392.21
Go RES v1.2.0,LV,€/tCO2,2035,1495.11
Go RES v1.2.0,LV,€/tCO2,2040,1940.3
Go RES v1.2.0,LV,€/tCO2,2045,2914.37
Go RES v1.2.0,LV,€/tCO2,2050,3899.4
Go RES v1.2.0,LV,€/tCO2,2055,5608.85
Go RES v1.2.0,NL,€/tCO2,2018,589.35
Go RES v1.2.0,NL,€/tCO2,2025,1364.46
Go RES v1.2.0,NL,€/tCO2,2030,1396.45
Go RES v1.2.0,NL,€/tCO2,2035,1735.07
Go RES v1.2.0,NL,€/tCO2,2040,2143.75
Go RES v1.2.0,NL,€/tCO2,2045,2872.28
Go RES v1.2.0,NL,€/tCO2,2050,3801.05
Go RES v1.2.0,NL,€/tCO2,2055,5624.65
Go RES v1.2.0,NO,€/tCO2,2018,644.8
Go RES v1.2.0,NO,€/tCO2,2025,1337.49
Go RES v1.2.0,NO,€/tCO2,2030,1396.86
Go RES v1.2.0,NO,€/tCO2,2035,1739.9
Go RES v1.2.0,NO,€/tCO2,2040,1895.13
Go RES v1.2.0,NO,€/tCO2,2045,3014.65
Go RES v1.2.0,NO,€/tCO2,2050,3842.53
Go RES v1.2.0,NO,€/tCO2,2055,5647.79
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2018,636.06
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2025,1375.34
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2030,1396.31
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2035,1646.43
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2040,2151.22
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2045,3031.59
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2050,5233.45
Go RES v1.2.0,NONEU_Balkan,€/tCO2,2055,5005.45
Go RES v1.2.0,PL,€/tCO2,2018,491.26
Go RES v1.2.0,PL,€/tCO2,2025,1379.05
Go RES v1.2.0,PL,€/tCO2,2030,1392.45
Go RES v1.2.0,PL,€/tCO2,2035,1735.14
Go RES v1.2.0,PL,€/tCO2,2040,1947.83
Go RES v1.2.0,PL,€/tCO2,2045,2915.87
Go RES v1.2.0,PL,€/tCO2,2050,3912.2
Go RES v1.2.0,PL,€/tCO2,2055,5638.3
Go RES v1.2.0,PT,€/tCO2,2018,589.35
Go RES v1.2.0,PT,€/tCO2,2025,1368.6
Go RES v1.2.0,PT,€/tCO2,2030,1396.4
Go RES v1.2.0,PT,€/tCO2,2035,1731.11
Go RES v1.2.0,PT,€/tCO2,2040,1935.84
Go RES v1.2.0,PT,€/tCO2,2045,2904.94
Go RES v1.2.0,PT,€/tCO2,2050,3911.63
Go RES v1.2.0,PT,€/tCO2,2055,5652.47
Go RES v1.2.0,RO,€/tCO2,2018,589.34
Go RES v1.2.0,RO,€/tCO2,2025,1375.33
Go RES v1.2.0,RO,€/tCO2,2030,1391.72
Go RES v1.2.0,RO,€/tCO2,2035,1735.14
Go RES v1.2.0,RO,€/tCO2,2040,1966.31
Go RES v1.2.0,RO,€/tCO2,2045,2912.74
Go RES v1.2.0,RO,€/tCO2,2050,3900.14
Go RES v1.2.0,RO,€/tCO2,2055,5632.06
Go RES v1.2.0,SE,€/tCO2,2018,579.87
Go RES v1.2.0,SE,€/tCO2,2025,1391.61
Go RES v1.2.0,SE,€/tCO2,2030,1396.86
Go RES v1.2.0,SE,€/tCO2,2035,1860.71
Go RES v1.2.0,SE,€/tCO2,2040,1732.86
Go RES v1.2.0,SE,€/tCO2,2045,2952.39
Go RES v1.2.0,SE,€/tCO2,2050,3919.06
Go RES v1.2.0,SE,€/tCO2,2055,5626.21
Go RES v1.2.0,SI,€/tCO2,2018,620.16
Go RES v1.2.0,SI,€/tCO2,2025,1373.07
Go RES v1.2.0,SI,€/tCO2,2030,1396.15
Go RES v1.2.0,SI,€/tCO2,2035,1679.82
Go RES v1.2.0,SI,€/tCO2,2040,1169.39
Go RES v1.2.0,SI,€/tCO2,2045,3396.89
Go RES v1.2.0,SI,€/tCO2,2050,5297.24
Go RES v1.2.0,SI,€/tCO2,2055,4696.55
Go RES v1.2.0,SK,€/tCO2,2018,589.34
Go RES v1.2.0,SK,€/tCO2,2025,1378.68
Go RES v1.2.0,SK,€/tCO2,2030,1389.71
Go RES v1.2.0,SK,€/tCO2,2035,1735.14
Go RES v1.2.0,SK,€/tCO2,2040,1915.23
Go RES v1.2.0,SK,€/tCO2,2045,2938.59
Go RES v1.2.0,SK,€/tCO2,2050,3917.79
Go RES v1.2.0,SK,€/tCO2,2055,5632.91
Go RES v1.2.0,TR,€/tCO2,2018,575.61
Go RES v1.2.0,TR,€/tCO2,2025,1392.46
Go RES v1.2.0,TR,€/tCO2,2030,1396.31
Go RES v1.2.0,TR,€/tCO2,2035,1735.07
Go RES v1.2.0,TR,€/tCO2,2040,2187.77
Go RES v1.2.0,TR,€/tCO2,2045,1940.77
Go RES v1.2.0,TR,€/tCO2,2050,5247.55
Go RES v1.2.0,TR,€/tCO2,2055,5252.51
Go RES v1.2.0,UK,€/tCO2,2018,589.35
Go RES v1.2.0,UK,€/tCO2,2025,1363.96
Go RES v1.2.0,UK,€/tCO2,2030,1361.81
Go RES v1.2.0,UK,€/tCO2,2035,1735.04
Go RES v1.2.0,UK,€/tCO2,2040,2164.84
Go RES v1.2.0,UK,€/tCO2,2045,2787.22
