Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
196,2.6500370000000005e6,5.212536109667021e6,0.0,0.0,0.0,0.0
197,2.6512460000000005e6,5.213870922898158e6,0.0,0.0,0.0,0.0
198,2.6524550000000005e6,5.215205736129295e6,0.0,0.0,0.0,0.0
199,2.6548105000000005e6,5.216540549360432e6,0.0,0.0,0.0,0.0
200,2.6571660000000005e6,5.217875362591569e6,0.0,0.0,0.0,0.0
201,2.6599490000000005e6,5.219210175822707e6,0.0,0.0,0.0,0.0
202,2.6627320000000005e6,5.220544989053844e6,0.0,0.0,0.0,0.0
203,2.6650260000000005e6,5.22187980228498e6,0.0,0.0,0.0,0.0
204,2.6673200000000005e6,5.223214615516118e6,0.0,0.0,0.0,0.0
205,2.6691870000000005e6,5.224549428747255e6,0.0,0.0,0.0,0.0
206,2.6710540000000005e6,5.225884241978392e6,0.0,0.0,0.0,0.0
207,2.6725210000000005e6,5.227219055209529e6,0.0,0.0,0.0,0.0
208,2.6739880000000005e6,5.228553868440666e6,0.0,0.0,0.0,0.0
209,2.6759215000000005e6,5.229888681671804e6,0.0,0.0,0.0,0.0
210,2.6778550000000005e6,5.2312234949029405e6,0.0,0.0,0.0,0.0
211,2.6798490000000005e6,5.232558308134077e6,0.0,0.0,0.0,0.0
212,2.6818430000000005e6,5.233893121365215e6,0.0,0.0,0.0,0.0
213,2.6847840000000005e6,5.235227934596352e6,0.0,0.0,0.0,0.0
214,2.6877250000000005e6,5.236562747827489e6,0.0,0.0,0.0,0.0
215,2.6885085000000005e6,5.237897561058626e6,0.0,0.0,0.0,0.0
216,2.6892920000000005e6,5.239232374289763e6,0.0,0.0,0.0,0.0
217,2.6895740000000005e6,5.240567187520901e6,0.0,0.0,0.0,0.0
218,2.6898560000000005e6,5.241902000752037e6,0.0,0.0,0.0,0.0
219,2.6901795000000005e6,5.243236813983174e6,0.0,0.0,0.0,0.0
220,2.6905030000000005e6,5.244571627214312e6,0.0,0.0,0.0,0.0
221,2.6909875000000005e6,5.245906440445449e6,0.0,0.0,0.0,0.0
222,2.6914720000000005e6,5.247241253676586e6,0.0,0.0,0.0,0.0
223,2.6922330000000005e6,5.2485760669077225e6,0.0,0.0,0.0,0.0
224,2.6929940000000005e6,5.24991088013886e6,0.0,0.0,0.0,0.0
225,2.6938150000000005e6,5.251245693369998e6,0.0,0.0,0.0,0.0
226,2.6946360000000005e6,5.252580506601134e6,0.0,0.0,0.0,0.0
227,2.6953330000000005e6,5.253915319832271e6,0.0,0.0,0.0,0.0
228,2.6960300000000005e6,5.255250133063409e6,0.0,0.0,0.0,0.0
229,2.6965330000000005e6,5.256584946294546e6,0.0,0.0,0.0,0.0
230,2.6970360000000005e6,5.257919759525683e6,0.0,0.0,0.0,0.0
231,2.6980495000000005e6,5.259254572756819e6,0.0,0.0,0.0,0.0
232,2.6990630000000005e6,5.260589385987957e6,0.0,0.0,0.0,0.0
233,2.7004725000000005e6,5.261924199219095e6,0.0,0.0,0.0,0.0
234,2.7018820000000005e6,5.263259012450231e6,0.0,0.0,0.0,0.0
235,2.7032250000000005e6,5.264593825681368e6,0.0,0.0,0.0,0.0
236,2.7045680000000005e6,5.2659286389125055e6,0.0,0.0,0.0,0.0
237,2.7063065000000005e6,5.267263452143643e6,0.0,0.0,0.0,0.0
238,2.7080450000000005e6,5.26859826537478e6,0.0,0.0,0.0,0.0
239,2.7088315000000005e6,5.269933078605916e6,0.0,0.0,0.0,0.0
240,2.7096180000000005e6,5.271267891837054e6,0.0,0.0,0.0,0.0
241,2.7101340000000005e6,5.2726027050681915e6,0.0,0.0,0.0,0.0
242,2.7106500000000005e6,5.273937518299328e6,0.0,0.0,0.0,0.0
243,2.7108445000000005e6,5.275272331530465e6,0.0,0.0,0.0,0.0
