Date,Price,Open,High,Low,Vol.,Change %
9/30/2025,75.72,76.79,76.8,75.57,24.55K,-1.39%
9/29/2025,76.79,75.85,76.97,75.06,27.91K,1.07%
9/26/2025,75.98,75.53,76.1,75.1,20.19K,0.29%
9/25/2025,75.76,76.03,76.59,75.36,25.39K,-0.34%
9/24/2025,76.02,76.64,76.78,75.77,22.11K,-1.00%
9/23/2025,76.79,76.21,77.25,75.77,25.55K,0.76%
9/22/2025,76.21,77.69,77.69,75.91,27.29K,-1.73%
9/19/2025,77.55,77.65,77.75,77.01,18.70K,-0.37%
9/18/2025,77.84,76.94,78.23,76.83,26.38K,1.12%
9/17/2025,76.98,77.5,78.45,76.69,31.13K,-0.68%
9/16/2025,77.51,77.05,78.26,76.49,32.48K,0.99%
9/15/2025,76.75,75.6,77.06,75.11,29.11K,1.29%
9/12/2025,75.77,75.34,76.03,75.1,21.58K,0.30%
9/11/2025,75.54,77.17,77.3,75.3,34.84K,-2.02%
9/10/2025,77.1,77,77.58,76.25,25.23K,0.26%
9/9/2025,76.9,77,77.23,76,31.66K,-0.35%
9/8/2025,77.17,76.05,77.32,75.5,28.61K,1.49%
9/5/2025,76.04,75.29,76.25,75.29,27.46K,0.80%
9/4/2025,75.44,75,75.71,74.58,27.45K,0.65%
9/3/2025,74.95,73.46,75.05,73.42,28.90K,1.82%
9/2/2025,73.61,74.12,74.44,73.36,28.08K,-0.49%
9/1/2025,73.97,72.9,74.55,72.78,32.66K,1.34%
8/29/2025,72.99,71.72,73.05,71.6,23.41K,1.77%
8/28/2025,71.72,72.34,72.34,71.31,24.62K,-0.72%
8/27/2025,72.24,72.72,73.3,71.93,19.03K,-0.70%
8/26/2025,72.75,72.04,72.98,71.58,21.04K,0.78%
8/25/2025,72.19,72.51,72.6,71.82,15.15K,-0.47%
8/22/2025,72.53,72.6,72.8,72.26,14.90K,-0.12%
8/21/2025,72.62,71.49,72.76,71.06,26.99K,1.87%
8/20/2025,71.29,71.3,71.54,70.65,17.71K,0.18%
8/19/2025,71.16,71.65,72.08,71.03,21.75K,-0.92%
8/18/2025,71.82,70.89,71.99,70.3,22.94K,1.61%
8/15/2025,70.68,71.02,71.31,70.28,16.55K,-0.39%
8/14/2025,70.96,71.88,71.88,70.57,27.41K,-1.09%
8/13/2025,71.74,71.5,72.15,71.26,14.85K,0.34%
8/12/2025,71.5,72.29,72.42,71.37,17.89K,-1.20%
8/11/2025,72.37,72.98,73.15,72,18.80K,-1.15%
8/8/2025,73.21,71.96,73.35,71.8,28.22K,2.01%
8/7/2025,71.77,70.73,72.01,70.3,25.41K,1.10%
8/6/2025,70.99,71.39,71.71,70.75,17.20K,-0.84%
8/5/2025,71.59,70.86,71.74,70.5,21.04K,1.04%
8/4/2025,70.85,71,71.33,70.15,22.02K,-0.27%
8/1/2025,71.04,72.3,72.43,71,27.57K,-2.23%
7/31/2025,72.66,72.64,73.07,72.22,20.49K,-0.27%
7/30/2025,72.86,73.18,73.35,72.52,15.02K,-0.30%
7/29/2025,73.08,70.73,73.3,70.4,32.11K,3.44%
7/28/2025,70.65,71.5,72.25,70.06,24.47K,-0.97%
7/25/2025,71.34,71.11,71.5,70.64,17.46K,0.65%
7/24/2025,70.88,69.83,71.18,69.23,30.79K,2.19%
7/23/2025,69.36,69.34,69.99,69,19.48K,0.36%
7/22/2025,69.11,69.91,69.91,68.86,24.53K,-1.03%
7/21/2025,69.83,70.12,70.55,69.72,20.62K,-0.09%
7/18/2025,69.89,70.55,71.03,69.84,18.03K,-0.94%
7/17/2025,70.55,71.16,71.39,70.32,20.01K,-1.07%
7/16/2025,71.31,71.28,72.39,70.84,18.06K,-0.28%
7/15/2025,71.51,70.3,71.65,69.99,19.39K,1.55%
7/14/2025,70.42,70.1,71.39,69.52,23.69K,-0.18%
7/11/2025,70.55,70.6,71,69.64,21.76K,-0.27%
7/10/2025,70.74,70.37,71.55,70.31,18.58K,0.50%
7/9/2025,70.39,70.45,71.08,69.89,17.80K,-0.04%
7/8/2025,70.42,71.22,71.46,70.28,20.66K,-1.10%
7/7/2025,71.2,71.7,71.99,70.62,17.58K,-0.66%
7/4/2025,71.67,72.32,72.32,71.25,12.91K,-0.54%
7/3/2025,72.06,71.7,72.79,71.06,22.29K,0.18%
7/2/2025,71.93,70.59,72.29,70.55,21.00K,1.91%
7/1/2025,70.58,69.11,70.89,68.9,25.72K,2.33%
6/30/2025,68.97,71.03,71.08,68.71,27.54K,-2.80%
6/27/2025,70.96,70.42,71.14,70.11,24.51K,0.80%
6/26/2025,70.4,71.08,71.5,70.26,35.18K,-1.05%
6/25/2025,71.15,73.24,73.4,70.96,31.98K,-3.25%
6/24/2025,73.54,73,74.57,72.6,38.63K,0.37%
6/23/2025,73.27,72.85,73.5,72.43,26.60K,1.57%
6/20/2025,72.14,72.09,72.36,71.74,2.28K,0.32%
6/19/2025,71.91,74.02,74.12,70.95,4.20K,-2.51%
6/18/2025,73.76,74.04,74.4,73.4,0.37K,-0.04%
6/17/2025,73.79,74.61,74.63,73.75,0.77K,-0.94%
6/16/2025,74.49,74.94,75.02,74,0.72K,-0.80%
6/13/2025,75.09,75.21,75.78,75.05,0.93K,0.71%
6/12/2025,74.56,73.47,74.8,72.66,1.41K,1.40%
6/11/2025,73.53,72.53,73.78,72.49,3.76K,2.32%
6/10/2025,71.86,73.28,73.28,71.55,0.97K,-2.11%
6/9/2025,73.41,73,73.48,73,0.00K,1.02%
6/6/2025,72.67,72.11,72.94,72,1.11K,1.06%
6/5/2025,71.91,71.8,73.1,71.58,1.57K,0.15%
6/4/2025,71.8,72.06,72.7,71.51,0.90K,0.03%
6/3/2025,71.78,70.3,72,69.98,1.21K,2.40%
6/2/2025,70.1,70.1,71.2,69.69,1.04K,0.70%
5/30/2025,69.61,69.96,70.7,69.43,2.61K,-0.77%
5/29/2025,70.15,72.05,72.62,69.95,2.40K,-1.56%
5/28/2025,71.26,70.15,71.77,70.15,1.19K,0.44%
5/27/2025,70.95,72.21,72.21,70.9,0.87K,-1.77%
5/26/2025,72.23,72.1,72.56,71.46,0.01K,2.08%
5/23/2025,70.76,71.4,71.48,69.25,0.21K,-0.77%
5/22/2025,71.31,72.58,72.58,71.14,1.76K,-0.82%
5/21/2025,71.9,72.3,72.37,71.54,0.13K,-0.61%
5/20/2025,72.34,71.83,71.94,71.79,0.34K,3.92%
5/19/2025,69.61,70,70,68.99,1.11K,-0.78%
5/16/2025,70.16,72.67,72.74,70.15,0.45K,-3.33%
5/15/2025,72.58,72.43,72.84,72.42,1.56K,1.52%
5/14/2025,71.49,71.25,71.58,70.91,1.28K,-0.79%
5/13/2025,72.06,72.1,72.1,72.1,0.71K,-0.70%
5/12/2025,72.57,71.81,72.63,71.81,0.91K,4.27%
5/9/2025,69.6,70.23,70.34,69.65,1.01K,-0.47%
5/8/2025,69.93,70.32,70.32,69.88,0.05K,-0.48%
5/7/2025,70.27,69.7,70.45,69.7,2.55K,2.60%
5/6/2025,68.49,68,68.6,68,0.29K,2.64%
5/5/2025,66.73,66.25,66.94,66.25,0.65K,-1.87%
5/2/2025,68,67.92,68.18,67.7,0.76K,2.60%
5/1/2025,66.28,66.26,66.39,66.26,0.15K,0.70%
4/30/2025,65.82,65.14,65.7,65.14,1.10K,2.67%
4/29/2025,64.11,63.78,64.17,63.78,0.12K,-0.73%
4/28/2025,64.58,65,65.22,64.39,1.59K,-1.69%
4/25/2025,65.69,65.69,65.85,65.58,1.10K,0.17%
4/24/2025,65.58,64.75,65.51,64.74,0.33K,-0.86%
4/23/2025,66.15,65.5,65.83,65.5,1.56K,3.91%
4/22/2025,63.66,64.47,64.47,63.66,1.13K,-2.24%
4/17/2025,65.12,65.04,65.14,64.84,2.93K,-1.60%
4/16/2025,66.18,64.83,66.74,64.83,1.72K,1.16%
4/15/2025,65.42,65.42,65.42,65.42,2.22K,-0.49%
4/14/2025,65.74,65.67,65.9,65.67,0.96K,2.59%
