Timestep,Import_FR_MW,Import_PT_MW
452,2800.0,-1004.6291780985002
453,2800.0,-1004.6291780985002
454,2800.0,-59.401183198750005
455,2800.0,-59.401183198750005
456,2800.0,548.7103463684998
457,2800.0,548.7103463684998
458,2800.0,658.2040536109998
459,2800.0,658.2040536109998
460,2800.0,847.6418517397497
461,2800.0,847.6418517397497
462,2800.0,-2563.3260795595
463,2800.0,-2563.3260795595
464,2800.0,-2215.3307758710107
465,2800.0,-2215.3307758710107
466,2800.0,-4042.9788281685005
467,2800.0,-4042.9788281685005
468,2800.0,-3428.9060092627487
469,2800.0,-3428.9060092627487
470,2800.0,-3222.695045432494
471,2800.0,-3222.695045432494
472,2800.0,-3061.0875730190005
473,2800.0,-3061.0875730190005
474,2800.0,1222.8567533309997
475,2800.0,1222.8567533309997
476,2800.0,-1227.8829720102503
477,2800.0,-1227.8829720102503
478,2800.0,-814.9453360700004
479,2800.0,-814.9453360700004
480,2800.0,-616.9388312422498
481,2800.0,-616.9388312422498
482,2800.0,-408.14383116625004
483,2800.0,-408.14383116625004
484,2800.0,-217.85942105800086
485,2800.0,-217.85942105800086
486,2800.0,25.72672579594291
487,2800.0,25.72672579594291
488,2800.0,-4200.0
489,2800.0,-4200.0
490,2800.0,-4200.0
491,2800.0,-4200.0
492,2800.0,-4200.0
493,2800.0,-4200.0
494,1851.9480414750415,-4200.0
495,1851.9480414750415,-4200.0
496,801.1996564548681,-4200.0
497,801.1996564548681,-4200.0
498,2800.0,-4200.0
499,2800.0,-4200.0
500,2800.0,-4200.0
501,2800.0,-4200.0
502,2800.0,-3902.25130041025
503,2800.0,-3902.25130041025
504,2800.0,-1813.228574660157
505,2800.0,-1813.228574660157
506,2800.0,-2870.0741819612495
507,2800.0,-2870.0741819612495
508,2800.0,714.6494790930619
509,2800.0,714.6494790930619
510,2800.0,-3462.1557834997493
511,2800.0,-3462.1557834997493
512,2800.0,-3398.477068716499
513,2800.0,-3398.477068716499
514,2800.0,-3544.1300879128903
515,2800.0,-3544.1300879128903
516,2800.0,-3436.796721911
517,2800.0,-3436.796721911
518,2800.0,-2970.2415542794997
519,2800.0,-2970.2415542794997
520,2800.0,-1676.529389979125
521,2800.0,-1676.529389979125
522,2800.0,-369.02504864435195
523,2800.0,-369.02504864435195
524,2800.0,-973.1849480047113
525,2800.0,-973.1849480047113
526,2800.0,-1971.1949346524993
527,2800.0,-1971.1949346524993
528,2800.0,-866.0426549774998
529,2800.0,-866.0426549774998
530,2800.0,-3435.9789108214545
531,2800.0,-3435.9789108214545
532,2800.0,-3550.0677982917496
533,2800.0,-3550.0677982917496
534,2800.0,-3367.3053906400005
535,2800.0,-3367.3053906400005
536,2800.0,-2675.369341101
537,2800.0,-2675.369341101
538,2800.0,-2794.42054144725
539,2800.0,-2794.42054144725
540,2800.0,-4200.0
541,2800.0,-4200.0
542,2800.0,-4200.0
543,2800.0,-4200.0
544,2800.0,-3016.3756920831074
545,2800.0,-3016.3756920831074
546,2800.0,-2631.841749589483
547,2800.0,-2631.841749589483
548,2800.0,-3182.5060165669997
549,2800.0,-3182.5060165669997
550,2800.0,-2459.27095461925
551,2800.0,-2459.27095461925
552,2800.0,-2273.1174002364996
553,2800.0,-2273.1174002364996
554,2800.0,-2172.470843942999
555,2800.0,-2172.470843942999
556,2800.0,-2435.0695063425
557,2800.0,-2435.0695063425
558,2800.0,-2434.03103718675
559,2800.0,-2434.03103718675
560,2800.0,-2738.5355937644995
561,2800.0,-2738.5355937644995
562,2800.0,-3138.4750832977497
563,2800.0,-3138.4750832977497
564,2800.0,-4150.507097316313
565,2800.0,-4150.507097316313
566,2800.0,-3161.4479760495005
567,2800.0,-3161.4479760495005
568,2800.0,-3282.7159414687503
569,2800.0,-3282.7159414687503
570,2800.0,-2810.12494369
571,2800.0,-2810.12494369
572,2800.0,-2856.733172941
573,2800.0,-2856.733172941
574,2800.0,-2542.732016724249
575,2800.0,-2542.732016724249
576,2800.0,-2219.1528537887502
577,2800.0,-2219.1528537887502
578,2800.0,-2036.4185031252503
579,2800.0,-2036.4185031252503
580,2800.0,-2021.60382626325
581,2800.0,-2021.60382626325
582,2800.0,-2091.83020681525
583,2800.0,-2091.83020681525
584,2800.0,-347.28159674003655
585,2800.0,-347.28159674003655
586,2800.0,-1967.3298324172501
587,2800.0,-1967.3298324172501
588,2800.0,-4128.607226674852
589,2800.0,-4128.607226674852
590,2800.0,-3650.8073347987493
591,2800.0,-3650.8073347987493
592,2800.0,-1177.9488804007497
593,2800.0,-1177.9488804007497
594,2800.0,-1766.8800016087498
595,2800.0,-1766.8800016087498
596,2800.0,-1306.0223218962497
597,2800.0,-1306.0223218962497
598,2800.0,-1021.5939886980923
599,2800.0,-1021.5939886980923
600,2800.0,-2443.9720352509994
601,2800.0,-2443.9720352509994
602,2800.0,-2246.492989257501
603,2800.0,-2246.492989257501
604,2800.0,-2286.1656401732503
605,2800.0,-2286.1656401732503
606,2800.0,-2669.7603200385
607,2800.0,-2669.7603200385
608,2800.0,-3073.8627879977494
609,2800.0,-3073.8627879977494
610,2800.0,-3492.1719550019993
611,2800.0,-3492.1719550019993
612,2800.0,-3903.973717031131
613,2800.0,-3903.973717031131
614,2800.0,-3491.103277402981
615,2800.0,-3491.103277402981
616,2800.0,-2684.4426078872502
617,2800.0,-2684.4426078872502
618,2800.0,-2671.3619770717496
619,2800.0,-2671.3619770717496
620,2800.0,-3336.3565738692496
621,2800.0,-3336.3565738692496
622,2800.0,-2804.037795681
623,2800.0,-2804.037795681
624,2800.0,-2572.7750689507493
625,2800.0,-2572.7750689507493
626,2800.0,-2434.479691553999
627,2800.0,-2434.479691553999
628,2800.0,-2315.4444715342493
629,2800.0,-2315.4444715342493
630,2800.0,-2956.8319242362495
631,2800.0,-2956.8319242362495
632,2800.0,-3592.5704304170004
633,2800.0,-3592.5704304170004
634,2800.0,-3737.119039426
635,2800.0,-3737.119039426
636,2800.0,-4200.0
637,2800.0,-4200.0
638,2800.0,-4200.0
639,2800.0,-4200.0
640,2800.0,-2449.4676270871605
641,2800.0,-2449.4676270871605
642,2800.0,-2627.048682242499
643,2800.0,-2627.048682242499
644,2800.0,-3756.3037680072493
645,2800.0,-3756.3037680072493
646,2800.0,-1377.9946211939823
647,2800.0,-1377.9946211939823
648,2800.0,-2714.837896016077
649,2800.0,-2714.837896016077
650,2800.0,-3117.53860335325
651,2800.0,-3117.53860335325
652,2800.0,-1463.308402044957
653,2800.0,-1463.308402044957
654,2800.0,-3479.287884744749
655,2800.0,-3479.287884744749
656,2800.0,-4200.0
657,2800.0,-4200.0
658,2800.0,-4200.0
659,2800.0,-4200.0
660,2800.0,-4200.0
661,2800.0,-4200.0
662,2800.0,-4200.0
663,2800.0,-4200.0
664,2800.0,-4200.0
665,2800.0,-4200.0
666,2800.0,-4200.0
667,2800.0,-4200.0
668,2076.0019792946205,-4200.0
669,2076.0019792946205,-4200.0
670,2800.0,-4200.0
671,2800.0,-4200.0
672,2800.0,-956.5551716242494
673,2800.0,-956.5551716242494
674,2800.0,-3103.5742597229573
675,2800.0,-3103.5742597229573
676,2800.0,-3674.2817180132492
677,2800.0,-3674.2817180132492
678,2800.0,-4025.5609855682487
679,2800.0,-4025.5609855682487
680,2800.0,-4200.0
681,2800.0,-4200.0
682,2800.0,-4200.0
683,2800.0,-4200.0
684,2800.0,-4200.0
685,2800.0,-4200.0
686,2800.0,-4200.0
687,2800.0,-4200.0
688,2800.0,-4200.0
689,2800.0,-4200.0
690,2800.0,-4200.0
691,2800.0,-4200.0
692,2800.0,-4200.0
693,2800.0,-4200.0
694,2800.0,-4200.0
695,2800.0,-4200.0
696,2800.0,-4021.938570840999
697,2800.0,-4021.938570840999
698,2800.0,-3809.870490841
699,2800.0,-3809.870490841
700,2800.0,-3759.0671234324996
701,2800.0,-3759.0671234324996
702,2800.0,-4171.07293686475
703,2800.0,-4171.07293686475
704,2800.0,-4200.0
705,2800.0,-4200.0
706,2800.0,-4200.0
707,2800.0,-4200.0
708,2800.0,-4200.0
709,2800.0,-4200.0
710,2800.0,-4156.384098419
711,2800.0,-4156.384098419
712,2800.0,-4092.5462535012502
713,2800.0,-4092.5462535012502
714,2800.0,-3721.7746376077494
715,2800.0,-3721.7746376077494
716,2800.0,-3872.748176143499
717,2800.0,-3872.748176143499
718,2800.0,-3262.2085380759995
719,2800.0,-3262.2085380759995
720,2800.0,-2762.3523569579997
721,2800.0,-2762.3523569579997
722,2800.0,-2214.0413330687497
723,2800.0,-2214.0413330687497
724,2800.0,-2028.9285736494999
725,2800.0,-2028.9285736494999
726,2800.0,-2309.9094653529996
727,2800.0,-2309.9094653529996
728,2800.0,-3435.2478764514526
729,2800.0,-3435.2478764514526
730,2800.0,-3990.2034758305003
731,2800.0,-3990.2034758305003
732,2800.0,-3885.3052245549998
733,2800.0,-3885.3052245549998
734,2800.0,-3906.6443014055
735,2800.0,-3906.6443014055
736,2800.0,-3505.3174192002502
737,2800.0,-3505.3174192002502
738,2800.0,-3716.9659090414993
739,2800.0,-3716.9659090414993
740,2800.0,-3930.3334644042498
741,2800.0,-3930.3334644042498
742,2800.0,-3385.0556594922505
743,2800.0,-3385.0556594922505
744,2800.0,-2889.1362569995
745,2800.0,-2889.1362569995
746,2800.0,-2735.0583804907496
747,2800.0,-2735.0583804907496
748,2800.0,-2656.8632862332506
749,2800.0,-2656.8632862332506
750,2800.0,-2591.2825131985005
751,2800.0,-2591.2825131985005
752,2800.0,-2535.819822676087
753,2800.0,-2535.819822676087
754,2800.0,-2409.419485582249
755,2800.0,-2409.419485582249
756,2800.0,-4200.0
757,2800.0,-4200.0
758,2800.0,-3579.039512412237
759,2800.0,-3579.039512412237
760,2800.0,-2458.2334277044997
761,2800.0,-2458.2334277044997
762,2800.0,-2644.4038121757494
763,2800.0,-2644.4038121757494
764,2800.0,-2976.6653372507494
765,2800.0,-2976.6653372507494
766,2800.0,-3138.52038663
767,2800.0,-3138.52038663
768,2800.0,-2835.3408440925
769,2800.0,-2835.3408440925
770,2800.0,-2788.3008483707504
771,2800.0,-2788.3008483707504
772,2800.0,-3058.1157148172506
773,2800.0,-3058.1157148172506
774,2800.0,-3726.5351606804998
775,2800.0,-3726.5351606804998
776,2800.0,-3906.7965000922495
777,2800.0,-3906.7965000922495
778,2800.0,-3984.4520332062502
779,2800.0,-3984.4520332062502
780,2800.0,-3468.548547684
781,2800.0,-3468.548547684
782,2800.0,-3026.341298051
783,2800.0,-3026.341298051
784,2800.0,-2787.1159579474997
785,2800.0,-2787.1159579474997
786,2800.0,-2507.6277795714996
787,2800.0,-2507.6277795714996
788,2800.0,-3510.2546917929994
789,2800.0,-3510.2546917929994
790,2800.0,-3390.1298298949987
791,2800.0,-3390.1298298949987
792,2800.0,-3054.424270094249
793,2800.0,-3054.424270094249
794,2800.0,-2925.1429344772496
795,2800.0,-2925.1429344772496
796,2800.0,-3055.3753150809994
797,2800.0,-3055.3753150809994
798,2800.0,-3547.8368554189997
799,2800.0,-3547.8368554189997
800,2800.0,-4200.0
801,2800.0,-4200.0
802,2800.0,-4150.7111654815
803,2800.0,-4150.7111654815
804,2800.0,-4200.0
805,2800.0,-4200.0
806,2800.0,-4092.592807748
807,2800.0,-4092.592807748
808,2800.0,-3726.6674696312502
809,2800.0,-3726.6674696312502
810,2800.0,-1196.7147591940006
811,2800.0,-1196.7147591940006
812,2800.0,-1981.5078684302498
813,2800.0,-1981.5078684302498
814,2800.0,-1981.6442699684999
815,2800.0,-1981.6442699684999
816,2800.0,-1698.0502542620006
817,2800.0,-1698.0502542620006
818,2800.0,-3250.4647699159996
819,2800.0,-3250.4647699159996
820,2800.0,-3222.5393615882494
821,2800.0,-3222.5393615882494
