Node,GeneratorTechnology,generatoReferenceInitialCapacity in MW
ES113,Wind onshore,526.555
ES114,Wind onshore,519.614
ES120,Wind onshore,587.045
ES130,Wind onshore,401.61
ES211,Wind onshore,269.723
ES212,Wind onshore,18.841
ES213,Wind onshore,45.615
ES220,Wind onshore,1328.982
ES230,Wind onshore,408.551
ES241,Wind onshore,302.447
ES242,Wind onshore,728.848
ES243,Wind onshore,4281.461
ES300,Wind onshore,62.473
ES412,Wind onshore,1344.65
ES413,Wind onshore,503.748
ES414,Wind onshore,1162.19
ES415,Wind onshore,229.066
ES416,Wind onshore,243.941
ES417,Wind onshore,1085.041
ES418,Wind onshore,766.53
ES419,Wind onshore,659.434
ES421,Wind onshore,2104.734
ES422,Wind onshore,273.69
ES423,Wind onshore,1575.105
ES424,Wind onshore,662.409
ES425,Wind onshore,177.502
ES431,Wind onshore,19.833
ES432,Wind onshore,146.761
ES511,Wind onshore,75.364
ES512,Wind onshore,0
ES513,Wind onshore,250.387
ES514,Wind onshore,870.651
ES521,Wind onshore,90.238
ES522,Wind onshore,907.143
ES523,Wind onshore,570.187
ES532,Wind onshore,0
ES611,Wind onshore,536.472
ES612,Wind onshore,1307.96
ES613,Wind onshore,0
ES614,Wind onshore,435.325
ES615,Wind onshore,348.062
ES616,Wind onshore,0
ES617,Wind onshore,710.007
ES618,Wind onshore,182.46
ES620,Wind onshore,279.64
ES213,Wind offshore floating,0
ES213,Wind offshore grounded,0
ES424,Nuclear,1024.154
ES432,Nuclear,2010.84
ES514,Nuclear,3023.465
ES523,Nuclear,1058.741
