Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,7627.321616638331,0.0,0.0
389,7627.321616638331,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,0.0,0.0,0.0
394,0.0,0.0,0.0
395,0.0,0.0,0.0
396,0.0,0.0,0.0
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
400,0.0,0.0,0.0
401,0.0,0.0,0.0
402,0.0,0.0,48825.58224159702
403,0.0,0.0,48825.58224159702
404,4510.253610408437,8787.34,0.0
405,4510.253610408437,8787.34,0.0
406,6710.441877230937,8787.34,46682.769831346
407,6710.441877230937,8787.34,46682.769831346
408,3324.8387282439917,0.0,25856.92950819974
409,3324.8387282439917,0.0,25856.92950819974
410,7540.00411442566,0.0,21054.135521541397
411,7540.00411442566,0.0,21054.135521541397
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,0.0,0.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,67075.01139238208
427,0.0,0.0,67075.01139238208
428,3506.327760545986,0.0,69598.28521525335
429,3506.327760545986,0.0,69598.28521525335
430,14680.8827769859,0.0,41472.119342086444
431,14680.8827769859,0.0,41472.119342086444
432,0.0,0.0,28910.38260442361
433,0.0,0.0,28910.38260442361
434,0.0,0.0,40707.628377695786
435,0.0,0.0,40707.628377695786
436,0.0,0.0,61386.673545901125
437,0.0,0.0,61386.673545901125
438,0.0,0.0,13481.052611693562
439,0.0,0.0,13481.052611693562
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,0.0,0.0,0.0
445,0.0,0.0,0.0
446,0.0,0.0,4987.260552992684
447,0.0,0.0,4987.260552992684
448,0.0,0.0,30293.34749741349
449,0.0,0.0,30293.34749741349
450,0.0,8787.34,54225.93466209901
451,0.0,8787.34,54225.93466209901
452,509.4083378892128,0.0,70364.3
453,509.4083378892128,0.0,70364.3
454,1926.0624926785615,8266.795908895252,36208.091511854655
455,1926.0624926785615,8266.795908895252,36208.091511854655
456,348.4012451072467,0.0,2479.48324357982
457,348.4012451072467,0.0,2479.48324357982
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,3120.3467946425835,16624.542790266703
461,0.0,3120.3467946425835,16624.542790266703
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.0,0.0,0.0
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.0,0.0,0.0
469,0.0,0.0,0.0
470,0.0,0.0,0.0
471,0.0,0.0,0.0
472,0.0,0.0,47841.34882861779
473,0.0,0.0,47841.34882861779
474,0.0,8787.34,70364.3
475,0.0,8787.34,70364.3
476,0.0,8787.34,70364.3
477,0.0,8787.34,70364.3
478,3438.705850186135,8787.34,70364.3
479,3438.705850186135,8787.34,70364.3
480,0.0,7630.99290148605,70364.3
481,0.0,7630.99290148605,70364.3
482,0.0,8775.023207381611,70364.3
483,0.0,8775.023207381611,70364.3
484,0.0,8787.34,70364.3
485,0.0,8787.34,70364.3
486,0.0,8787.34,70364.3
487,0.0,8787.34,70364.3
488,0.0,0.0,7159.353736671663
489,0.0,0.0,7159.353736671663
490,0.0,0.0,0.0
491,0.0,0.0,0.0
492,0.0,0.0,0.0
493,0.0,0.0,0.0
494,0.0,0.0,33106.806246433596
495,0.0,0.0,33106.806246433596
496,0.0,0.0,70364.3
497,0.0,0.0,70364.3
498,0.0,0.0,70364.3
499,0.0,0.0,70364.3
500,0.0,6785.3479677982305,70364.3
501,0.0,6785.3479677982305,70364.3
502,5629.24004672961,8787.34,70364.3
503,5629.24004672961,8787.34,70364.3
504,0.0,0.0,70364.3
505,0.0,0.0,70364.3
506,0.0,0.0,70364.3
507,0.0,0.0,70364.3
508,0.0,0.0,70364.3
509,0.0,0.0,70364.3
510,0.0,0.0,60836.30014947406
511,0.0,0.0,60836.30014947406
512,0.0,0.0,0.0
513,0.0,0.0,0.0
514,0.0,0.0,0.0
515,0.0,0.0,0.0
516,0.0,0.0,0.0
517,0.0,0.0,0.0
518,0.0,0.0,38447.45014812555
519,0.0,0.0,38447.45014812555
520,0.0,4078.4508571841397,70364.3
521,0.0,4078.4508571841397,70364.3
522,0.0,8787.34,70364.3
523,0.0,8787.34,70364.3
524,0.0,8787.34,70364.3
525,0.0,8787.34,70364.3
526,52.14441127124735,8787.34,70364.3
527,52.14441127124735,8787.34,70364.3
528,0.0,4552.025451992645,70364.3
529,0.0,4552.025451992645,70364.3
530,0.0,3128.15763232853,70364.3
531,0.0,3128.15763232853,70364.3
532,0.0,1796.6019544325236,70364.3
533,0.0,1796.6019544325236,70364.3
534,0.0,0.0,70364.3
535,0.0,0.0,70364.3
536,0.0,0.0,30916.195436134953
537,0.0,0.0,30916.195436134953
538,0.0,0.0,15552.120226198098
539,0.0,0.0,15552.120226198098
540,0.0,0.0,35300.400560630296
541,0.0,0.0,35300.400560630296
542,0.0,0.0,70364.3
543,0.0,0.0,70364.3
544,0.0,0.0,70364.3
545,0.0,0.0,70364.3
546,0.0,0.0,70364.3
547,0.0,0.0,70364.3
548,0.0,0.0,64446.692371293015
