transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,HV_kV,n_recommended,per_unit_MVA,installed_MVA,X_pu_on_installed_base,X_ohm_HV,X_ohm_LV
TR_3ecfe90f,ES00152,ES00153,220,400,400,2,100,200,0.14,112.0,33.88
TR_6cc3bf96,ES00134,ES00135,220,400,400,2,100,200,0.14,112.0,33.88
TR_023fe59e,ES00170,ES00171,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_4cb0b32d,ES00279,ES00280,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_41fc927f,ES00275,ES00276,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_cdc06a8b,ES00063,ES00064,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_9af01115,ES00347,ES00348,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_531ab7c5,ES00659,ES00660,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_f79c0213,ES00385,ES00386,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_fa8d5caa,ES00282,ES00283,132,220,220,2,100,200,0.12,29.04,10.4544
TR_b4c6d83c,ES00302,ES00303,132,220,220,3,100,300,0.12,19.36,6.9696
TR_14c8e677,ES00414,ES00415,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_45015848,ES00300,ES00301,132,220,220,2,100,200,0.12,29.04,10.4544
TR_cdbd89a4,ES00958,ES00959,132,220,220,2,100,200,0.12,29.04,10.4544
TR_ad3ea85c,ES00081,ES00082,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_0f0fff81,ES00508,ES00509,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_2ab84c9d,ES00840,ES00841,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_8d4c74b6,ES00243,ES00244,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_161e09c2,ES00252,ES00253,132,220,220,2,100,200,0.12,29.04,10.4544
TR_a6acaf6d,ES00249,ES00250,132,220,220,3,100,300,0.12,19.36,6.9696
TR_ac797598,ES00250,ES00251,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_9657d8d2,ES00254,ES00255,132,220,220,2,100,200,0.12,29.04,10.4544
TR_a7560d62,ES00120,ES00121,132,220,220,3,100,300,0.12,19.36,6.9696
TR_0577b900,ES00121,ES00122,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_f4298876,ES00763,ES00764,132,220,220,2,100,200,0.12,29.04,10.4544
TR_7cb91515,ES00256,ES00257,132,220,220,2,100,200,0.12,29.04,10.4544
TR_ce97d6f4,ES00090,ES00091,132,220,220,3,100,300,0.12,19.36,6.9696
TR_60f77458,ES00091,ES00092,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_1d98b925,ES00704,ES00705,132,220,220,2,100,200,0.12,29.04,10.4544
TR_cf9f1601,ES00077,ES00078,132,220,220,2,100,200,0.12,29.04,10.4544
TR_ba959aa8,ES00247,ES00248,132,220,220,3,100,300,0.12,19.36,6.9696
TR_62f1261f,ES00268,ES00269,132,220,220,3,100,300,0.12,19.36,6.9696
TR_cc6607e7,ES00269,ES00270,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_5dccfcf1,ES00113,ES00114,132,220,220,2,100,200,0.12,29.04,10.4544
TR_d307d820,ES00114,ES00115,220,400,400,2,100,200,0.14,112.0,33.88
TR_a4b2c097,ES00258,ES00259,132,220,220,2,100,200,0.12,29.04,10.4544
TR_c51f01d1,ES00117,ES00118,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_047a855a,ES00260,ES00261,132,220,220,2,100,200,0.12,29.04,10.4544
TR_23eddb22,ES00766,ES00767,132,220,220,2,100,200,0.12,29.04,10.4544
TR_f8ac356f,ES00237,ES00238,220,400,400,2,100,200,0.14,112.0,33.88
TR_e8bfe4d3,ES00262,ES00263,132,220,220,3,100,300,0.12,19.36,6.9696
TR_c6d90e4e,ES00263,ES00264,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_fa1d5cde,ES01068,ES01069,220,225,225,3,160,480,0.12,12.65625,12.1
TR_a9eba461,ES00757,ES00758,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_f70b66d0,ES00235,ES00236,132,220,220,2,100,200,0.12,29.04,10.4544
