Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
134,6.849440533942678e6,4.788888998699487e6,0.0,0.0,0.0,0.0
135,6.860477896766044e6,4.790391678908982e6,0.0,0.0,0.0,0.0
136,6.871515259589409e6,4.791894359118477e6,0.0,0.0,0.0,0.0
137,6.882495014939753e6,4.7933239110903535e6,0.0,0.0,0.0,0.0
138,6.893474770290096e6,4.79475346306223e6,0.0,0.0,0.0,0.0
139,6.904198586038316e6,4.796256143271725e6,0.0,0.0,0.0,0.0
140,6.914922401786536e6,4.79775882348122e6,0.0,0.0,0.0,0.0
141,6.924594083139346e6,4.798488461110103e6,0.0,0.0,0.0,0.0
142,6.934265764492156e6,4.799218098738986e6,0.0,0.0,0.0,0.0
143,6.941840774419702e6,4.7972250629385095e6,0.0,0.0,0.0,0.0
144,6.949415784347247e6,4.795232027138034e6,0.0,0.0,0.0,0.0
145,6.956252699589424e6,4.789793737347528e6,0.0,0.0,0.0,0.0
146,6.9630896148316e6,4.784355447557024e6,0.0,0.0,0.0,0.0
147,6.969706046362613e6,4.779843432198884e6,0.0,0.0,0.0,0.0
148,6.976322477893626e6,4.775331416840745e6,0.0,0.0,0.0,0.0
149,6.985425376960259e6,4.773576774546561e6,0.0,0.0,0.0,0.0
150,6.994528276026891e6,4.7718221322523765e6,0.0,0.0,0.0,0.0
151,7.005302081820362e6,4.773324812461872e6,0.0,0.0,0.0,0.0
152,7.016075887613834e6,4.774827492671367e6,0.0,0.0,0.0,0.0
153,7.02659572503016e6,4.776330172880862e6,0.0,0.0,0.0,0.0
154,7.037115562446485e6,4.777832853090357e6,0.0,0.0,0.0,0.0
155,7.04723491591268e6,4.779335533299852e6,0.0,0.0,0.0,0.0
156,7.057354269378876e6,4.780838213509347e6,0.0,0.0,0.0,0.0
157,7.067081272738048e6,4.782340893718842e6,0.0,0.0,0.0,0.0
158,7.076808276097219e6,4.783843573928338e6,0.0,0.0,0.0,0.0
159,7.086402924904856e6,4.785346254137833e6,0.0,0.0,0.0,0.0
160,7.095997573712492e6,4.786848934347328e6,0.0,0.0,0.0,0.0
161,7.105713571305146e6,4.788351614556823e6,0.0,0.0,0.0,0.0
162,7.1154295688978005e6,4.789854294766318e6,0.0,0.0,0.0,0.0
163,7.124379132030265e6,4.791356974975813e6,0.0,0.0,0.0,0.0
164,7.13332869516273e6,4.792859655185308e6,0.0,0.0,0.0,0.0
165,7.141636772480888e6,4.794362335394803e6,0.0,0.0,0.0,0.0
166,7.149944849799045e6,4.795865015604299e6,0.0,0.0,0.0,0.0
167,7.156137802478942e6,4.797367695813794e6,0.0,0.0,0.0,0.0
168,7.162330755158839e6,4.798870376023289e6,0.0,0.0,0.0,0.0
169,7.165254225837503e6,4.793264219254426e6,0.0,0.0,0.0,0.0
170,7.168177696516166e6,4.787658062485563e6,0.0,0.0,0.0,0.0
171,7.16939726589757e6,4.782326569179522e6,0.0,0.0,0.0,0.0
172,7.170616835278973e6,4.77699507587348e6,0.0,0.0,0.0,0.0
173,7.178572591887044e6,4.774363998694445e6,0.0,0.0,0.0,0.0
174,7.186528348495115e6,4.77173292151541e6,0.0,0.0,0.0,0.0
175,7.19604295120279e6,4.7696559292249195e6,0.0,0.0,0.0,0.0
176,7.205557553910466e6,4.767578936934429e6,0.0,0.0,0.0,0.0
177,7.215280348259689e6,4.7676212718748385e6,0.0,0.0,0.0,0.0
178,7.225003142608912e6,4.767663606815248e6,0.0,0.0,0.0,0.0
179,7.234348753710687e6,4.768998420046385e6,0.0,0.0,0.0,0.0
180,7.243694364812463e6,4.770333233277522e6,0.0,0.0,0.0,0.0
181,7.252627136629331e6,4.771668046508659e6,0.0,0.0,0.0,0.0
182,7.261559908446199e6,4.773002859739796e6,0.0,0.0,0.0,0.0
183,7.2702495497471355e6,4.774337672970934e6,0.0,0.0,0.0,0.0
184,7.278939191048072e6,4.7756724862020705e6,0.0,0.0,0.0,0.0
185,7.287874918378439e6,4.7741857341725845e6,0.0,0.0,0.0,0.0
186,7.296810645708805e6,4.772698982143098e6,0.0,0.0,0.0,0.0
187,7.305240783953031e6,4.7670928253742345e6,0.0,0.0,0.0,0.0
188,7.313670922197256e6,4.761486668605371e6,0.0,0.0,0.0,0.0
189,7.321471593753627e6,4.755880511836508e6,0.0,0.0,0.0,0.0
190,7.329272265309997e6,4.750274355067645e6,0.0,0.0,0.0,0.0
191,7.335226380185413e6,4.744668198298782e6,0.0,0.0,0.0,0.0
192,7.341180495060829e6,4.739062041529919e6,0.0,0.0,0.0,0.0
193,7.346462547372041e6,4.733455884761056e6,0.0,0.0,0.0,0.0
194,7.351744599683254e6,4.727849727992193e6,0.0,0.0,0.0,0.0
195,7.356965145186104e6,4.72224357122333e6,0.0,0.0,0.0,0.0
196,7.362185690688953e6,4.716637414454467e6,0.0,0.0,0.0,0.0
197,7.369821656347513e6,4.7112406015041545e6,0.0,0.0,0.0,0.0
198,7.377457622006073e6,4.705843788553842e6,0.0,0.0,0.0,0.0
199,7.387104209264468e6,4.701880410590082e6,0.0,0.0,0.0,0.0
200,7.396750796522864e6,4.697917032626323e6,0.0,0.0,0.0,0.0
201,7.406617091326507e6,4.69746740069521e6,0.0,0.0,0.0,0.0
202,7.4164833861301495e6,4.697017768764098e6,0.0,0.0,0.0,0.0
203,7.426085292103665e6,4.698352581995236e6,0.0,0.0,0.0,0.0
204,7.43568719807718e6,4.699687395226372e6,0.0,0.0,0.0,0.0
205,7.444983626206977e6,4.701022208457509e6,0.0,0.0,0.0,0.0
206,7.454280054336774e6,4.702357021688647e6,0.0,0.0,0.0,0.0
207,7.463393077251019e6,4.703691834919784e6,0.0,0.0,0.0,0.0
208,7.472506100165263e6,4.705026648150921e6,0.0,0.0,0.0,0.0
209,7.482383032696813e6,4.70478269321149e6,0.0,0.0,0.0,0.0
210,7.492259965228364e6,4.704538738272061e6,0.0,0.0,0.0,0.0
211,7.50253789508481e6,4.698932581503198e6,0.0,0.0,0.0,0.0
212,7.512815824941257e6,4.693326424734334e6,0.0,0.0,0.0,0.0
213,7.522987150792378e6,4.687720267965471e6,0.0,0.0,0.0,0.0
214,7.533158476643499e6,4.682114111196608e6,0.0,0.0,0.0,0.0
215,7.54149728501601e6,4.676507954427745e6,0.0,0.0,0.0,0.0
216,7.54983609338852e6,4.670901797658882e6,0.0,0.0,0.0,0.0
217,7.557263355297331e6,4.665295640890019e6,0.0,0.0,0.0,0.0
218,7.56469061720614e6,4.659689484121156e6,0.0,0.0,0.0,0.0
219,7.572008976074537e6,4.654083327352293e6,0.0,0.0,0.0,0.0
220,7.579327334942935e6,4.64847717058343e6,0.0,0.0,0.0,0.0
221,7.587799323964195e6,4.643637262822868e6,0.0,0.0,0.0,0.0
222,7.596271312985457e6,4.638797355062306e6,0.0,0.0,0.0,0.0
223,7.6060929923483785e6,4.634791600672296e6,0.0,0.0,0.0,0.0
224,7.6159146717113005e6,4.630785846282287e6,0.0,0.0,0.0,0.0
225,7.626215091719378e6,4.629199798110834e6,0.0,0.0,0.0,0.0
226,7.636515511727455e6,4.627613749939382e6,0.0,0.0,0.0,0.0
227,7.646675050453309e6,4.628948563170519e6,0.0,0.0,0.0,0.0
228,7.656834589179163e6,4.630283376401656e6,0.0,0.0,0.0,0.0
229,7.666737599508211e6,4.631618189632794e6,0.0,0.0,0.0,0.0
230,7.67664060983726e6,4.632953002863931e6,0.0,0.0,0.0,0.0
231,7.6867918820461035e6,4.634287816095067e6,0.0,0.0,0.0,0.0
232,7.696943154254948e6,4.635622629326205e6,0.0,0.0,0.0,0.0
233,7.7075682524969205e6,4.634132401925348e6,0.0,0.0,0.0,0.0
234,7.718193350738894e6,4.632642174524492e6,0.0,0.0,0.0,0.0
235,7.728648135588031e6,4.627036017755629e6,0.0,0.0,0.0,0.0
236,7.739102920437167e6,4.6214298609867655e6,0.0,0.0,0.0,0.0
237,7.749239067880087e6,4.615823704217902e6,0.0,0.0,0.0,0.0
238,7.759375215323006e6,4.610217547449039e6,0.0,0.0,0.0,0.0
239,7.768030196831549e6,4.604611390680176e6,0.0,0.0,0.0,0.0
240,7.776685178340091e6,4.599005233911313e6,0.0,0.0,0.0,0.0
241,7.784635607295667e6,4.59339907714245e6,0.0,0.0,0.0,0.0
242,7.792586036251242e6,4.587792920373587e6,0.0,0.0,0.0,0.0
243,7.80014755263431e6,4.582186763604724e6,0.0,0.0,0.0,0.0
244,7.807709069017379e6,4.576580606835861e6,0.0,0.0,0.0,0.0
245,7.8157568453262355e6,4.572596797533438e6,0.0,0.0,0.0,0.0
246,7.8238046216350915e6,4.568612988231014e6,0.0,0.0,0.0,0.0
247,7.833088666981064e6,4.565539395095989e6,0.0,0.0,0.0,0.0
248,7.842372712327037e6,4.562465801960963e6,0.0,0.0,0.0,0.0
