date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-12-02,0,389,G0809,Wind,Onshore,1117,62.0,8.65,-8.64,100.0,0.18
2024-12-02,0,219,G0306,Wind,Onshore,388,28.0,3.9,0.01,100.0,0.18
2024-12-02,0,559,G0309,Solar,PV,390,84.5,3.56,-3.56,100.0,0.0
2024-12-02,0,203,G0229,Wind,Onshore,319,204.0,28.45,1.84,100.0,0.18
2024-12-02,0,799,G0856,Solar,PV,1160,23.8,1.0,-0.01,100.0,0.0
2024-12-02,0,157,G0048,Wind,Onshore,81,89.0,12.41,-12.41,100.0,0.18
2024-12-02,0,793,G0844,Solar,PV,1150,13.3,0.56,-0.56,100.0,0.0
2024-12-02,0,57,G0257,Gas,Combined_cycle,344,395.0,0.0,-19.74,0.0,93.16
2024-12-02,0,165,G0075,Wind,Onshore,132,224.0,31.23,-31.23,100.0,0.18
2024-12-02,0,876,G0931,Hydro,run_of_river,312,86.5,86.5,12.54,100.0,0.0
2024-12-02,0,973,G0644,Gas,Combined_cycle,849,25.0,0.0,-25.0,0.0,93.16
2024-12-02,0,885,G0940,Hydro,run_of_river,923,12.8,12.8,-12.79,100.0,0.0
2024-12-02,0,200,G0223,Wind,Onshore,313,15.37,2.14,-0.01,100.0,0.18
2024-12-02,0,641,G0498,Solar,PV,643,697.0,29.38,-29.38,100.0,0.0
2024-12-02,0,428,G0925,Wind,Onshore,1232,32.0,4.46,-4.46,100.0,0.18
2024-12-02,0,772,G0808,Solar,PV,1116,4.2,0.18,-0.18,100.0,0.0
2024-12-02,0,734,G0698,Solar,PV,931,1.1,0.05,0.05,100.0,0.0
2024-12-02,0,273,G0486,Wind,Onshore,627,24.0,3.35,-3.35,100.0,0.18
2024-12-02,0,717,G0669,Solar,PV,892,10.7,0.45,0.45,100.0,0.0
2024-12-02,0,822,G0904,Solar,PV,1211,1.3,0.05,0.0,100.0,0.0
2024-12-02,0,583,G0349,Solar,PV,451,5.8,0.24,-0.24,100.0,0.0
2024-12-02,0,61,G0261,Gas,Combined_cycle,344,403.0,0.0,-20.58,0.0,93.16
2024-12-02,0,247,G0422,Wind,Onshore,527,137.0,19.1,-19.1,100.0,0.18
2024-12-02,0,835,G0021,Hydro,reservoir,36,158.0,0.0,-158.0,0.0,0.0
2024-12-02,0,457,G0037,Solar,PV,68,1.6,0.07,-0.07,100.0,0.0
2024-12-02,0,385,G0801,Wind,Onshore,1113,70.0,9.76,-1.54,100.0,0.18
2024-12-02,0,611,G0409,Solar,PV,515,167.4,7.06,-7.06,100.0,0.0
2024-12-02,0,56,G0256,Gas,Combined_cycle,344,401.0,0.0,-20.37,0.0,93.16
2024-12-02,0,528,G0241,Solar,PV,331,157.6,6.64,-6.64,100.0,0.0
2024-12-02,0,438,G0563,Hydro,pumped_storage,724,187.0,187.0,-187.0,100.0,0.04
2024-12-02,0,723,G0678,Solar,PV,900,20.0,0.84,-0.83,100.0,0.0
