rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
5,44,49,29.555499316578224,19.443872158,29.555499316578224,-5652.894,330.93538223326004,0.0,0.0,0.0,4205.95488691,6940.97,0.0,24465.953041054217
5,44,50,29.555499316578224,19.443872158,29.555499316578224,-5652.894,-352.62890646975734,0.0,0.0,0.0,3262.5049169099993,6940.97,0.0,22005.607272333866
5,44,51,29.555499316578224,19.443872158,29.555499316578224,-5652.894,-4528.206770127041,0.0,0.0,0.0,2684.2613869099996,6940.97,0.0,20299.332157037043
5,44,52,29.555499316578224,-0.0,29.555499316578224,-5652.894,-4832.862937689425,0.0,0.0,0.0,3692.06098191,6450.218157291841,0.0,21121.03607689127
5,44,53,26.10507842,-0.0,26.10507842,-5652.894,-8198.331289766567,0.0,0.0,0.0,11789.501351910003,0.0,0.0,26133.72664167657
5,44,54,25.595062408156743,-0.0,25.595062408156743,-5652.894,-6208.8260397280565,0.0,0.0,0.0,18259.456606910004,0.0,0.0,28271.968039139112
5,44,55,25.595062408156743,-0.0,25.595062408156743,-5652.894,-4629.653060335219,0.0,0.0,0.0,20419.534446910005,0.0,0.0,28159.61442810474
5,44,56,25.595062408156743,-0.0,25.595062408156743,-5652.894,-4392.992484572943,0.0,0.0,0.0,20407.311851910003,0.0,0.0,27422.368887637556
5,44,57,29.555499316578224,-0.0,29.555499316578224,-5652.894,-3197.069669504359,0.0,0.0,0.0,15024.477516910003,0.0,0.0,26816.21517346886
5,44,58,29.555499316578224,-0.0,29.555499316578224,-5652.894,-921.8416437532956,0.0,0.0,0.0,6169.265506909999,6940.97,0.0,26302.492834891236
5,44,59,29.555499316578224,-0.0,29.555499316578224,-5652.894,-2404.080500566197,0.0,0.0,0.0,3795.097641909999,6940.97,0.0,27462.0421424762
5,44,60,29.555499316578224,-0.0,29.555499316578224,-5652.894,-2775.888200257992,0.0,0.0,0.0,3490.758941909999,6940.97,0.0,27529.511142167994
5,44,61,29.555499316578224,-0.0,29.555499316578224,-5652.894,-1500.627759818987,0.0,0.0,0.0,3621.5870633499994,6940.97,0.0,24449.579304702227
5,44,62,29.555499316578224,-0.0,29.555499316578224,-5652.894,-3471.730976220889,0.0,0.0,0.0,3545.5023883499994,6940.97,0.0,21750.23088882808
5,44,63,29.555499316578224,-0.0,29.555499316578224,-5652.894,-2370.7411789513408,0.0,0.0,0.0,3454.2007783499994,6940.97,0.0,19570.654670599997
