rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
1,1,22,87.35086711149353,19.443872158,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,10929.50515587175,4949.765307222147,0.0,29580.270463093897
1,1,23,87.35086711149353,19.443872158,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,7158.61592087175,5397.887940997598,0.0,28960.124118613323
1,1,24,87.35086711149353,19.443872158,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,5628.666330871749,6940.97,0.0,29754.132106612553
1,1,25,87.35086711149353,19.443872158,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,4731.536091167249,0.0,0.0,26430.565251022133
1,1,26,87.35086711149353,19.443872158,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,3925.0385361672493,0.0,0.0,23653.74146358163
1,1,27,87.35086711149353,16.838393288828,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,3544.6151611672494,4445.871834936399,0.0,21691.48699610365
1,1,28,87.35086711149353,0.0,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,5012.80854116725,0.0,0.0,22000.06991323356
1,1,29,87.35086711149353,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,12802.996641167254,657.686707255175,0.0,27161.683348422426
1,1,30,75.64585091855339,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,19926.633941167252,0.0,0.0,30353.677599017607
1,1,31,75.64585091855339,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,22886.978346167256,0.0,0.0,30923.21482061668
1,1,32,75.64585091855339,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,21952.51139616725,0.0,0.0,30598.334496529136
1,1,33,87.35086711149353,19.443872158,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,16539.566271167252,56.254084655517545,0.0,30296.82035582277
1,1,34,87.35086711149353,24.78714138931618,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,7997.35290116725,6940.97,0.0,29592.8103710563
1,1,35,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,5226.73410116725,6940.97,0.0,29180.114236766236
1,1,36,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,4244.594171167249,6940.97,0.0,29755.382431284685
1,1,37,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,2935.7448726637494,6940.97,0.0,26427.668397848516
1,1,38,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,1870.5594226637497,6940.97,0.0,23636.793741183083
1,1,39,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,1353.1836326637497,6614.474807221424,0.0,21668.658439885174
1,1,40,87.35086711149353,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,3068.9760176637506,5272.615868430716,0.0,22042.591886094466
1,1,41,87.35086711149353,0.0,0.0,-2800.0,-3000.0,0.0,0.0,7408.0,11163.422047663751,2253.221870020855,0.0,27117.643917684607
