delivery_time,-12,-9,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,2863.8,2863.8,2863.8,2863.8,2863.8,2863.8,2547.2071540408647,2950.8576821100646,2851.3880987151815,3202.394560385182,3245.5459466006096,3535.771039059951,3684.0714933322292,3321.347819471483,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705,4047.60153256705
11,2552.4,2552.4,2552.4,2552.4,2552.4,2552.4,2552.4,2413.903109171689,2640.1078146552804,2792.488373133634,3076.9586036437904,2751.287027270283,3173.802940726744,2938.8569692030724,3800.8056534544685,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949,3144.854890510949
12,2595.7,2595.7,2595.7,2595.7,2595.7,2595.7,2595.7,2595.7,2571.7456915174575,2691.1677871316265,2972.007130956269,2989.853095863628,2859.8075514917664,2808.112772044611,3672.3682927328164,2860.8803120066814,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387,2532.3902439024387
13,2951.0,2951.0,2951.0,2951.0,2951.0,2951.0,2951.0,2951.0,2951.0,3118.027826286123,3311.0491912893963,3395.0062912136923,3435.6372674250365,2991.3822338944133,3764.0009583864344,3073.311636638816,2698.2850673404905,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837,2284.80032599837
14,3453.7,3453.7,3453.7,3453.7,3453.7,3453.7,3453.7,3453.7,3453.7,3453.7,3880.883161406172,3852.593664747227,3927.3869214830906,3579.815296869615,4083.7783041016432,3435.0745240390606,3120.9899924176357,2677.560617193995,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503,2320.153212290503
15,3909.6,3909.6,3909.6,3909.6,3909.6,3909.6,3909.6,3909.6,3909.6,3909.6,3909.6,4310.376041046414,4279.063215860078,4052.5989786761406,4454.662868410065,3779.5761547554544,3444.4153441021003,3244.7912391984123,2730.319265663093,2505.4140221402213,2505.4140221402213,2505.4140221402213,2505.4140221402213,2505.4140221402213,2505.4140221402213,2505.4140221402213,2505.4140221402213,2505.4140221402213
16,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4498.1,4913.103072534925,4432.30686129948,5135.749170538906,4414.408336537404,3911.911209679129,3772.761996772225,3394.676196250899,3005.383534639877,2516.69243697479,2516.69243697479,2516.69243697479,2516.69243697479,2516.69243697479,2516.69243697479,2516.69243697479,2516.69243697479
17,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5584.9,5605.265654882944,5853.063990656857,5648.217068192635,5089.579202092914,4634.383579239907,4552.0089843096575,4014.8582810480775,3255.3995226141374,2993.7492791302293,2993.7492791302293,2993.7492791302293,2993.7492791302293,2993.7492791302293,2993.7492791302293,2993.7492791302293
18,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6358.6,6919.193614802132,6171.1301032268975,6151.901714548998,5600.188811567271,5127.607162009487,5222.535688188378,4149.935894326505,3653.6659967773066,3803.712438625205,3803.712438625205,3803.712438625205,3803.712438625205,3803.712438625205,3803.712438625205
19,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6926.0,6987.822740603007,6572.856240340267,6391.996704825388,5905.748523202261,5649.960102277178,5419.341790545271,4674.7166700312,4536.259460924813,4459.943682845498,4459.943682845498,4459.943682845498,4459.943682845498,4459.943682845498
20,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7060.223129340019,6559.582469201762,6534.87179118838,6198.965826709881,5789.34136354362,5862.678825521073,5566.944603555927,5061.25573329985,4467.242769500438,4467.242769500438,4467.242769500438,4467.242769500438
21,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,7342.0,6892.93047503496,6565.84119840591,6662.324266824183,6187.863330597076,6045.622310001648,6423.005203521911,5856.371536864714,4728.404835206825,4583.117657373312,4583.117657373312,4583.117657373312
22,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,7184.9,6652.073491971041,6510.714232720669,6543.417286827871,6345.791129391729,6327.797574046579,6457.899091585774,5419.8693693426585,4776.724909401594,4010.7754209960585,4010.7754209960585
23,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,7018.1,6520.275543261612,6435.867486211721,6676.471359052578,6658.8350967676,6406.4791199968195,6158.46951938057,5431.363077062661,4095.769377370597,4247.212371902367
