Node	Generator	Period	genInstalledCap
ES415	CoalCCS	2	0.0
ES415	GasCCS	1	3.3722805734871923e-07
ES415	GasCCS	2	3.357440757762975e-07
ES415	GasOCGT	1	131.2210000332584
ES415	GasOCGT	2	112.30798834732727
ES415	Hydroregulated	1	2729.5610000002334
ES415	Hydroregulated	2	2729.5610000007564
ES415	Hydrorun-of-the-river	1	0.0
ES415	Hydrorun-of-the-river	2	0.0
ES415	Lignite	1	9.482122881633594e-07
ES415	Lignite	2	1.2098252349056024e-06
ES415	Solar	1	181.59800018028344
ES415	Solar	2	174.9456167642069
ES415	Waste	1	7.004279425704571e-06
ES415	Waste	2	7.032772623308918e-06
ES415	Windonshore	1	229.0660000605838
ES415	Windonshore	2	183.3657671985068
ES416	BioCCS	1	0.0005417207694947145
ES416	BioCCS	2	0.0005446958083041469
ES416	CoalCCS	1	0.0
ES416	CoalCCS	2	0.0
ES416	GasCCS	1	3.4081731986094903e-07
ES416	GasCCS	2	3.3932596636654905e-07
ES416	GasOCGT	1	29.187000003174735
ES416	GasOCGT	2	24.980249005347666
ES416	Lignite	1	9.578726892532846e-07
ES416	Lignite	2	1.2144975105906355e-06
ES416	Solar	1	223.24000025834397
ES416	Solar	2	215.06216749501743
ES416	Waste	1	104.26279607128123
ES416	Waste	2	104.26279608112651
ES416	Windonshore	1	243.9410001035651
ES416	Windonshore	2	195.27310280453742
ES417	BioCCS	1	4.320583152723153e-06
ES417	BioCCS	2	6.60291848056061e-06
ES417	CoalCCS	1	0.0
ES417	CoalCCS	2	0.0
ES417	GasCCGT	1	20.419000011241817
ES417	GasCCGT	2	17.10591699069831
ES417	GasCCS	1	3.3738995071615917e-07
ES417	GasCCS	2	3.359119019054616e-07
ES417	GasOCGT	1	62.47100001427049
ES417	GasOCGT	2	53.466993404542066
ES417	Lignite	1	9.478288012676043e-07
ES417	Lignite	2	1.210489651471879e-06
ES417	Solar	1	53.005000568285645
ES417	Solar	2	51.06329660910974
ES417	Waste	1	7.01222590451298e-06
ES417	Waste	2	7.295003606473934e-06
ES417	Windonshore	1	1085.0410000864474
ES417	Windonshore	2	868.5679022126969
ES418	BioCCS	1	9.165798127380585e-06
ES418	BioCCS	2	1.2694787228466709e-05
ES418	CoalCCS	1	0.0
ES418	CoalCCS	2	0.0
ES418	GasCCGT	1	40.83800001367808
ES418	GasCCGT	2	34.21183392421277
ES418	GasCCS	1	3.394959441573499e-07
ES418	GasCCS	2	3.380112897798165e-07
ES418	GasOCGT	1	84.90700002485895
ES418	GasOCGT	2	72.66927068599772
ES418	Hydrorun-of-the-river	1	5.445999934533951
ES418	Hydrorun-of-the-river	2	5.445999944208741
ES418	Lignite	1	9.530498879595602e-07
ES418	Lignite	2	1.2128440611184714e-06
ES418	Solar	1	573.5620001368787
ES418	Solar	2	552.551007059462
ES418	Waste	1	1.4572585106304453e-05
ES418	Waste	2	1.4599926616169498e-05
ES418	Windonshore	1	766.5300001136666
ES418	Windonshore	2	613.6020244468689
ES419	BioCCS	1	5.05683015327354e-06
ES419	BioCCS	2	7.402326555291195e-06
ES419	CoalCCS	1	0.0
ES419	CoalCCS	2	0.0
ES419	GasCCS	1	3.378993665576594e-07
ES419	GasCCS	2	3.364166788112072e-07
ES419	GasOCGT	1	106.45600001887662
ES419	GasOCGT	2	91.11239212950395
ES419	Hydroregulated	1	1353.9600000001885
ES419	Hydroregulated	2	1353.9600000043297
ES419	Hydrorun-of-the-river	1	0.0
ES419	Hydrorun-of-the-river	2	0.0
ES419	Lignite	1	9.494165828919316e-07
ES419	Lignite	2	1.2107484587488154e-06
ES419	Solar	1	261.3570000220296
ES419	Solar	2	251.78284744052036
ES419	Waste	1	8.081763990137703e-06
ES419	Waste	2	8.152598364547824e-06
ES419	Windonshore	1	659.4340001407296
ES419	Windonshore	2	527.8724086037365
ES421	BioCCS	1	4.3139170110525655e-06
ES421	BioCCS	2	7.95441543777647e-06
ES421	CoalCCS	1	0.0
ES421	CoalCCS	2	0.0
ES421	GasCCS	1	3.377721885649594e-07
ES421	GasCCS	2	3.362968425428484e-07
ES421	GasOCGT	1	163.99100002920088
ES421	GasOCGT	2	140.3548160232721
ES421	Lignite	1	9.476873611140032e-07
ES421	Lignite	2	1.2105147728707856e-06
ES421	Solar	1	721.8610002347117
ES421	Solar	2	695.4174480506557
ES421	Waste	1	7.054720251755557e-06
ES421	Waste	2	8.47118579417043e-06
ES421	Windonshore	1	2104.7340000071463
ES421	Windonshore	2	1684.8251769040937
ES422	Bio	1	71.7550000129335
ES422	Bio	2	60.23604719413254
ES422	BioCCS	1	6.4506623395906714e-06
ES422	BioCCS	2	1.1092718913198633e-05
ES422	CoalCCS	1	0.0
ES422	CoalCCS	2	0.0
ES422	GasCCS	1	3.3894387060587303e-07
ES422	GasCCS	2	3.374600090521981e-07
ES422	GasOCGT	1	195.9220000273736
ES422	GasOCGT	2	167.68356962151435
ES422	Lignite	1	9.513087548494528e-07
ES422	Lignite	2	1.2117889136073926e-06
ES422	Oil	1	217.9600000000515
ES422	Oil	2	171.8166837379221
ES422	Solar	1	2401.337000051182
ES422	Solar	2	2313.370094504922
ES422	Waste	1	55.36500175049372
ES422	Waste	2	55.365002106695606
ES422	Windonshore	1	273.6900001459888
ES422	Windonshore	2	219.08697397957434
ES423	BioCCS	1	4.721645004674565e-06
ES423	BioCCS	2	6.178613646014122e-06
ES423	CoalCCS	1	0.0
ES423	CoalCCS	2	0.0
ES423	GasCCGT	1	20.419000007969103
ES423	GasCCGT	2	17.105916982989086
ES423	GasCCS	1	3.375822141849201e-07
ES423	GasCCS	2	3.361027004483521e-07
ES423	GasOCGT	1	183.44200002935787
ES423	GasOCGT	2	157.0023242866962
ES423	Lignite	1	9.485159160197585e-07
ES423	Lignite	2	1.2101905997560535e-06
ES423	Solar	1	5115.213010255157
ES423	Solar	2	5065.534837103883
ES423	Waste	1	7.3450926404910764e-06
ES423	Waste	2	7.390349556519643e-06
ES423	Windonshore	1	1575.1050003638984
ES423	Windonshore	2	8272.394935606959
ES424	BioCCS	1	4.4467579665448765e-06
ES424	BioCCS	2	6.183185754071055e-06
ES424	CoalCCS	1	0.0
ES424	CoalCCS	2	0.0
ES424	GasCCS	1	3.3730167183425774e-07
ES424	GasCCS	2	3.358213246994154e-07
ES424	GasOCGT	1	177.22100002915772
ES424	GasOCGT	2	151.67796312464125
ES424	Lignite	1	9.480272324689949e-07
ES424	Lignite	2	1.2102369413873223e-06
ES424	Nuclear	1	1024.1540000052967
ES424	Nuclear	2	918.1094299191556
ES424	Solar	1	1182.6530000455145
ES424	Solar	2	1139.3294982535506
ES424	Waste	1	7.053190787945221e-06
ES424	Waste	2	7.127730425789494e-06
ES424	Windonshore	1	662.4090000809998
ES424	Windonshore	2	530.2538758487141
ES425	BioCCS	1	6.55719069895801e-06
