Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES130,Solar,2020-2025,0.002061409946277774
ES130,Solar,2025-2030,0.004087499766852455
ES211,Solar,2020-2025,0.0016645183722740708
ES211,Solar,2025-2030,0.0035478973260285283
ES212,Solar,2020-2025,0.0
ES212,Solar,2025-2030,0.0
ES213,Solar,2020-2025,0.0
ES213,Solar,2025-2030,0.0
ES220,Solar,2020-2025,0.0019255926338218414
ES220,Solar,2025-2030,0.003990462431807027
ES230,Solar,2020-2025,0.002013167292959482
ES230,Solar,2025-2030,0.003979460751129485
ES241,Solar,2020-2025,0.0021084628025883462
ES241,Solar,2025-2030,0.003995426515582552
ES242,Solar,2020-2025,0.0019281744932245417
ES242,Solar,2025-2030,0.004221956298909222
ES243,Solar,2020-2025,0.001823441293988407
ES243,Solar,2025-2030,0.0038892618245603273
ES300,Solar,2020-2025,0.0019469917798457003
ES300,Solar,2025-2030,0.003930065838309335
ES412,Solar,2020-2025,0.0021260353738721065
ES412,Solar,2025-2030,0.004308910194955087
ES413,Solar,2020-2025,0.0018780417688196041
ES413,Solar,2025-2030,0.004370597194950065
ES414,Solar,2020-2025,0.002018717198568317
ES414,Solar,2025-2030,0.004158069007505406
ES415,Solar,2020-2025,0.00197064319979613
ES415,Solar,2025-2030,0.004286496535004054
ES416,Solar,2020-2025,0.0018648289277762534
ES416,Solar,2025-2030,0.00429242020099302
ES417,Solar,2020-2025,0.002086482043108906
ES417,Solar,2025-2030,0.004013025227436055
ES418,Solar,2020-2025,0.0018109067256367282
ES418,Solar,2025-2030,0.004103801810614056
ES419,Solar,2020-2025,0.0018628997384530666
ES419,Solar,2025-2030,0.004357991099199491
ES421,Solar,2020-2025,0.002033346905158497
ES421,Solar,2025-2030,0.0042688776118846705
ES422,Solar,2020-2025,0.001864249009181039
ES422,Solar,2025-2030,0.004253891671814879
ES423,Solar,2020-2025,0.0019112135876980891
ES423,Solar,2025-2030,0.004344756967088315
ES424,Solar,2020-2025,0.0018556872368042248
ES424,Solar,2025-2030,0.004208729394725205
ES425,Solar,2020-2025,0.0020054900853414374
ES425,Solar,2025-2030,0.004217463399582298
ES431,Solar,2020-2025,0.001920103787305592
ES431,Solar,2025-2030,0.004300123306596636
ES432,Solar,2020-2025,0.001823382947349279
ES432,Solar,2025-2030,0.004275321164451096
ES511,Solar,2020-2025,0.0018809537425131001
ES511,Solar,2025-2030,0.003336363051105334
ES512,Solar,2020-2025,0.0017960563182000079
ES512,Solar,2025-2030,0.0032542455045815972
ES513,Solar,2020-2025,0.0018471415605924378
ES513,Solar,2025-2030,0.0036005700758125992
ES514,Solar,2020-2025,0.00196084305318877
ES514,Solar,2025-2030,0.0034904603569228068
ES521,Solar,2020-2025,0.0020146559266696084
ES521,Solar,2025-2030,0.004356855169755056
ES522,Solar,2020-2025,0.0020380677136952966
ES522,Solar,2025-2030,0.0039761147060239565
ES523,Solar,2020-2025,0.001969994684745901
