date,hour,stage,price_eur_mwh
2025-06-30,2,DA,14.91
2025-06-30,3,DA,14.91
2025-06-30,4,DA,14.91
2025-06-30,5,DA,14.91
2025-06-30,6,DA,14.91
2025-06-30,7,DA,14.91
2025-06-30,8,DA,11.19
2025-06-30,9,DA,0.18
2025-06-30,10,DA,0.18
2025-06-30,11,DA,0.18
2025-06-30,12,DA,0.0
2025-06-30,13,DA,0.0
2025-06-30,14,DA,0.0
2025-06-30,15,DA,0.18
2025-06-30,16,DA,0.18
2025-06-30,17,DA,0.18
2025-06-30,18,DA,14.91
2025-06-30,19,DA,14.91
2025-06-30,20,DA,14.91
2025-06-30,21,DA,14.91
2025-06-30,22,DA,14.91
2025-06-30,23,DA,14.91
