date,hour,load_mw,solar_mw,wind_mw,line_rating_factor,reliability_margin,cache_version,crossborder_split,fr_commercial_cap_mw,pt_commercial_cap_mw,base_emergency_mw,fr_import_mw,fr_export_mw,pt_import_mw,pt_export_mw,joint_scale
2024-08-26,20,35265.84134455936,0.0,11972.509198298902,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3907.5374965313404,4858.578007239728,7281.225284248563,7268.720331729328,0.9980212854616879
2024-08-26,21,32766.440458330864,0.0,10659.520414924655,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3874.356814780472,4841.9304278780355,7273.0445231519625,7271.36561844527,0.9972627426530144
2024-08-26,22,31031.52269135633,0.0,9663.463380808362,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3878.2943490328125,4829.513196601782,7266.254652596859,7273.521120681801,0.9966270660116686
2024-08-26,23,29139.902674461504,0.0,8278.456318824217,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3872.6964874133555,4815.665588266605,7258.969048525934,7275.871905148935,0.9959495538645448
2025-06-24,0,29390.253162444293,0.0,9031.173062616406,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3864.7917011353834,4817.966674264033,7259.5372664314955,7276.003628767893,0.9960455491137843
2025-06-24,1,28348.045603492366,0.0,8869.068363342245,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3897.461894528125,4810.577031990916,7254.735794152642,7277.792697518668,0.9956315062034428
2025-06-24,2,27742.678234143696,0.0,8536.483453183811,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3907.995555889894,4806.004430783579,7251.98135558831,7278.6572424080505,0.9953717139284732
2025-06-24,3,27375.688125619134,0.0,8082.619413886916,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3909.7807914192103,4803.02466772459,7250.481520350002,7278.97458964759,0.9952092399833383
2025-06-24,4,27082.98302395604,0.0,7670.388906499467,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3907.5086850790635,4800.539368224061,7249.217160514901,7279.1898328477255,0.9950651140842406
2025-06-24,5,27363.492079716514,0.0,6563.888826823002,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3909.685885236686,4801.677169007406,7251.441202188492,7277.778075774817,0.9951773532938287
2025-06-24,6,28923.477223807316,1047.2776796144642,5786.959548062635,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3892.877468083604,4813.0046961674525,7260.050442712068,7274.617935242374,0.9959262484169407
2025-06-24,7,31410.361856497915,6085.490375823932,4506.290713233634,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3828.000227074389,4832.8052336456185,7273.336841805746,7270.738861020099,0.9972168499211884
2025-06-24,8,33542.4524265666,15820.305624122031,4115.131995702187,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3735.2209457294052,4850.40612538636,7280.797901231516,7268.686174310401,0.9979579990338272
2025-06-24,9,34753.18716526394,25722.137305137036,4707.7224879424975,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3754.0565113150988,4860.534515809774,7281.663399804984,7268.830726388964,0.9980964905314121
2025-06-24,10,35788.74233554168,33960.802721687265,4514.18748409769,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3792.797509570263,4868.569896401517,7283.151815296825,7268.813652579304,0.9982981725645447
2025-06-24,11,36530.483672710674,39056.90641100636,5305.756994096522,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3742.705710478933,4874.458257595448,7283.232239558569,7269.475271221328,0.9984000713156694
2025-06-24,12,36459.52486018627,42243.08819827139,6493.895796833731,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3833.9417187582717,4875.5072595383845,7281.231626429084,7271.354617352409,0.9983838637149407
2025-06-24,13,35820.89554746681,42561.037639376336,7710.62811863408,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3839.068318540313,4872.732063162575,7278.4552825778865,7273.539340944592,0.9983030284297397
2025-06-24,14,35213.31071522675,40446.919640776265,9245.649031161636,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3801.992250613307,4869.624802113348,7275.811103392295,7275.307780196027,0.9981829829441824
2025-06-24,15,34959.41121416292,35152.51431020469,10640.216787447293,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3796.292838737109,4867.54034987048,7274.628701696287,7275.590340049053,0.9980595257812778
2025-06-24,16,34787.55784008042,28618.721336814237,12019.28588468167,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3806.9816302588383,4865.491639798896,7273.785104414066,7275.51296384643,0.9979331716751845
2025-06-24,17,34581.33379118144,18776.753528853165,13095.09139583889,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3711.300329260914,4862.088727095665,7273.7865851647075,7274.565375831128,0.997803398557911
2025-06-24,18,34349.60891903148,9167.356101376596,14513.095299756485,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3819.94186998995,4858.6432244501375,7273.509397370477,7274.285279629946,0.9977269548395911
2025-06-24,19,34280.867569398484,2140.027962622981,14681.226922750318,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3863.522250507099,4855.678825593238,7275.167961358535,7272.311618412739,0.9976836985995137
2025-06-24,20,34426.11138878433,18.706332243027752,14795.173698498835,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3892.69439404186,4855.527986438971,7275.873743547467,7271.520718018294,0.9976719741208336
2025-06-24,21,32835.08176421411,0.0,14270.285078957191,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3872.2323212846127,4845.253724721029,7270.621686296198,7273.852111417274,0.9972714367678358
2025-06-24,22,31108.78690326926,0.0,11839.722633433452,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3880.3361881391274,4831.882416542204,7265.155157786061,7275.074296696645,0.9966890477834114
2025-06-24,23,29465.64690075145,0.0,10083.53046441466,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3865.197409336961,4819.277889544679,7259.049532731622,7276.693499448122,0.9960730633923115
2025-06-25,0,27825.833092570694,0.0,9082.445160406613,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3907.5092509722276,4807.027284802102,7251.993742312778,7278.953586877861,0.9954139405047071
2025-06-25,1,26864.56292915441,0.0,8565.75455216558,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3905.8210244989264,4799.677147332621,7247.98418757836,7279.880769347361,0.9949903031534998
2025-06-25,2,26249.216976794494,0.0,8330.735861113732,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3901.103879059766,4794.896677304027,7245.859530685093,7279.933411208896,0.9947058223778268
2025-06-25,3,26087.342185723246,0.0,7147.058027389749,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3899.879898951242,4792.678937948253,7244.938511187836,7279.947259338236,0.9945812763140155
2025-06-25,4,25485.301010711646,0.0,6611.774369597757,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3910.0935144199025,4787.70407402398,7242.718293670965,7279.998762997359,0.9942835160200215
2025-06-25,5,25089.483884599067,0.0,6917.585412563264,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3916.733452317913,4784.997766943654,7241.485505152834,7280.032624519105,0.994118899462302
2025-06-25,6,26269.174142816977,996.8590023210074,7482.808815500052,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3940.269073392494,4795.152817494067,7246.374525174042,7279.9317039052785,0.9947762872579264
2025-06-25,7,27937.814968585768,5530.9986827709245,6626.616435152107,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3915.0154528944768,4809.861558681519,7255.209935995208,7278.798781861632,0.9958342191121415
2025-06-25,8,29615.325645920067,14426.63276780577,5665.694822020826,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3793.27758317224,4826.686326990785,7265.976725142445,7277.043784183033,0.997071595486302
2025-06-25,9,30833.821504737272,23714.314176941658,5425.243318899374,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3837.906147360846,4837.78859540808,7270.2677798034765,7276.328816113873,0.9975624244512332
2025-06-25,10,31715.26300406364,29829.784359470632,5409.518616060356,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3825.2379397710442,4844.719098969667,7271.964113264855,7276.066265056998,0.9977591847076819
2025-06-25,11,32918.23662264113,33734.694183330284,5521.236072790625,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3813.8652191581273,4852.7613845606775,7274.535962317765,7274.785979888947,0.9979364430446097
2025-06-25,12,33418.2745046489,35720.35835763571,6323.701120785579,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3819.0689131563645,4856.602725085506,7274.773167341192,7275.0069421261705,0.9979992999271864
2025-06-25,13,32801.8198208433,34567.21070353887,8294.28374597482,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3823.951332246527,4853.769755466281,7271.277612137257,7277.580881946053,0.9978726802783983
2025-06-25,14,32296.238281607042,30979.31864280768,9907.955011161233,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3820.1343952906504,4850.746339711093,7268.855684053048,7279.048426243473,0.9977414595730251
