date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-20,9,1451,LTGES0953a,577,576,ES00582,ES00581,ES211,ES211,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.06,0.0,7864.9,0.4
2024-08-22,20,563,LTGES0388c,814,337,ES00823,ES00340,ES618,ES618,intra_nuts3,true,10.0,intra_diagnostic,0.8,42.07,0.0,11797.34,0.4
2024-08-21,19,1096,LTGES0724a,92,931,ES00092,ES00942,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-103.68,0.0,28599.62,0.4
2024-08-21,11,284,LTGES0206b,750,231,ES00759,ES00234,ES522,ES522,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.69,0.0,7864.9,0.4
2024-08-21,19,1097,LTGES0724b,92,931,ES00092,ES00942,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-103.68,0.0,28599.62,0.4
2024-08-20,10,1395,LTGES0917a,998,977,ES01012,ES00988,ES120,ES120,intra_nuts3,true,10.0,intra_diagnostic,0.8,155.44,0.0,42899.43,0.4
2024-08-20,9,831,LTGES0564,873,106,ES00882,ES00106,ES511,ES511,intra_nuts3,true,10.0,intra_diagnostic,0.8,-14.13,0.0,3932.45,0.4
2024-08-22,19,1188,LTGES0778b,870,12,ES00879,ES00012,ES511,ES511,intra_nuts3,true,10.0,intra_diagnostic,0.8,103.72,0.0,28599.62,0.4
2024-08-20,9,1452,LTGES0953b,577,576,ES00582,ES00581,ES211,ES211,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.06,0.0,7864.9,0.4
2024-08-22,19,1768,LTGES1160b,380,1185,ES00383,ES01205,ES241,ES241,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.57,0.0,7864.9,0.4
2024-08-23,19,1021,LTGES0675b,910,486,ES00921,ES00489,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,100.12,0.0,28599.62,0.4
2024-08-22,6,1441,LTGES0946b,1011,1012,ES01025,ES01026,ES213,ES213,intra_nuts3,true,10.0,intra_diagnostic,0.8,104.2,0.0,28599.62,0.4
2024-08-20,12,208,LTGES0150a,182,742,ES00185,ES00751,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.39,0.0,7864.9,0.4
2024-08-22,19,1185,LTGES0777a,870,12,ES00879,ES00012,ES511,ES511,intra_nuts3,true,10.0,intra_diagnostic,0.8,103.72,0.0,28599.62,0.4
2024-08-20,10,1396,LTGES0917b,998,977,ES01012,ES00988,ES120,ES120,intra_nuts3,true,10.0,intra_diagnostic,0.8,155.44,0.0,42899.43,0.4
2025-06-26,21,294,LTGES0212a,751,261,ES00760,ES00264,ES522,ES522,intra_nuts3,true,10.0,intra_diagnostic,0.8,100.78,0.0,28599.62,0.4
2024-08-22,19,1091,LTGES0720a,928,501,ES00939,ES00504,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,30.87,0.0,7864.9,0.4
2024-08-20,19,1512,LTGES0994a,1024,1023,ES01038,ES01037,ES230,ES230,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.36,0.0,7864.9,0.4
