Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1
Italy	Solar
Italy	Waste
Italy	Windonshore
Portugal	Bio
Portugal	BioCCS
Portugal	Coal
Portugal	CoalCCS
Portugal	GasCCGT
Portugal	GasCCS
Portugal	GasOCGT
Portugal	Geo
Portugal	Hydroregulated
Portugal	Hydrorun-of-the-river
Portugal	Nuclear
Portugal	Oil
Portugal	Solar
Portugal	Waste
Portugal	Wave
Portugal	Windonshore
