Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1	Unnamed:_2
ES614	6	6607141.026434
ES614	7	7690708.534246
ES615	1	3277873.034142
ES615	2	3587082.760376
ES615	3	4960520.344751
ES615	4	4825069.311112
ES615	5	5196402.533179
ES615	6	5104950.419225
ES615	7	5942159.490611
ES616	1	2564489.690012
ES616	2	2806404.232374
ES616	3	3880932.284046
ES616	4	3774960.278526
ES616	5	4065478.00439
ES616	6	3993929.167409
ES616	7	4648931.362305
ES617	1	5324415.328105
ES617	2	5826680.360583
ES617	3	8057624.649844
ES617	4	7837604.669752
ES617	5	8440780.045618
ES617	6	8292229.741121
ES617	7	9652150.874761
ES618	1	7637307.603326
ES618	2	8357753.382826
ES618	3	11557805.732806
ES618	4	11242210.467731
ES618	5	12107401.404269
ES618	6	11894321.788931
ES618	7	13844984.044569
ES620	1	6195161.162227
ES620	2	6779565.764537
ES620	3	9375354.891462
ES620	4	9119353.21774
ES620	5	9821170.869503
ES620	6	9648326.900663
ES620	7	11230647.225366
