Source:_See_reference_Generator.xlsx	Unnamed:_1	Unnamed:_2
ES413	Oil	200000.0
ES413	Bio	200000.0
ES413	Geo	0.0
ES413	Nuclear	200000.0
ES413	Hydro_reg	1112.071
ES413	Hydro_ror	74.693
ES413	Wave	0.0
ES413	Wind_onshr	2723.715
ES413	Wind_offshr_grounded	0.0
ES413	Wind_offshr_floating	0.0
ES413	Solar	5727.342
ES413	Waste	714.0
ES413	Gas_CCGT	200000.0
ES414	CCS	800000.0
ES414	Lignite	200000.0
ES414	Hcoal	0.0
ES414	Coal	400000.0
ES414	Gas_OCGT	200000.0
ES414	Oil	200000.0
ES414	Bio	200000.0
ES414	Geo	0.0
ES414	Nuclear	200000.0
ES414	Hydro_reg	0.0
ES414	Hydro_ror	0.0
ES414	Wave	0.0
ES414	Wind_onshr	8297.214
ES414	Wind_offshr_grounded	0.0
ES414	Wind_offshr_floating	0.0
ES414	Solar	3402.571
ES414	Waste	714.0
ES414	Gas_CCGT	200000.0
ES415	CCS	800000.0
ES415	Lignite	200000.0
ES415	Hcoal	0.0
ES415	Coal	400000.0
ES415	Gas_OCGT	200000.0
ES415	Oil	200000.0
ES415	Bio	200000.0
ES415	Geo	0.0
ES415	Nuclear	200000.0
ES415	Hydro_reg	4964.955
ES415	Hydro_ror	0.0
ES415	Wave	0.0
ES415	Wind_onshr	5750.059
ES415	Wind_offshr_grounded	0.0
ES415	Wind_offshr_floating	0.0
ES415	Solar	4403.635
ES415	Waste	714.0
ES415	Gas_CCGT	200000.0
ES416	CCS	800000.0
ES416	Lignite	200000.0
ES416	Hcoal	0.0
ES416	Coal	400000.0
ES416	Gas_OCGT	200000.0
ES416	Oil	200000.0
ES416	Bio	200000.0
ES416	Geo	0.0
ES416	Nuclear	200000.0
ES416	Hydro_reg	0.0
ES416	Hydro_ror	0.0
ES416	Wave	0.0
ES416	Wind_onshr	1482.323
ES416	Wind_offshr_grounded	0.0
ES416	Wind_offshr_floating	0.0
ES416	Solar	5413.419
ES416	Waste	714.0
ES416	Gas_CCGT	200000.0
ES417	CCS	800000.0
ES417	Lignite	200000.0
ES417	Hcoal	0.0
ES417	Coal	400000.0
ES417	Gas_OCGT	200000.0
ES417	Oil	200000.0
ES417	Bio	200000.0
ES417	Geo	0.0
ES417	Nuclear	200000.0
ES417	Hydro_reg	0.0
ES417	Hydro_ror	0.0
ES417	Wave	0.0
ES417	Wind_onshr	4257.752
ES417	Wind_offshr_grounded	0.0
ES417	Wind_offshr_floating	0.0
ES417	Solar	1285.338
ES417	Waste	714.0
ES417	Gas_CCGT	200000.0
ES418	CCS	800000.0
ES418	Lignite	200000.0
ES418	Hcoal	0.0
ES418	Coal	400000.0
ES418	Gas_OCGT	200000.0
ES418	Oil	200000.0
ES418	Bio	200000.0
ES418	Geo	0.0
ES418	Nuclear	200000.0
ES418	Hydro_reg	0.0
ES418	Hydro_ror	5.446
ES418	Wave	0.0
ES418	Wind_onshr	7774.322
ES418	Wind_offshr_grounded	0.0
ES418	Wind_offshr_floating	0.0
ES418	Solar	13908.511
ES418	Waste	714.0
ES418	Gas_CCGT	200000.0
ES419	CCS	800000.0
ES419	Lignite	200000.0
ES419	Hcoal	0.0
ES419	Coal	400000.0
ES419	Gas_OCGT	200000.0
ES419	Oil	200000.0
ES419	Bio	200000.0
ES419	Geo	0.0
ES419	Nuclear	200000.0
ES419	Hydro_reg	2462.795
ES419	Hydro_ror	0.0
ES419	Wave	0.0
ES419	Wind_onshr	5816.751
ES419	Wind_offshr_grounded	0.0
ES419	Wind_offshr_floating	0.0
ES419	Solar	6337.746
ES419	Waste	714.0
ES419	Gas_CCGT	200000.0
ES421	CCS	800000.0
ES421	Lignite	200000.0
ES421	Hcoal	0.0
ES421	Coal	400000.0
ES421	Gas_OCGT	200000.0
ES421	Oil	200000.0
ES421	Bio	200000.0
ES421	Geo	0.0
ES421	Nuclear	200000.0
ES421	Hydro_reg	0.0
ES421	Hydro_ror	0.0
ES421	Wave	0.0
ES421	Wind_onshr	12604.141
ES421	Wind_offshr_grounded	0.0
ES421	Wind_offshr_floating	0.0
ES421	Solar	3627.422
ES421	Waste	714.0
ES421	Gas_CCGT	200000.0
ES422	CCS	800000.0
ES422	Lignite	200000.0
ES422	Hcoal	0.0
ES422	Coal	400000.0
ES422	Gas_OCGT	200000.0
ES422	Oil	200000.0
ES422	Bio	200000.0
ES422	Geo	0.0
ES422	Nuclear	200000.0
ES422	Hydro_reg	0.0
ES422	Hydro_ror	0.0
ES422	Wave	0.0
ES422	Wind_onshr	4168.247
ES422	Wind_offshr_grounded	0.0
ES422	Wind_offshr_floating	0.0
ES422	Solar	12066.953
ES422	Waste	714.0
ES422	Gas_CCGT	200000.0
ES423	CCS	800000.0
ES423	Lignite	200000.0
ES423	Hcoal	0.0
ES423	Coal	400000.0
ES423	Gas_OCGT	200000.0
ES423	Oil	200000.0
ES423	Bio	200000.0
ES423	Geo	0.0
ES423	Nuclear	200000.0
ES423	Hydro_reg	0.0
ES423	Hydro_ror	0.0
ES423	Wave	0.0
ES423	Wind_onshr	10708.489
ES423	Wind_offshr_grounded	0.0
ES423	Wind_offshr_floating	0.0
ES423	Solar	6814.654
ES423	Waste	714.0
ES423	Gas_CCGT	200000.0
ES424	CCS	800000.0
