tech,region,existing_mw,target_mw,factor,new_units,new_mw
Gas CCGT,ES612,4015.0,2986.1004794413348,0.7437361094498965,0,0.0
Gas CCGT,ES614,49.0,36.442749376871646,0.7437295791198295,0,0.0
Gas CCGT,ES615,1719.0,1278.4827793236436,0.7437363463197462,0,0.0
Gas CCGT,ES616,26.0,19.336832321127208,0.7437243200433541,0,0.0
Gas CCGT,ES617,416.0,309.39434242573475,0.7437364000618624,0,0.0
Gas CCGT,ES620,3468.0,2579.2772229386783,0.7437362234540594,0,0.0
Gas OCGT,ES111,0.0,183.20732327818695,0.0,3,183.20732327818692
Gas OCGT,ES112,0.0,84.62747301517281,0.0,3,84.62747301517281
Gas OCGT,ES113,0.0,124.16091936263433,0.0,3,124.16091936263433
Gas OCGT,ES114,0.0,24.06446951718538,0.0,3,24.06446951718538
Gas OCGT,ES120,0.0,139.44845204266068,0.0,3,139.44845204266068
Gas OCGT,ES130,0.0,25.75737829328396,0.0,3,25.757378293283956
Gas OCGT,ES211,0.0,14.388869961700534,0.0,3,14.388869961700532
Gas OCGT,ES212,0.0,3.0982473680873213,0.0,1,1.8396092168846647
Gas OCGT,ES213,0.0,99.53499993364714,0.0,3,99.53499993364714
Gas OCGT,ES220,36.0,159.47664428024305,4.429906785562307,0,0.0
Gas OCGT,ES230,0.0,22.645438398515125,0.0,3,22.645438398515125
Gas OCGT,ES241,0.0,32.67707922997631,0.0,3,32.67707922997631
Gas OCGT,ES242,0.0,69.32881418582029,0.0,3,69.32881418582029
Gas OCGT,ES243,0.0,368.096427950802,0.0,3,368.096427950802
Gas OCGT,ES300,0.0,20.351709439884058,0.0,3,20.351709439884058
Gas OCGT,ES412,0.0,64.02242664758371,0.0,3,64.0224266475837
Gas OCGT,ES413,0.0,61.38207059016499,0.0,3,61.38207059016498
Gas OCGT,ES414,0.0,63.62273582674305,0.0,3,63.62273582674305
Gas OCGT,ES415,0.0,112.30798903819117,0.0,3,112.30798903819115
Gas OCGT,ES416,0.0,24.980249214495625,0.0,3,24.980249214495625
Gas OCGT,ES417,0.0,53.46699371455138,0.0,3,53.46699371455138
Gas OCGT,ES418,0.0,72.66927097173212,0.0,3,72.66927097173212
Gas OCGT,ES419,0.0,91.11239266103146,0.0,3,91.11239266103148
Gas OCGT,ES421,0.0,140.35481731319814,0.0,3,140.35481731319814
Gas OCGT,ES422,0.0,167.68357111516747,0.0,3,167.68357111516747
Gas OCGT,ES423,0.0,157.0023263443034,0.0,3,157.0023263443034
Gas OCGT,ES424,0.0,151.6779644519634,0.0,3,151.67796445196342
Gas OCGT,ES425,0.0,85.68447126103554,0.0,3,85.68447126103553
Gas OCGT,ES431,0.0,229.26334679593137,0.0,3,229.26334679593137
Gas OCGT,ES432,0.0,371.85369281287876,0.0,3,371.85369281287876
Gas OCGT,ES511,0.0,123.11162390508427,0.0,3,123.11162390508427
Gas OCGT,ES512,0.0,7.614666673986348,0.0,3,7.614666673986347
Gas OCGT,ES513,23.0,29.672123057283972,1.2900923068384336,0,0.0
Gas OCGT,ES514,235.0,257.5746380139717,1.0960622894211562,0,0.0
Gas OCGT,ES521,0.0,12.642897176417568,0.0,3,12.642897176417568
Gas OCGT,ES522,0.0,119.24480759511108,0.0,3,119.2448075951111
Gas OCGT,ES523,0.0,169.7847294910086,0.0,3,169.7847294910086
Gas OCGT,ES532,530.0,70.22234141849593,0.13249498380848287,0,0.0
Gas OCGT,ES611,0.0,67.2815755948346,0.0,3,67.2815755948346
Gas OCGT,ES612,243.0,324.35381905566976,1.3347893788299168,0,0.0
Gas OCGT,ES613,0.0,21.424113317693735,0.0,3,21.424113317693738
Gas OCGT,ES614,0.0,60.402956258248295,0.0,3,60.40295625824828
Gas OCGT,ES615,0.0,136.40840511582033,0.0,3,136.40840511582033
Gas OCGT,ES616,0.0,13.220608752050556,0.0,3,13.220608752050557
Gas OCGT,ES617,0.0,68.16226470760098,0.0,3,68.16226470760098
Gas OCGT,ES618,0.0,173.1072128648035,0.0,3,173.1072128648035
Gas OCGT,ES620,0.0,241.26434238694338,0.0,3,241.2643423869434
Hydro regulated,ES111,247.0,334.09400046678337,1.3526072893392038,0,0.0
Hydro regulated,ES112,616.0,461.2390003494669,0.7487646109569268,0,0.0
Hydro regulated,ES113,1666.0,2625.4110000049404,1.5758769507832775,0,0.0
Hydro regulated,ES120,243.0,328.6840002433809,1.35260905449951,0,0.0
Hydro regulated,ES213,127.0,248.383558031572,1.9557760474926928,0,0.0
Hydro regulated,ES241,133.0,179.89700051148165,1.3526090264021178,0,0.0
Hydro regulated,ES243,488.0,660.072000203051,1.3526065577931372,0,0.0
Hydro regulated,ES413,452.0,611.3780002475228,1.3526061952378823,0,0.0
Hydro regulated,ES415,2018.0,2729.5610000138013,1.3526070366768093,0,0.0
Hydro regulated,ES419,1001.0,1353.9600001420724,1.3526073927493232,0,0.0
Hydro regulated,ES425,396.0,535.6320004285509,1.3526060616882598,0,0.0
Hydro regulated,ES431,158.0,254.3447869168385,1.6097771323850538,0,0.0
Hydro regulated,ES432,2377.0,3215.147000001917,1.3526070677332425,0,0.0
Hydro regulated,ES512,135.0,250.15135526900195,1.8529730019926072,0,0.0
Hydro regulated,ES513,343.0,463.94400035548387,1.3526064150305652,0,0.0
Hydro regulated,ES514,400.0,541.0430003924687,1.3526075009811718,0,0.0
Hydro regulated,ES523,743.0,1004.9870002048141,1.3526069989297633,0,0.0
Hydro regulated,ES617,117.0,250.33935748676137,2.1396526280919774,0,0.0
Hydro run-of-the-river,ES112,2.9499999999999997,7.650999569272036,2.5935591760244194,0,0.0
Hydro run-of-the-river,ES113,293.5,506.93700045831224,1.727212948750638,0,0.0
Hydro run-of-the-river,ES230,2.7,7.001999736600466,2.59333323577795,0,0.0
Hydro run-of-the-river,ES241,188.84,313.7310000941483,1.6613588227819758,0,0.0
Hydro run-of-the-river,ES243,5.0,31.640998254767595,6.328199650953519,0,0.0
Hydro run-of-the-river,ES413,28.799999999999997,49.7440000295186,1.727222223247174,0,0.0
Hydro run-of-the-river,ES418,2.1,5.445999741201856,2.5933332100961217,0,0.0
Hydro run-of-the-river,ES511,2.7209999999999996,7.056999750254052,2.593531697998549,0,0.0
Hydro run-of-the-river,ES512,1.5,3.88999976142228,2.5933331742815198,0,0.0
Hydro run-of-the-river,ES513,3.7,9.595999545734928,2.5935133907391696,0,0.0
Hydro run-of-the-river,ES613,8.4,21.78599977083758,2.593571401290188,0,0.0
Hydro run-of-the-river,ES614,32.39,84.00399980293226,2.59351651135944,0,0.0
Hydro run-of-the-river,ES615,5.0,12.967999755718553,2.5935999511437107,0,0.0
Hydro run-of-the-river,ES616,50.07,129.85699981001406,2.5935090834834043,0,0.0
Hydro run-of-the-river,ES617,17.720000000000002,45.956999824441525,2.5935101481061804,0,0.0
Hydro run-of-the-river,ES618,23.200000000000003,60.169999796698896,2.593534473995642,0,0.0
Nuclear,ES424,1066.0,868.3221677484697,0.814561132972298,0,0.0
Nuclear,ES432,2093.0,1704.877339944657,0.81456155754642,0,0.0
Nuclear,ES514,3147.0,2563.424721301901,0.8145613985706709,0,0.0
Nuclear,ES523,1102.0,897.6465260795559,0.8145612759342612,0,0.0
Oil,ES111,80.0,196.36181172649322,2.4545226465811654,0,0.0
Oil,ES130,76.0,186.5436029325203,2.454521091217372,0,0.0
Oil,ES422,70.0,171.8166837886613,2.4545240541237328,0,0.0
Solar,ES112,2.0,1.3853300393591736,0.6926650196795868,0,0.0
Solar,ES114,12.0,8.313869126031362,0.6928224271692801,0,0.0
Solar,ES120,50.0,0.0,0.0,0,0.0
Solar,ES130,0.0,36.51355642892787,0.0,3,36.51355642892787
Solar,ES211,38.4,1.0394805961818385,0.027069807192235378,0,0.0
Solar,ES220,156.2,121.18007524718055,0.7758007378180574,0,0.0
Solar,ES230,75.7,47.59903401702967,0.6287851257203391,0,0.0
Solar,ES241,130.00000000000003,74.9663797568652,0.5766644596681937,0,0.0
Solar,ES242,802.8000000000001,7276.363991700455,9.063731927877996,0,0.0
Solar,ES243,1306.6,10149.037446930985,7.767516796977641,0,0.0
Solar,ES300,288.3,1885.630997641853,6.540516814574585,0,0.0
Solar,ES412,104.6,26.328839044303308,0.25170974229735477,0,0.0
Solar,ES413,307.8,227.53296030785668,0.7392233928130496,0,0.0
Solar,ES414,126.60000000000001,135.1758786582432,1.0677399578060283,0,0.0
Solar,ES415,252.5,174.945618599882,0.6928539350490377,0,0.0
Solar,ES416,310.4,1404.738334904837,4.525574532554243,0,0.0
Solar,ES417,174.8,78.85802162466025,0.45113284682299915,0,0.0
Solar,ES418,797.4999999999999,552.5510091137037,0.6928539299231395,0,0.0
Solar,ES419,363.4,251.78284782902614,0.6928531861007874,0,0.0
Solar,ES421,1003.6999999999999,3627.4219986900093,3.6140500136395435,0,0.0
Solar,ES422,3338.8999999999996,2313.370098200434,0.6928539633413502,0,0.0
Solar,ES423,1885.6000000000004,6814.653998473075,3.6140506992326444,0,0.0
Solar,ES424,1543.3,2179.311853618931,1.4121116138268197,0,0.0
Solar,ES425,574.5000000000001,2076.2719759623706,3.6140504368361532,0,0.0
Solar,ES431,4367.199999999999,3414.730392774481,0.781903826885529,0,0.0
Solar,ES432,4225.799999999999,2538.962841103844,0.6008241850309632,0,0.0
Solar,ES511,24.0,2592.2399982832235,108.00999992846765,0,0.0
Solar,ES512,8.1,937.372996435882,115.7250612883805,0,0.0
Solar,ES513,60.099999999999994,7140.23299871694,118.80587352274443,0,0.0
Solar,ES514,21.1,2441.7979985158163,115.725023626342,0,0.0
Solar,ES521,190.6,4652.95399843157,24.412140600375498,0,0.0
Solar,ES522,75.2,1835.792997446024,24.412140923484362,0,0.0
Solar,ES523,128.7,3141.8419988051223,24.412136742852546,0,0.0
Solar,ES532,272.1,1930.9309983884355,7.096402052144194,0,0.0
Solar,ES611,863.9000000000001,4246.809992947175,4.9158583087708925,0,0.0
Solar,ES612,1301.5000000000002,5771.953995339272,4.4348474800916415,0,0.0
Solar,ES613,475.1,324.8099690753679,0.6836665314152134,0,0.0
Solar,ES614,824.9999999999999,3658.74899450594,4.434847266067806,0,0.0
Solar,ES615,872.3,3523.152705223184,4.038923197550366,0,0.0
Solar,ES616,218.4,968.5709971773184,4.4348488881745345,0,0.0
Solar,ES617,251.5,1115.363998126163,4.434846911038422,0,0.0
Solar,ES618,3642.2000000000003,5175.200093633032,1.4208994820803449,0,0.0
Solar,ES620,1717.4999999999995,5812.611997051356,3.3843446853283017,0,0.0
Waste,ES111,0.0,110.73004340869899,0.0,3,110.73004340869898
Waste,ES120,0.0,85.26303580320312,0.0,3,85.26303580320311
Waste,ES213,0.0,63.11616609416224,0.0,3,63.11616609416224
Waste,ES220,0.0,33.21900105999817,0.0,3,33.21900105999818
Waste,ES300,0.0,0.0037934015894064894,0.0,0,0.0
Waste,ES413,0.0,55.365010871998436,0.0,3,55.36501087199843
Waste,ES422,0.0,55.36502101433402,0.0,3,55.36502101433402
Waste,ES511,0.0,168.08498627614836,0.0,3,168.08498627614836
Waste,ES532,0.0,42.077045135312616,0.0,3,42.077045135312616
Waste,ES613,0.0,0.002818329417133664,0.0,0,0.0
Waste,ES615,0.0,100.7650830627397,0.0,3,100.76508306273969
Wind onshore,ES111,1646.67,3203.6489996476903,1.945531891421894,0,0.0
Wind onshore,ES112,1553.0,4127.609998630641,2.657830005557399,0,0.0
Wind onshore,ES113,557.0,421.5036773874219,0.7567390976434863,0,0.0
Wind onshore,ES114,484.0,697.6559985921457,1.4414380136201357,0,0.0
Wind onshore,ES120,592.0,469.92550923826656,0.7937930899295044,0,0.0
Wind onshore,ES130,316.0,321.4860611682131,1.0173609530639656,0,0.0
Wind onshore,ES211,146.0,215.91141890122273,1.4788453349398818,0,0.0
Wind onshore,ES212,19.0,15.082091726169294,0.7937943013773312,0,0.0
Wind onshore,ES213,66.0,36.51449580783421,0.5532499364823364,0,0.0
Wind onshore,ES220,1466.2,1063.8410058078575,0.7255770057344547,0,0.0
Wind onshore,ES230,412.0,327.04228413589937,0.7937919517861635,0,0.0
Wind onshore,ES241,408.0,3923.037936510921,9.615289060075787,0,0.0
Wind onshore,ES242,753.0,583.4378428332157,0.7748178523681483,0,0.0
