unit_id,bus_id,region,primary_fuel,technology,cap_2024_mw,factor,cap_scen_mw
G0179,ES00274,ES620,Solar,PV,793.7,3.3843446853283017,2686.154376745073
G0180,ES00275,ES620,Solar,PV,73.1,3.3843446853283017,247.39559649749884
G0182,ES00280,ES243,Solar,PV,2.9,7.767516796977641,22.525798711235158
G0186,ES00281,ES243,Solar,PV,48.5,7.767516796977641,376.7245646534156
G0187,ES00283,ES243,Solar,PV,51.0,7.767516796977641,396.1433566458597
G0191,ES00287,ES532,Solar,PV,14.799999999999999,7.096402052144194,105.02675037173407
G0193,ES00288,ES532,Solar,PV,4.9,7.096402052144194,34.772370055506556
G0194,ES00289,ES532,Solar,PV,32.6,7.096402052144194,231.34270689990075
G0196,ES00290,ES532,Solar,PV,46.7,7.096402052144194,331.4019758351339
G0205,ES00291,ES532,Solar,PV,122.0,7.096402052144194,865.7610503615917
G0207,ES00292,ES532,Solar,PV,32.9,7.096402052144194,233.471627515544
G0212,ES00304,ES241,Solar,PV,9.0,0.5766644596681937,5.189980137013743
G0217,ES00307,ES114,Solar,PV,10.8,0.6928224271692801,7.482482213428225
G0219,ES00310,ES414,Solar,PV,1.1,1.0677399578060283,1.1745139535866311
G0231,ES00324,ES419,Solar,PV,258.0,0.6928531861007874,178.75612201400315
G0234,ES00327,ES415,Solar,PV,127.4,0.6928539350490377,88.2695913252474
G0236,ES00328,ES431,Solar,PV,59.0,0.781903826885529,46.132325786246206
G0237,ES00329,ES431,Solar,PV,41.2,0.781903826885529,32.2144376676838
G0238,ES00331,ES431,Solar,PV,61.900000000000006,0.781903826885529,48.39984688421425
G0239,ES00332,ES431,Solar,PV,111.2,0.781903826885529,86.94770554967081
G0241,ES00334,ES431,Solar,PV,157.6,0.781903826885529,123.22804311715936
G0242,ES00335,ES618,Solar,PV,81.1,1.4208994820803449,115.23494799671596
G0244,ES00336,ES618,Solar,PV,106.0,1.4208994820803449,150.61534510051655
G0245,ES00339,ES618,Solar,PV,14.2,1.4208994820803449,20.176772645540897
G0246,ES00340,ES618,Solar,PV,14.6,1.4208994820803449,20.745132438373034
G0247,ES00342,ES618,Solar,PV,50.0,1.4208994820803449,71.04497410401724
