Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
France,Windonshore,2025-2030,0.0009486018310387505
Italy,Windonshore,2020-2025,2257.2948988323515
Italy,Windonshore,2025-2030,1381.2310531663813
Portugal,Windonshore,2020-2025,1431.6737020466248
Portugal,Windonshore,2025-2030,1556.7428180387994
ES111,Solar,2020-2025,0.0
ES111,Solar,2025-2030,0.0
ES112,Solar,2020-2025,0.016053403171850413
ES112,Solar,2025-2030,0.014581818837036216
ES113,Solar,2020-2025,0.0
ES113,Solar,2025-2030,0.0
ES114,Solar,2020-2025,0.024311925394706158
ES114,Solar,2025-2030,0.021754688735077184
ES120,Solar,2020-2025,0.00024064656477914813
ES120,Solar,2025-2030,0.0005761361159768323
ES130,Solar,2020-2025,0.03409186120081058
ES130,Solar,2025-2030,0.03133831168886896
ES211,Solar,2020-2025,0.01320138803250749
ES211,Solar,2025-2030,0.010549110927134047
ES212,Solar,2020-2025,0.0
ES212,Solar,2025-2030,0.0
ES213,Solar,2020-2025,0.0
ES213,Solar,2025-2030,0.0
ES220,Solar,2020-2025,0.0331939090252577
ES220,Solar,2025-2030,0.028347512713565566
ES230,Solar,2020-2025,0.032291463509189336
ES230,Solar,2025-2030,0.027165992786962034
ES241,Solar,2020-2025,0.04493257391806899
ES241,Solar,2025-2030,0.054706199645413546
ES242,Solar,2020-2025,0.045169125179011504
ES242,Solar,2025-2030,0.8565189619212648
ES243,Solar,2020-2025,0.03284452629672052
ES243,Solar,2025-2030,0.04787391359698232
ES300,Solar,2020-2025,0.04622847680434949
ES300,Solar,2025-2030,0.048219094009109086
ES412,Solar,2020-2025,0.03548971751066198
ES412,Solar,2025-2030,0.029718313953149365
ES413,Solar,2020-2025,0.02849582748935906
ES413,Solar,2025-2030,0.026536634152139242
ES414,Solar,2020-2025,0.030679849558166945
ES414,Solar,2025-2030,0.02865739639263991
ES415,Solar,2020-2025,0.034513857057304
ES415,Solar,2025-2030,0.03020023619676522
ES416,Solar,2020-2025,0.03125585916265249
ES416,Solar,2025-2030,0.033641967915483684
ES417,Solar,2020-2025,0.04372910887219413
ES417,Solar,2025-2030,0.045206115900130996
ES418,Solar,2020-2025,0.02819759724828361
ES418,Solar,2025-2030,0.02630725482175059
ES419,Solar,2020-2025,0.03277194074988137
ES419,Solar,2025-2030,0.029471901375853003
ES421,Solar,2020-2025,0.3407941132179406
ES421,Solar,2025-2030,0.9126139223653378
ES422,Solar,2020-2025,0.185108094424394
ES422,Solar,2025-2030,0.07444302224680047
ES423,Solar,2020-2025,0.06429282421914018
ES423,Solar,2025-2030,0.0728101060353383
ES424,Solar,2020-2025,0.04463718050246093
ES424,Solar,2025-2030,0.04971165416739382
ES425,Solar,2020-2025,0.06232104986505926
ES425,Solar,2025-2030,0.0658909116753037
ES431,Solar,2020-2025,0.18833679601876457
ES431,Solar,2025-2030,0.07339225883690123
ES432,Solar,2020-2025,0.04695500874451823
ES432,Solar,2025-2030,0.05068704212698711
ES511,Solar,2020-2025,0.029015272423206753
ES511,Solar,2025-2030,0.03347455354429806
ES512,Solar,2020-2025,0.03393840049565879
ES512,Solar,2025-2030,0.036636732325930475
ES513,Solar,2020-2025,0.029429813823331704
ES513,Solar,2025-2030,0.037106317421785134
ES514,Solar,2020-2025,0.03466783779249461
ES514,Solar,2025-2030,0.04278959746326989
ES521,Solar,2020-2025,1.9197946748944419
ES521,Solar,2025-2030,3.477854018686468
ES522,Solar,2020-2025,0.058964505026911404
ES522,Solar,2025-2030,0.07337341152215784
ES523,Solar,2020-2025,0.07469963941220116
ES523,Solar,2025-2030,0.08483951149974968
ES532,Solar,2020-2025,1.1937797782320192
ES532,Solar,2025-2030,1.8001682252776288
ES611,Solar,2020-2025,80.8309324260729
ES611,Solar,2025-2030,52.34937211818519
ES612,Solar,2020-2025,0.24600253240106099
ES612,Solar,2025-2030,34.55026887115943
ES613,Solar,2020-2025,0.18593634417879076
