Node	Generator	Period	genInvCap
ES300	GasCCS	2	8.218564755360846e-07
ES300	GasOCGT	1	1.7034313023008465e-08
ES300	GasOCGT	2	9.001723677449573e-08
ES300	Lignite	1	2.542389958579768e-06
ES300	Lignite	2	1.2382978671984628e-06
ES300	Solar	1	1.968876972568978e-07
ES300	Solar	2	6.089140020655477e-07
ES300	Waste	1	1.833013772551932e-05
ES300	Waste	2	163.0102076707889
ES300	Windonshore	1	1.2520340675337138e-07
ES300	Windonshore	2	2.6692903305976194e-07
ES412	BioCCS	1	2.3826034223475902e-05
ES412	BioCCS	2	1.703123918660747e-06
ES412	CoalCCS	1	0.0
ES412	CoalCCS	2	0.0
ES412	GasCCGT	1	1.9553761751990953e-09
ES412	GasCCGT	2	9.333536661482859e-08
ES412	GasCCS	1	7.821271192916581e-07
ES412	GasCCS	2	8.071044340533458e-07
ES412	GasOCGT	1	3.8949283148162965e-08
ES412	GasOCGT	2	5.207439413137218e-09
ES412	Lignite	1	2.5381977707595597e-06
ES412	Lignite	2	1.2420331309670042e-06
ES412	Solar	1	4.850894796959437e-07
ES412	Solar	2	1.5314222198032702e-06
ES412	Waste	1	1.2114034191042585e-05
ES412	Waste	2	1.7561470150554383e-05
ES412	Windonshore	1	6272.886489147366
ES412	Windonshore	2	2844.9973662588923
ES413	Bio	1	2.2024962507204477e-09
ES413	Bio	2	1.9816228967890082e-09
ES413	BioCCS	1	7.622722956130509e-05
ES413	BioCCS	2	4.94294024563792e-06
ES413	CoalCCS	1	0.0
ES413	CoalCCS	2	0.0
ES413	GasCCS	1	7.866241221150938e-07
ES413	GasCCS	2	8.185791793098819e-07
ES413	GasOCGT	1	1.4638020060120326e-08
ES413	GasOCGT	2	5.207892894830611e-09
ES413	Hydroregulated	1	2.1100959202158265e-08
ES413	Hydroregulated	2	1.0940407597682778e-08
ES413	Hydrorun-of-the-river	1	24.94899957702242
ES413	Hydrorun-of-the-river	2	1.5579889550698632e-07
ES413	Lignite	1	2.541716213192483e-06
ES413	Lignite	2	1.2366485674252347e-06
ES413	Solar	1	5.9413338249214576e-08
ES413	Solar	2	1.677384776206444e-07
ES413	Waste	1	1.486619340086315e-09
ES413	Waste	2	3.2191452644234015e-05
ES413	Windonshore	1	9.490486263530329e-08
ES413	Windonshore	2	1.3366780917361765e-08
ES414	BioCCS	1	3.6874322708101845e-05
ES414	BioCCS	2	3.4660271887046284e-07
ES414	CoalCCS	1	0.0
ES414	CoalCCS	2	0.0
ES414	GasCCGT	1	1.5877015109743477e-09
ES414	GasCCGT	2	4.272605720792602e-08
ES414	GasCCS	1	7.84902434886754e-07
ES414	GasCCS	2	8.111564360024185e-07
ES414	GasOCGT	1	4.214899516449381e-08
ES414	GasOCGT	2	5.198789698993115e-09
ES414	Lignite	1	2.5398477559806786e-06
ES414	Lignite	2	1.2423502906733832e-06
ES414	Solar	1	3.703734705595707e-07
ES414	Solar	2	2.6500936229230835e-07
ES414	Waste	1	1.3918975837334469e-05
ES414	Waste	2	2.826174232156974e-05
ES414	Windonshore	1	2.9647253541043028e-08
ES414	Windonshore	2	3882.7062289598434
ES415	BioCCS	1	2.168864283734284e-05
ES415	BioCCS	2	6.179658215474914e-06
ES415	CoalCCS	1	0.0
ES415	CoalCCS	2	0.0
ES415	GasCCS	1	7.812660936825111e-07
ES415	GasCCS	2	8.096519869839487e-07
ES415	GasOCGT	1	3.644239686141871e-08
ES415	GasOCGT	2	1.072676991286348e-08
ES415	Hydroregulated	1	8.662937034387141e-10
ES415	Hydroregulated	2	1.982206533019501e-09
ES415	Hydrorun-of-the-river	1	0.0
ES415	Hydrorun-of-the-river	2	0.0
ES415	Lignite	1	2.537055133546174e-06
ES415	Lignite	2	1.2358933767258363e-06
ES415	Solar	1	2.3179109120974317e-07
ES415	Solar	2	4.276297506331598e-06
ES415	Waste	1	1.1332535916315627e-05
ES415	Waste	2	2.1478014461532452e-05
ES415	Windonshore	1	6.500442850665422e-09
ES415	Windonshore	2	1.854281382739838e-07
ES416	BioCCS	1	0.00045229396972390956
ES416	BioCCS	2	1.1850889101341176e-07
ES416	CoalCCS	1	0.0
ES416	CoalCCS	2	0.0
ES416	GasCCS	1	7.893988592227328e-07
ES416	GasCCS	2	8.174890336152472e-07
ES416	GasOCGT	1	2.044594863514808e-09
ES416	GasOCGT	2	3.9881798877285604e-08
ES416	Lignite	1	2.5431179913117894e-06
ES416	Lignite	2	1.2432750482094996e-06
ES416	Solar	1	6.56123518183449e-07
ES416	Solar	2	3.4235704771138024e-06
ES416	Waste	1	1.934099461913205e-05
ES416	Waste	2	0.00011215319940618732
ES416	Windonshore	1	2.145719690815895e-08
ES416	Windonshore	2	2.563019523705532e-07
ES417	BioCCS	1	2.096675583641523e-05
ES417	BioCCS	2	9.776882941257504e-06
ES417	CoalCCS	1	0.0
ES417	CoalCCS	2	0.0
ES417	GasCCGT	1	1.30673275991387e-08
ES417	GasCCGT	2	5.696372185602964e-08
ES417	GasCCS	1	7.811802071030893e-07
ES417	GasCCS	2	8.129461654203776e-07
ES417	GasOCGT	1	1.3297885845915293e-08
ES417	GasOCGT	2	5.200358668222443e-09
ES417	Lignite	1	2.53753915846399e-06
ES417	Lignite	2	1.2465505680414835e-06
ES417	Solar	1	1.1505913022347158e-07
ES417	Solar	2	1.2642917340431887e-06
ES417	Waste	1	1.1493216079529085e-05
ES417	Waste	2	2.719031913987814e-05
ES417	Windonshore	1	9.443169801670592e-08
ES417	Windonshore	2	3.1842668608409515e-08
ES418	BioCCS	1	7.339446417404822e-05
ES418	BioCCS	2	3.1420768915323645e-07
ES418	CoalCCS	1	0.0
ES418	CoalCCS	2	0.0
ES418	GasCCGT	1	1.636984064053775e-09
ES418	GasCCGT	2	5.666111382208612e-08
ES418	GasCCS	1	7.870273081905517e-07
ES418	GasCCS	2	8.165960053097203e-07
ES418	GasOCGT	1	2.9620362299461662e-08
ES418	GasOCGT	2	5.26007841027448e-09
ES418	Hydrorun-of-the-river	1	1.8189998912816367
ES418	Hydrorun-of-the-river	2	8.272902198050781e-09
ES418	Lignite	1	2.541375077224626e-06
ES418	Lignite	2	1.2400734858577636e-06
ES418	Solar	1	1.000380507321097e-07
ES418	Solar	2	5052.172943138515
ES418	Waste	1	1.6007141617427133e-05
ES418	Waste	2	6.454006468137525e-05
ES418	Windonshore	1	1.1200654626009054e-08
ES418	Windonshore	2	4.9025869011943713e-08
ES419	BioCCS	1	2.7332657189354546e-05
ES419	BioCCS	2	9.938155484259737e-06
ES419	CoalCCS	1	0.0
ES419	CoalCCS	2	0.0
ES419	GasCCS	1	7.829334601044478e-07
ES419	GasCCS	2	8.13760368828574e-07
ES419	GasOCGT	1	2.6919767730672316e-08
ES419	GasOCGT	2	2.568459501531513e-08
ES419	Hydroregulated	1	1.4272018233896233e-08
ES419	Hydroregulated	2	4.077588588154154e-09
ES419	Hydrorun-of-the-river	1	0.0
ES419	Hydrorun-of-the-river	2	0.0
ES419	Lignite	1	2.538604804416873e-06
ES419	Lignite	2	1.233782139345793e-06
ES419	Solar	1	4.5954095639899606e-08
ES419	Solar	2	2.6808969690777106e-07
ES419	Waste	1	1.2377762258167424e-05
ES419	Waste	2	3.265360710089061e-05
ES419	Windonshore	1	1.9106914805888664e-07
ES419	Windonshore	2	4.6329164047477815e-08
ES421	BioCCS	1	2.536693512967099e-05
ES421	BioCCS	2	1.107554828657756e-05
ES421	CoalCCS	1	0.0
ES421	CoalCCS	2	0.0
ES421	GasCCS	1	7.826852104713509e-07
ES421	GasCCS	2	8.135488768476269e-07
ES421	GasOCGT	1	2.0537593915603395e-09
ES421	GasOCGT	2	4.733468217622317e-08
ES421	Lignite	1	2.5374277492523885e-06
ES421	Lignite	2	1.229804493118082e-06
ES421	Solar	1	129.46465557069928
ES421	Solar	2	5.928927531151149e-07
ES421	Waste	1	1.2029085028669392e-05
ES421	Waste	2	3.3938306674846195e-05
ES421	Windonshore	1	7.639973773621023e-07
ES421	Windonshore	2	2.6735795159473276e-07
ES422	Bio	1	4.2489055173322795e-09
ES422	Bio	2	1.9600239341652046e-09
ES422	BioCCS	1	6.890320970346599e-05
ES422	BioCCS	2	1.2238397014078534e-07
ES422	CoalCCS	1	0.0
ES422	CoalCCS	2	0.0
ES422	GasCCS	1	7.874307413406492e-07
ES422	GasCCS	2	8.131618794870962e-07
ES422	GasOCGT	1	2.3052585713296038e-08
ES422	GasOCGT	2	1.2450582699150121e-07
ES422	Lignite	1	2.541130298812622e-06
ES422	Lignite	2	1.2216179022854906e-06
ES422	Oil	1	9.65067497723444e-10
ES422	Oil	2	4.95552068047424e-10
ES422	Solar	1	1.1737847671611235e-07
ES422	Solar	2	4730.712859374708
ES422	Waste	1	3.0973055125504038e-09
ES422	Waste	2	2.3868813366844264e-05
ES422	Windonshore	1	1.2938471627421677e-08
ES422	Windonshore	2	2.8095773359827755e-08
ES423	BioCCS	1	2.462683791383262e-05
ES423	BioCCS	2	9.690070130763332e-06
ES423	CoalCCS	1	0.0
ES423	CoalCCS	2	0.0
ES423	GasCCGT	1	1.0697887966566117e-08
ES423	GasCCGT	2	3.8905754094959486e-08
ES423	GasCCS	1	7.824907459361355e-07
ES423	GasCCS	2	8.132365985894517e-07
ES423	GasOCGT	1	7.972246054236247e-09
ES423	GasOCGT	2	6.376083428023045e-08
ES423	Lignite	1	2.5378027428443687e-06
ES423	Lignite	2	1.2361411918670337e-06
ES423	Solar	1	5458.529993956459
ES423	Solar	2	4.867337475008879e-07
ES423	Waste	1	1.2086748656977904e-05
ES423	Waste	2	3.187027057581371e-05
ES423	Windonshore	1	1235.6624715793228
ES423	Windonshore	2	3.1540839913503903e-07
ES424	BioCCS	1	2.2889776868307582e-05
ES424	BioCCS	2	1.068080980774293e-05
ES424	CoalCCS	1	0.0
ES424	CoalCCS	2	0.0
ES424	GasCCS	1	7.819966102005561e-07
ES424	GasCCS	2	8.135393024052805e-07
ES424	GasOCGT	1	2.108144338635317e-09
ES424	GasOCGT	2	6.019797237389593e-08
ES424	Lignite	1	2.5374569688317813e-06
ES424	Lignite	2	1.2429583190724638e-06
ES424	Nuclear	1	5.227323539472584e-09
ES424	Nuclear	2	5.219221030152097e-08
ES424	Solar	1	1.2691339179582428e-07
ES424	Solar	2	3.9295433958234717e-07
ES424	Waste	1	1.1872756488134891e-05
ES424	Waste	2	3.130318066453187e-05
ES424	Windonshore	1	6.265395313675981e-09
ES424	Windonshore	2	1.2274284595493467e-07
ES425	BioCCS	1	7.443800046688918e-05
ES425	BioCCS	2	1.8417207496926117e-07
ES425	CoalCCS	1	0.0
ES425	CoalCCS	2	0.0
ES425	GasCCGT	1	3.7062646222043055e-08
ES425	GasCCGT	2	5.680428281845886e-08
ES425	GasCCS	1	7.873806449044562e-07
ES425	GasCCS	2	8.150868405806138e-07
ES425	GasOCGT	1	1.9891354860912406e-08
ES425	GasOCGT	2	2.989775250010991e-08
ES425	Hydroregulated	1	1.589057774253888e-08
ES425	Hydroregulated	2	3.255596616195701e-09
ES425	Hydrorun-of-the-river	1	0.0
ES425	Hydrorun-of-the-river	2	0.0
ES425	Lignite	1	2.5414879587643844e-06
ES425	Lignite	2	1.228378662413522e-06
ES425	Solar	1	9.391055755259003e-08
ES425	Solar	2	817.3687829512429
ES425	Waste	1	1.57123529913097e-05
ES425	Waste	2	6.250588443518112e-05
ES425	Windonshore	1	8.339043233718257e-09
ES425	Windonshore	2	6.505372447244499e-07
ES431	BioCCS	1	7.285631076026361e-05
ES431	BioCCS	2	8.955687375009581e-08
ES431	CoalCCS	1	0.0
ES431	CoalCCS	2	0.0
ES431	GasCCS	1	7.876550727312748e-07
ES431	GasCCS	2	8.122298501536514e-07
ES431	GasOCGT	1	5.3017299506548166e-08
ES431	GasOCGT	2	5.671722700561951e-09
ES431	Hydroregulated	1	16.58144621983098
ES431	Hydroregulated	2	1.0829375197779125e-07
ES431	Hydrorun-of-the-river	1	0.0
ES431	Hydrorun-of-the-river	2	0.0
ES431	Lignite	1	2.541239064299618e-06
ES431	Lignite	2	1.2217649278991126e-06
ES431	Solar	1	1.3524368114303797e-07
ES431	Solar	2	9.203114414175055e-07
ES431	Waste	1	1.622343970209492e-05
ES431	Waste	2	4.922192826256792e-05
ES431	Windonshore	1	7.037648330765478e-08
ES431	Windonshore	2	2.0046757606863335e-07
ES432	BioCCS	1	3.098699383866435e-05
ES432	BioCCS	2	4.614717854618008e-06
ES432	CoalCCS	1	0.0
ES432	CoalCCS	2	0.0
ES432	GasCCS	1	7.837536023093751e-07
ES432	GasCCS	2	8.125160229798967e-07
ES432	GasOCGT	1	4.978408135339247e-08
ES432	GasOCGT	2	1.1005283095029e-07
ES432	Hydroregulated	1	8.61291482578963e-10
ES432	Hydroregulated	2	1.9924014706956684e-09
ES432	Hydrorun-of-the-river	1	0.0
ES432	Hydrorun-of-the-river	2	0.0
ES432	Lignite	1	2.538664312623985e-06
ES432	Lignite	2	1.2300678199182133e-06
ES432	Nuclear	1	9.926279580643665e-10
ES432	Nuclear	2	1.376421987845645e-08
ES432	Solar	1	3.157820174237713e-07
ES432	Solar	2	7.564713038833178e-07
ES432	Waste	1	1.2759085957159973e-05
ES432	Waste	2	3.3389577115907426e-05
ES432	Windonshore	1	3.243258106522262e-09
ES432	Windonshore	2	1.4486597271206801e-07
ES511	BioCCS	1	7.052226103876633e-05
ES511	BioCCS	2	1481.2801471715798
ES511	CoalCCS	1	0.0
ES511	CoalCCS	2	0.0
ES511	GasCCGT	1	1.6566805655809182e-09
ES511	GasCCGT	2	2.5605268772904273e-08
ES511	GasCCS	1	7.873654722225824e-07
ES511	GasCCS	2	8.25149959996469e-07
ES511	GasOCGT	1	1.4212681876364117e-08
ES511	GasOCGT	2	3.930048805546729e-08
ES511	Hydrorun-of-the-river	1	2.3569998900080913
ES511	Hydrorun-of-the-river	2	8.714252594112779e-09
ES511	Lignite	1	2.53989947438757e-06
ES511	Lignite	2	1.2719925173133811e-06
ES511	Solar	1	2576.1299977507188
ES511	Solar	2	0.5901493013455963
ES511	Waste	1	1.617949518864218e-05
ES511	Waste	2	0.0009655974538115142
ES511	Windonshore	1	6.417863573915383e-09
ES511	Windonshore	2	3.0174003210004694e-08
ES512	BioCCS	1	4.300593964110672e-05
ES512	BioCCS	2	3.3592294364363234e-05
ES512	CoalCCS	1	0.0
ES512	CoalCCS	2	0.0
ES512	GasCCGT	1	2.5744067278442706e-08
ES512	GasCCGT	2	7.819367192334147e-08
ES512	GasCCS	1	7.863765597866721e-07
ES512	GasCCS	2	8.203752952786915e-07
ES512	GasOCGT	1	2.407061894027404e-08
ES512	GasOCGT	2	1.8111661344190966e-08
