BetweenNode,AndNode,Period,transmisionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_Euro,transmisionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
ES211,ES213,2020-2025,3.770121861634834e-05,1474.6680952653587,0.3782741679170621,96.02237261016684,2.880671178305007
ES211,ES213,2025-2030,6.601935995921367e-06,1474.6681018168324,0.029100243663197408,1166.1800056222546,34.98540016866782
ES211,ES220,2020-2025,0.01505062913368092,0.01505062913368092,286.9755741003245,0.04448227185090141,0.0013344681555270525
ES211,ES220,2025-2030,0.009429556265639214,0.02448013493697004,78.98698825046328,0.0825867901907211,0.002477603705721633
ES211,ES230,2020-2025,2.5354411263833754e-06,491.55602172348813,0.03470775731809922,317.9006185153171,9.537018555459548
ES211,ES230,2025-2030,2.5014385911790488e-05,491.55604668741177,0.15043084206527652,254.22135380753573,7.626640614226076
ES211,ES412,2020-2025,6.737898274877807e-06,3262.144497713118,0.12635049852333907,4491.530350912693,134.7459105273808
ES211,ES412,2025-2030,2.0811966132096266e-05,3262.144518474622,0.17145084884750675,3784.149838495307,113.52449515485918
ES211,ES414,2020-2025,3.932928848371375e-06,4867.47643734401,0.13125946685310522,2971.820821331581,89.15462463994719
ES211,ES414,2025-2030,6.524557431998778e-06,4867.476443818104,0.09566203691875913,6082.108899909862,182.46326699729624
ES212,ES213,2020-2025,1.6965750546660274e-05,5049.620941352051,0.1976707925389371,3451.6722860621976,103.55016858186598
ES212,ES213,2025-2030,1.0614860572601448e-05,5049.620951916449,0.05433225617822323,687.8126496064832,20.63437948819434
ES212,ES220,2020-2025,2.5635778115429275e-05,983.1120640118721,0.38055124257576295,2374.1757119126282,71.22527135737927
ES212,ES220,2025-2030,1.6839043604770225e-06,983.1120656453141,0.010981409358041023,2018.8228905832002,60.564686717495626
ES212,France,2020-2025,0.0,2290.20418030794,0.0,12832.002067531332,384.9600620259393
ES212,France,2025-2030,0.0,2290.20418030794,0.0,12218.583382692645,366.5575014807778
ES213,ES412,2020-2025,7.394791737169726e-06,1787.4764408058718,0.17750801690570323,5006.867157941845,150.2060147382552
ES213,ES412,2025-2030,3.6674058034759993e-06,1787.4764444228151,0.03867452710822752,4869.0496850415575,146.0714905512462
ES220,ES230,2020-2025,4.00998760596849e-06,8803.321438559558,0.07165781220918857,2249.6230736103844,67.48869220831173
ES220,ES230,2025-2030,3.528769373511291e-05,8803.321473796788,0.2770242635815897,3506.5566421100325,105.19669926330128
ES220,ES241,2020-2025,6.740146091033239e-06,491.5560259281931,0.19776096238777066,1031.5176795997627,30.94553038799291
ES220,ES241,2025-2030,4.082124171195815e-07,491.5560262859431,0.005261765479625727,656.325695979471,19.689770879384227
ES220,ES243,2020-2025,4.4816488298238255e-06,4279.032457080769,0.12029050642278571,4959.270357945608,148.7781107383673
ES220,ES243,2025-2030,1.5941130523606966e-05,4279.032472971437,0.1879691886973145,9827.251021510387,294.8175306453135
ES220,France,2020-2025,0.0,0.0,0.0,0.0,0.0
ES220,France,2025-2030,1999.999978689718,1999.999978689718,92379836.1053291,10264.146863198135,307.92440589594486
ES230,ES243,2020-2025,0.20712050392205208,0.20712050392205208,6181.505089777226,0.9029818310568852,0.02708945493170658
ES230,ES243,2025-2030,1.376179062877087e-06,0.2071218296387642,0.01804347169441732,0.649409174785974,0.019482275243579265
ES230,ES412,2020-2025,5.5164268815133255e-06,2279.032458115547,0.10390878636854434,2288.0017803262863,68.64005340978856
ES230,ES412,2025-2030,1.151028097023159e-05,2279.032469575366,0.09524766782821231,3128.916527010383,93.86749581031206
ES230,ES417,2020-2025,0.013185038888951672,0.013185038888951672,203.75892401052786,0.03958541396115961,0.0011875624188347888
ES230,ES417,2025-2030,0.005907835284772735,0.01909282371137395,40.10861090231804,0.057455570780267015,0.001723667123408
ES241,ES243,2020-2025,1.9269649783382192e-05,3440.89215358598,0.42652720019271056,1110.1888322775173,33.305664968325466
ES241,ES243,2025-2030,4.307115948499556e-05,3440.892196606677,0.41882586373745595,1364.3945985999242,40.93183795799769
ES241,ES513,2020-2025,1.202611224471184e-05,1873.1120504022063,0.2396649849375857,834.8487523981022,25.045462571943055
ES241,ES513,2025-2030,9.702987774560563e-07,1873.1120513220426,0.008494911108692684,1936.5318138220587,58.095954414661925
ES241,France,2020-2025,0.0,502.727746896866,0.0,2631.3283772524364,78.93985131757312
ES241,France,2025-2030,0.0,502.727746896866,0.0,2641.6632108474337,79.24989632542376
ES242,ES243,2020-2025,2.9322642149054445e-05,12691.082706541241,0.6706081848425639,7864.293033424706,235.92879100274106
ES242,ES243,2025-2030,8.093109309212966e-05,12691.082787421872,0.8131209952417523,9800.660935617063,294.01982806851385
ES242,ES423,2020-2025,0.004651859896686585,0.004651859896686585,141.18015927060964,0.014909496185998858,0.00044728488557996737
ES242,ES423,2025-2030,0.0008312719836763953,0.005483081418012311,11.083175346585556,0.017524714018611783,0.0005257414205583528
ES242,ES424,2020-2025,0.004242260960121264,0.004242260960121264,136.77047826719001,0.01342060708840578,0.00040261821265217044
ES242,ES424,2025-2030,0.0011386923643658666,0.005380902862136551,16.127810540804045,0.017015482084750105,0.0005104644625425039
ES242,ES514,2020-2025,0.02040100707585244,0.02040100707585244,632.4407032449054,0.0695497812049107,0.0020864934361473197
ES242,ES514,2025-2030,0.09664371032823081,0.11704466694173236,1316.1816168350472,0.3731618590679133,0.011194855772037406
ES242,ES522,2020-2025,8.964874723460525e-05,8937.382256704148,1.40424792019403,1101.3905254939887,33.04171576481966
ES242,ES522,2025-2030,9.33221419199572e-06,8937.382265985898,0.06421822267325827,2608.888854262774,78.26666562788301
ES242,ES523,2020-2025,3.965277301176684e-06,2030.0000039652773,0.12084277596203549,2750.5846665156864,82.51753999547006
ES242,ES523,2025-2030,7.927455570432385e-06,2030.0000118422706,0.10613410579942292,3563.8678171641495,106.91603451492506
ES243,ES417,2020-2025,1.4633355476689758e-05,2770.5884864205254,0.3961509811179936,2022.8589027751395,60.68576708325429
ES243,ES417,2025-2030,7.456253603553183e-06,2770.5884938263166,0.08867710436620488,2178.65546188694,65.35966385660852
