FromNode	ToNode	Period	transmisionInvCap
ES422	ES431	2	1.836821799082744e-05
ES422	ES613	1	1.222969410719088e-05
ES422	ES613	2	1.1206029631741435e-05
ES422	ES616	1	1.810405274227378e-05
ES422	ES616	2	3.0529431884549064e-05
ES423	ES424	1	2.8981134164496325e-05
ES423	ES424	2	4.40948363578468e-05
ES423	ES425	1	0.003926324299309103
ES423	ES425	2	0.00019386866503896444
ES423	ES523	1	1.839139349613106e-05
ES423	ES523	2	4.5239795993163396e-05
ES425	ES431	1	0.002577009664540719
ES425	ES431	2	0.000620291261838072
ES425	ES432	1	3.7162881199037656e-06
ES425	ES432	2	6.491152484649278e-06
ES431	ES432	1	1.3735576430917718e-05
ES431	ES432	2	2.171289167771367e-05
ES431	ES613	1	0.004356208118190286
ES431	ES613	2	0.0002666705299411825
ES431	ES615	1	0.004500113979813588
ES431	ES615	2	0.003247918371086064
ES431	ES618	1	1.5282676031347364e-05
ES431	ES618	2	1.6685185127636372e-05
ES431	Portugal	1	0.0
ES431	Portugal	2	0.0
ES432	ES616	1	8.341242391907144e-06
ES432	ES616	2	1.5290145260890753e-05
ES432	Portugal	1	0.0
ES432	Portugal	2	0.0
ES511	ES512	1	4.9743020099413116e-05
ES511	ES512	2	6.769214497125906e-06
ES511	ES513	1	5.583592610491905e-06
ES511	ES513	2	3.08545132677366e-05
ES511	ES514	1	8.664143933856394e-05
ES511	ES514	2	1.3145519999928525e-05
ES512	ES513	1	0.03524408284656165
ES512	ES513	2	1.1815334181699062e-05
ES512	France	1	0.0
ES512	France	2	0.0
ES513	ES514	1	3.254431931054569e-06
ES513	ES514	2	4.19141157540475e-05
ES513	France	1	0.0
ES513	France	2	0.0
ES514	ES522	1	1.6273140772682382e-05
ES514	ES522	2	4.968436871430119e-06
ES521	ES523	1	1.551985951664392e-05
ES521	ES523	2	1.628313456730063e-05
ES521	ES620	1	7.384219861705787e-05
ES521	ES620	2	4.455380011067073e-06
ES522	ES523	1	1.1015205018338747e-05
ES522	ES523	2	4.6850829478419484e-05
ES523	ES532	1	1500.0
ES523	ES532	2	0.0
ES611	ES614	1	3.8194570151972584e-05
ES611	ES614	2	6.058040848841769e-07
ES611	ES620	1	1.2487237654568162e-05
ES611	ES620	2	2.1824449382753445e-05
ES612	ES615	1	0.011672294985385544
ES612	ES615	2	0.0011623988005390387
ES612	ES617	1	1.904771397676086e-05
ES612	ES617	2	3.723302567974477e-05
ES612	ES618	1	2.189862607338e-05
ES612	ES618	2	5.0027409660471745e-05
ES613	ES614	1	0.004024837140775818
ES613	ES614	2	0.00040316480654197325
ES613	ES616	1	1.6418614904978313e-05
ES613	ES616	2	3.693748136750629e-05
ES613	ES617	1	1.2524917792688939e-05
ES613	ES617	2	2.005210482652561e-05
ES613	ES618	1	2.702840447454946e-05
ES613	ES618	2	2.7956141261157273e-05
ES614	ES616	1	1.5003239127509005e-05
ES614	ES616	2	0.0001311368062085062
ES614	ES617	1	4.575479488266865e-05
ES614	ES617	2	6.629810072623783e-07
ES614	ES620	1	0.007645476002836905
ES614	ES620	2	2.378754343271633e-06
ES615	ES618	1	4.779562368639745e-05
ES615	ES618	2	2.267928150226226e-05
ES615	Portugal	1	0.0
ES615	Portugal	2	0.0
ES617	ES618	1	5.1753838761214865e-06
ES617	ES618	2	4.583294082917677e-05
EU	France	1	0.0
EU	France	2	1000.0
EU	Italy	1	0.0
EU	Italy	2	999.9999749315011
France	Italy	1	0.0
France	Italy	2	0.0
ES113	ES111	1	4.997596533939941e-06
ES113	ES111	2	3.009869061749695e-06
ES422	ES432	1	2.0553112335619517e-05
ES422	ES432	2	5.2826659954906355e-05
ES618	ES422	1	2.166197828046279e-05
ES618	ES422	2	2.5240527036408556e-06
ES213	France	1	0.0
ES213	France	2	0.0
ES511	Italy	1	0.0
ES511	Italy	2	2000.0
ES523	Italy	1	0.0
ES523	Italy	2	2000.0
