Node	Storage	Period	storENInvCap
France	HydroPumpStorage	1	7.182825356721878e-08
France	HydroPumpStorage	2	2.4414546535913873e-07
France	Li-Ion_BESS	1	0.00035865171458298976
France	Li-Ion_BESS	2	0.04498840688321354
Italy	HydroPumpStorage	1	3862.599972722237
Italy	HydroPumpStorage	2	9.97553280755012e-06
Italy	Li-Ion_BESS	1	0.0004632944565178243
Italy	Li-Ion_BESS	2	21435.966776123023
Portugal	HydroPumpStorage	1	5.381152732297778e-07
Portugal	HydroPumpStorage	2	1.0697968022782447e-07
Portugal	Li-Ion_BESS	1	0.00044668162760712246
Portugal	Li-Ion_BESS	2	0.004265028697791736
