Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
ES213,Li-Ion_BESS,2020-2025,0.0002114680645912459,0.0002114680645912459,0.0004229361291824918,0.0004229361291824918,94.9221343403488,0.0006198708304051162,2.1836972583243297e-05
ES213,Li-Ion_BESS,2025-2030,0.003164562332245072,0.0033760212729281192,0.006329124664490612,0.0067520425458562384,492.88817855317063,0.005799793086732991,0.00020431743684212058
ES220,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES220,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES220,Li-Ion_BESS,2020-2025,0.00021159427316060824,0.00021159427316060824,0.00042318854632121647,0.00042318854632121647,94.97878585791517,0.0006240997785251967,2.198594688521825e-05
ES220,Li-Ion_BESS,2025-2030,0.003650305268481537,0.0038618904177338096,0.007300610536962919,0.007723780835467619,568.5438067097248,0.006336461020258305,0.00022322340153164595
ES230,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES230,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES230,Li-Ion_BESS,2020-2025,0.00021327884879914286,0.00021327884879914286,0.0004265576975982857,0.0004265576975982857,95.73494502254621,0.0006254719532572148,2.203428133853861e-05
ES230,Li-Ion_BESS,2025-2030,0.0036267546890642885,0.0038400244139552573,0.007253509378128868,0.0076800488279105145,564.8757474414635,0.006311089229797481,0.00022232958823503705
ES241,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES241,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES241,Li-Ion_BESS,2020-2025,0.00020812292539298195,0.00020812292539298195,0.0004162458507859639,0.0004162458507859639,93.42059436560822,0.0006211722775347353,2.1882832051884523e-05
ES241,Li-Ion_BESS,2025-2030,0.002653693223036239,0.0028618070245212033,0.0053073864460727455,0.0057236140490424066,413.31908865049195,0.0049037118198408825,0.00017274991820849053
ES242,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES242,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES242,Li-Ion_BESS,2020-2025,0.000213854999670541,0.000213854999670541,0.000427709999341082,0.000427709999341082,95.99356312888239,0.0006300764482040046,2.21965047111721e-05
ES242,Li-Ion_BESS,2025-2030,0.004919821524199782,0.005133667399962021,0.009839643048399769,0.010267334799924041,766.2740105198392,0.007533673199981637,0.00026539931454801793
ES243,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES243,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES243,Li-Ion_BESS,2020-2025,0.00020998492660347722,0.00020998492660347722,0.00041996985320695443,0.00041996985320695443,94.25639493618687,0.0006235148131122142,2.1965352932239617e-05
ES243,Li-Ion_BESS,2025-2030,0.003089136057115257,0.0032991118598105014,0.006178272114230578,0.006598223719621003,481.14035517013093,0.005452756213426566,0.00019209188916462623
ES300,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES300,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES300,Li-Ion_BESS,2020-2025,0.00021894189620628676,0.00021894189620628676,0.0004378837924125735,0.0004378837924125735,98.27692954297828,0.0006373968629851928,2.2454380815297386e-05
ES300,Li-Ion_BESS,2025-2030,0.019042017344840557,0.01926095011713872,0.038084034689681114,0.03852190023427744,2965.8399044450034,0.024057553812323582,0.0008475096182493659
ES412,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES412,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES412,Li-Ion_BESS,2020-2025,0.00020931110469900752,0.00020931110469900752,0.00041862220939801505,0.00041862220939801505,93.95393501884108,0.0006197733879901588,2.1833542442159196e-05
ES412,Li-Ion_BESS,2025-2030,0.002522407436454683,0.0027317094172455638,0.005044814872909498,0.0054634188344911275,392.87101228973626,0.004980802773522027,0.00017546570714290082
ES413,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES413,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES413,Li-Ion_BESS,2020-2025,0.0002123119710500797,0.0002123119710500797,0.0004246239421001594,0.0004246239421001594,95.30094048495957,0.0006209311688313353,2.1874320751478672e-05
ES413,Li-Ion_BESS,2025-2030,0.0028164931250782843,0.003028795972219963,0.005632986250156406,0.006057591944439926,438.675564131622,0.0051933135532724614,0.00018295212058352695
ES414,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES414,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES414,Li-Ion_BESS,2020-2025,0.0002082219835001214,0.0002082219835001214,0.0004164439670002428,0.0004164439670002428,93.46505879559942,0.000613304668650424,2.1605659233376117e-05
ES414,Li-Ion_BESS,2025-2030,0.0024160808280481276,0.002624293687640094,0.004832161656096776,0.005248587375280188,376.3103878345966,0.004685550492848348,0.00016506444139698177
ES415,HydroPumpStorage,2020-2025,1.2029342997266212e-06,1886.0000012029343,4.696824695493141e-08,352967.786000047,0.9815593450391799,3366.793412788769,710.7674982533676
ES415,HydroPumpStorage,2025-2030,3.492445048189495e-06,1886.0000046862554,9.898537879628177e-07,352967.78600101854,1.2616142057866948,4305.910974036019,909.0256500718108
ES415,Li-Ion_BESS,2020-2025,0.000207445253511304,0.000207445253511304,0.000414890507022608,0.000414890507022608,93.116406300542,0.0006079394057348193,2.1416645681276447e-05
ES415,Li-Ion_BESS,2025-2030,0.0017253135240725469,0.0019327496536756484,0.0034506270481450144,0.003865499307351297,268.7217223210538,0.003515013590609883,0.00012382825909038953
ES416,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES416,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES416,Li-Ion_BESS,2020-2025,0.00021956059389000994,0.00021956059389000994,0.0004391211877800199,0.0004391211877800199,98.55464573035604,0.000644524162587933,2.2705466603953856e-05
ES416,Li-Ion_BESS,2025-2030,0.01241871902839329,0.01263827049837511,0.024837438056786242,0.02527654099675022,1934.2452949964713,0.017166496406204552,0.0006047485130121136
ES417,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES417,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES417,Li-Ion_BESS,2020-2025,0.000212646068411191,0.000212646068411191,0.000425292136822382,0.000425292136822382,95.4509075008088,0.0006275484774760423,2.210744346997297e-05
ES417,Li-Ion_BESS,2025-2030,0.0035726866810173673,0.0037853236255202274,0.007145373362034348,0.007570647251040455,556.4545254188198,0.006255102108011206,0.0002203572650588523
ES418,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES418,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES418,Li-Ion_BESS,2020-2025,0.00021289424273880376,0.00021289424273880376,0.0004257884854776075,0.0004257884854776075,95.56230605600445,0.0006237521934083843,2.197370582866988e-05
ES418,Li-Ion_BESS,2025-2030,0.00412042509402845,0.004333310212858975,0.00824085018805664,0.00866662042571795,641.7660978791771,0.0068442468171812315,0.00024111191184001345
ES419,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES419,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES419,Li-Ion_BESS,2020-2025,0.00020920284520985398,0.00020920284520985398,0.00041840569041970795,0.00041840569041970795,93.90534034430753,0.0006150423701089239,2.1666876877856895e-05
ES419,Li-Ion_BESS,2025-2030,0.0020825685285359653,0.0022917622498376897,0.0041651370570719515,0.0045835244996753795,324.36504671847905,0.004097041307670904,0.00014433218511194856
ES421,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES421,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES421,Li-Ion_BESS,2020-2025,0.00021834432721541257,0.00021834432721541257,0.00043668865443082514,0.00043668865443082514,98.00869743833863,0.000637745035569909,2.2466654299172762e-05
ES421,Li-Ion_BESS,2025-2030,0.0057717941725190965,0.005990129375826138,0.011543588345037584,0.011980258751652276,898.9707953258421,0.008110993741474993,0.0002857374152321313
ES422,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES422,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES422,Li-Ion_BESS,2020-2025,0.00022240176629746345,0.00022240176629746345,0.0004448035325949269,0.0004448035325949269,99.82996902546299,0.0006458486344706467,2.275212431268459e-05
ES422,Li-Ion_BESS,2025-2030,0.006146791191776062,0.006369183834165176,0.012293582383552156,0.012738367668330352,957.3774811102178,0.008730771283700676,0.00030757119474949846
ES423,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES423,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES423,Li-Ion_BESS,2020-2025,0.00021476226309408158,0.00021476226309408158,0.00042952452618816317,0.00042952452618816317,96.40080845331408,0.0006307959517945899,2.222184789126991e-05
ES423,Li-Ion_BESS,2025-2030,0.005488241360767707,0.005702994499953469,0.01097648272153497,0.011405988999906937,854.8067643368887,0.008169354543634306,0.00028779337300764094
ES424,HydroPumpStorage,2020-2025,8.362719086107973e-07,334.0000008362719,6.763802957721055e-07,62508.61100067638,0.6990085844860201,770.1610860800314,162.58956261498645
ES424,HydroPumpStorage,2025-2030,3.7062388454338564e-07,334.0000011977719,1.0426639787372779e-07,62508.611000762394,0.13387569049618822,836.8462576356852,176.66754327717086
ES424,Li-Ion_BESS,2020-2025,0.00021366507808418282,0.00021366507808418282,0.00042733015616836564,0.00042733015616836564,95.90831260952254,0.0006270823278973606,2.209101881056218e-05
ES424,Li-Ion_BESS,2025-2030,0.0038103101785962224,0.0040239661327724045,0.007620620357193167,0.008047932265544809,593.4649554899262,0.0062964997456835415,0.0002218156364195787
ES425,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES425,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES425,Li-Ion_BESS,2020-2025,0.0002171371681246203,0.0002171371681246203,0.0004342743362492406,0.0004342743362492406,97.46683728745558,0.0006319375585466894,2.2262059566035218e-05
ES425,Li-Ion_BESS,2025-2030,0.0054917984505762464,0.0057089264947927385,0.01098359690115298,0.011417852989585477,855.3607896120227,0.007934344244106878,0.0002795143306788514
ES431,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES431,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES431,Li-Ion_BESS,2020-2025,0.0002203492131174362,0.0002203492131174362,0.0004406984262348724,0.0004406984262348724,98.90863497404554,0.0006400225950649013,2.2546880678265805e-05
ES431,Li-Ion_BESS,2025-2030,0.005227617192801512,0.005447957282010704,0.010455234385603276,0.010895914564021407,814.2139246488283,0.0076753842360936615,0.000270391567420498
ES432,HydroPumpStorage,2020-2025,4.96276129524631e-07,578.0000004962761,4.824386120689174e-08,108173.58400004824,0.4056928355143233,1342.3052910470328,283.37556144141615
ES432,HydroPumpStorage,2025-2030,1.2603432446137457e-06,578.0000017474955,1.1360946720029171e-07,108173.58400014362,0.4525220385840902,1483.0152013692903,313.08098695440515
ES432,Li-Ion_BESS,2020-2025,0.00021487749964947987,0.00021487749964947987,0.00042975499929895973,0.00042975499929895973,96.45253493888805,0.0006270089782560179,2.2088429435063616e-05
ES432,Li-Ion_BESS,2025-2030,0.0035282183508248415,0.0037430867265661927,0.0070564367016500715,0.007486173453132385,549.528476262365,0.00580841411150494,0.00020462114211316362
ES511,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES511,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES511,Li-Ion_BESS,2020-2025,0.00021819896419079268,0.00021819896419079268,0.00043639792838158536,0.00043639792838158536,97.94344801839543,0.0006369648210821787,2.2439162110615228e-05
ES511,Li-Ion_BESS,2025-2030,460.79817969126117,460.7983978811015,921.5963593825225,921.596795762203,71770422.45443901,450.41631737365554,15.867458083963891
ES512,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES512,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES512,Li-Ion_BESS,2020-2025,0.00021608894258388843,0.00021608894258388843,0.00043217788516777686,0.00043217788516777686,96.99631798805848,0.0006332616716200289,2.230870359979463e-05
ES512,Li-Ion_BESS,2025-2030,0.031026286962459175,0.031242366781134814,0.06205257392491828,0.06248473356226963,4832.418660985818,0.03605478153578929,0.0012701530598369945
ES513,HydroPumpStorage,2020-2025,2.4518787995475577e-06,1132.0000024518788,4.5581669180090005e-08,211855.53200004558,1.9993656758525944,2430.3231094716994,513.0682119977677
ES513,HydroPumpStorage,2025-2030,8.599435758836486e-07,1132.0000033026986,3.643676545398201e-08,211855.53200006377,0.30829350734799116,2795.993148270585,590.2652201864765
ES513,Li-Ion_BESS,2020-2025,0.00021360745313217137,0.00021360745313217137,0.00042721490626434274,0.00042721490626434274,95.88244637082235,0.0006296017642629259,2.2179778092565448e-05
ES513,Li-Ion_BESS,2025-2030,0.004919589511429887,0.005133187840653867,0.009839179022859846,0.010266375681307734,766.2378739740658,0.007446244836301866,0.00026231934131958816
ES514,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES514,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES514,Li-Ion_BESS,2020-2025,0.00021304918929448193,0.00021304918929448193,0.00042609837858896386,0.00042609837858896386,95.6318572565703,0.0006300594099181724,2.2195904465369747e-05
ES514,Li-Ion_BESS,2025-2030,0.004732340672907988,0.004945380738294116,0.00946468134581545,0.009890761476588232,737.0734179559558,0.007219814498557096,0.0002543425619750055
ES521,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES521,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES521,Li-Ion_BESS,2020-2025,0.00022296275115846957,0.00022296275115846957,0.00044592550231693914,0.00044592550231693914,100.08177953142402,0.0006473343648536174,2.2804465470276683e-05
ES521,Li-Ion_BESS,2025-2030,0.016609825679797567,0.016832779307047796,0.03321965135959532,0.03366555861409559,2587.0202150806626,0.019418256847894673,0.0006840744868348901
