FromNode	ToNode	Period	transmisionInvCap
ES242	ES423	2	9.0990736410067e-05
ES242	ES424	1	0.0004557261005105229
ES242	ES424	2	5.1119942230192825e-05
ES242	ES514	1	0.0006242898314391472
ES242	ES514	2	0.0004545994987128156
ES242	ES522	1	7.941358489915729e-06
ES242	ES522	2	1.595493373225432e-05
ES242	ES523	1	2.2104466097516706e-06
ES242	ES523	2	1.8512258924101391e-06
ES243	ES417	1	8.859390163706848e-06
ES243	ES417	2	1.7986547480262312e-07
ES243	ES424	1	4.261651156411972e-06
ES243	ES424	2	5.4284355603343915e-06
ES243	ES513	1	8.774304205871886e-06
ES243	ES513	2	3.4551666020530096e-06
ES243	ES514	1	4.042966793349478e-06
ES243	ES514	2	1.950066495462469e-06
ES300	ES414	1	4.5783331188431475e-06
ES300	ES414	2	3.240721456251576e-06
ES300	ES416	1	1.709809475869406e-05
ES300	ES416	2	2.907559015539838e-06
ES300	ES418	1	3.580719294404844e-06
ES300	ES418	2	5.192357459069518e-06
ES300	ES423	1	3.5254261092632078e-06
ES300	ES423	2	2.3899310099766704e-06
ES300	ES424	1	2.8326076062512584e-06
ES300	ES424	2	2.3222876216168133e-06
ES300	ES425	1	7.088196525728563e-06
ES300	ES425	2	2.6500725194689606e-07
ES300	ES432	1	3.0531482480000705e-06
ES300	ES432	2	1.1211699998995997e-06
ES412	ES414	1	1.6307629266520962e-05
ES412	ES414	2	3.5403416398710474e-06
ES412	ES416	1	221.6327374700849
ES412	ES416	2	97.31671291020845
ES412	ES417	1	0.0006754905054019295
ES412	ES417	2	0.0004139287329223051
ES412	ES418	1	0.0023272672153254784
ES412	ES418	2	284.57506935154953
ES413	ES414	1	5.155071448825765e-06
ES413	ES414	2	1.0381877024754768e-05
ES413	ES418	1	2.847745236067567e-06
ES413	ES418	2	5.928831044938444e-06
ES413	ES419	1	5.117892669659341e-06
ES413	ES419	2	3.874537289885823e-06
ES414	ES415	1	1.3297794794198126e-06
ES414	ES415	2	3.006409602343035e-06
ES414	ES418	1	1.8014533452515025e-05
ES414	ES418	2	2.4496647346832496e-06
ES415	ES418	1	0.0007637314479678553
ES415	ES418	2	0.0003366538105053612
ES415	ES419	1	1.1430521226429846e-05
ES415	ES419	2	3.7618094879109034e-06
ES415	ES432	1	8.113344847515691e-06
ES415	ES432	2	4.6435719182623395e-06
ES415	Portugal	1	0.0
ES415	Portugal	2	0.0
ES416	ES417	1	0.002624515904642152
ES416	ES417	2	5.433316125216659e-07
ES416	ES418	1	4.652813913708087e-06
ES416	ES418	2	1.0937985282641413e-05
ES416	ES424	1	51.44416385984898
ES416	ES424	2	6.061077570949366e-07
ES417	ES418	1	6.950792794668814e-07
ES417	ES418	2	5.2097723013988685e-06
ES417	ES424	1	0.0006719583135542024
ES417	ES424	2	0.0005041528184102147
ES418	ES419	1	3.3005326258717105e-06
ES418	ES419	2	4.2395435474015185e-06
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES421	ES422	1	1.946358452187269e-06
ES421	ES422	2	1.120294545148629e-06
ES421	ES423	1	1.4537199604092166e-06
ES421	ES423	2	6.2862301804599514e-06
ES421	ES521	1	1.4075144463276956e-06
ES421	ES521	2	2.656491426362304e-06
ES421	ES523	1	1.7200557067553746e-06
ES421	ES523	2	3.5433021923211868e-06
ES421	ES614	1	19.828339160130184
ES421	ES614	2	5.4786348237460964e-06
ES421	ES616	1	0.0004879501846199047
ES421	ES616	2	5.481442556651197e-05
ES421	ES620	1	5.1020047067140695e-06
ES421	ES620	2	4.903912018376768e-06
ES422	ES423	1	0.0004636245678231273
ES422	ES423	2	0.00012387041250448228
ES422	ES425	1	2.992493591591483e-06
ES422	ES425	2	3.0623710854101945e-06
ES422	ES431	1	2.1585688045888674e-06
ES422	ES431	2	5.437610117244415e-06
ES422	ES613	1	1.686856194282882e-06
ES422	ES613	2	3.064861074684021e-07
ES422	ES616	1	1.7188505808007903e-05
ES422	ES616	2	1.6131906339018274e-07
ES423	ES424	1	1.6952914393186802e-05
ES423	ES424	2	3.096907707563119e-07
ES423	ES425	1	0.0004511240564491037
ES423	ES425	2	3.2264529629215106e-05
ES423	ES523	1	7.141266905819066e-06
ES423	ES523	2	4.55865677160347e-06
ES425	ES431	1	0.0002898145511673316
ES425	ES431	2	6.507871098711406e-05
ES425	ES432	1	2.0882030185020994e-06
ES425	ES432	2	2.8523151141033323e-06
ES431	ES432	1	3.1149938877206296e-06
ES431	ES432	2	7.3604463421229465e-06
ES431	ES613	1	0.00045375034169180663
ES431	ES613	2	4.8054884009197784e-05
ES431	ES615	1	0.0004419265534984974
ES431	ES615	2	0.00127652934754705
ES431	ES618	1	4.060857463628054e-06
ES431	ES618	2	1.5743705363663961e-07
ES431	Portugal	1	0.0
ES431	Portugal	2	0.0
ES432	ES616	1	4.681362270275713e-06
ES432	ES616	2	1.5248747407505507e-06
ES432	Portugal	1	0.0
ES432	Portugal	2	0.0
ES511	ES512	1	6.67635140416678e-06
ES511	ES512	2	6.863958184899111e-06
ES511	ES513	1	5.9554495237534866e-06
ES511	ES513	2	7.606028621779449e-06
ES511	ES514	1	5.176907507120632e-06
ES511	ES514	2	3.4567067217695434e-08
ES512	ES513	1	0.001982033872210054
ES512	ES513	2	4.1956810199488025e-06
ES512	France	1	0.0
ES512	France	2	0.0
ES513	ES514	1	1.5015050394140417e-06
ES513	ES514	2	2.2891136727736505e-07
ES513	France	1	0.0
ES513	France	2	0.0
ES514	ES522	1	2.8156559892522637e-06
ES514	ES522	2	2.187119101962677e-06
ES521	ES523	1	3.7835652619833127e-06
ES521	ES523	2	5.671993340205729e-06
ES521	ES620	1	5.612140739685856e-06
ES521	ES620	2	5.5533688077091945e-05
ES522	ES523	1	7.605366590723861e-06
