Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES511,Solar,2025-2030,0.00043857694201975895
ES512,Solar,2020-2025,0.00035001545459181955
ES512,Solar,2025-2030,0.0005111806418820231
ES513,Solar,2020-2025,0.00026693826025335244
ES513,Solar,2025-2030,0.00039789930471619467
ES514,Solar,2020-2025,0.0003271691392757596
ES514,Solar,2025-2030,0.00045592907515327856
ES521,Solar,2020-2025,0.0003020423822899905
ES521,Solar,2025-2030,0.0004673853818310273
ES522,Solar,2020-2025,0.0003635534836046083
ES522,Solar,2025-2030,0.0005158649718483244
ES523,Solar,2020-2025,0.0003177417887562286
ES523,Solar,2025-2030,0.0004590911025322784
ES532,Solar,2020-2025,0.00036396534105036623
ES532,Solar,2025-2030,0.0005175581903603043
ES611,Solar,2020-2025,0.00032632361059933547
ES611,Solar,2025-2030,0.0004918059841255144
ES612,Solar,2020-2025,0.00030025462822254805
ES612,Solar,2025-2030,0.00047298177943573154
ES613,Solar,2020-2025,0.0003724715826624317
ES613,Solar,2025-2030,0.0005569127915733355
ES614,Solar,2020-2025,0.00031960414728453377
ES614,Solar,2025-2030,0.000485085160688096
ES615,Solar,2020-2025,0.0003135008544018521
ES615,Solar,2025-2030,0.0004992597273269747
ES616,Solar,2020-2025,0.0004198914233131877
ES616,Solar,2025-2030,0.0006333910300756888
ES617,Solar,2020-2025,0.0004249610773262306
ES617,Solar,2025-2030,0.0006006213955895446
ES618,Solar,2020-2025,0.00027479258061609177
ES618,Solar,2025-2030,0.0004055424137364636
ES620,Solar,2020-2025,0.0002967977689606446
ES620,Solar,2025-2030,0.00045812584994575417
EU,Solar,2020-2025,0.0002556179432392642
EU,Solar,2025-2030,0.0005418886067323434
France,Solar,2020-2025,4.684425810552418e-05
France,Solar,2025-2030,0.00013685246344833925
Italy,Solar,2020-2025,742.4302413823902
Italy,Solar,2025-2030,1149.516104525821
Portugal,Solar,2020-2025,0.00046952722695942355
Portugal,Solar,2025-2030,0.0006963112194174939
