Timestep;a_0;a_1;a_2;a_3;a_4;a_5;a_6;a_7;a_8;a_9;a_10;a_11;a_12;a_13;a_14;a_15;a_16;a_17;a_18;a_19;a_20;a_21;a_22;a_23;a_24;a_25;a_26;a_27;a_28;a_29;a_30;a_31;a_32;a_33;a_34;a_35;a_36;b
0;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;-31.411140649616097;4.645172952204215e9
0;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;-31.662204246733292;4.711955801749391e9
0;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;-32.159008372441725;4.816421966866729e9
0;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;-21.810926103515275;4.912985431905077e9
0;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;-22.694345996575976;4.915234391412565e9
0;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;-21.811200371895875;4.915944876692746e9
0;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;-21.817159117438557;4.923753507669471e9
0;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;-25.238592311550278;4.940762547473638e9
0;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;-27.143735387559346;4.9496753842338085e9
0;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;-27.840727105980694;4.953551903282296e9
