date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-25,18,PT,ES01092,-93.293,-93.293,0.0,-1429.981,0.0
2024-08-25,18,PT,ES00817,-93.293,-93.293,0.0,-1429.981,0.0
2024-08-25,18,FR,ES00742,126.092,126.092,0.0,0.0,402.182
2024-08-25,18,FR,ES01126,717.325,717.325,-0.0,0.0,2287.97
2024-08-25,18,FR,ES00981,126.092,126.092,0.0,0.0,402.182
2024-08-25,18,PT,ES00818,-93.293,-93.293,0.0,-1429.981,0.0
2024-08-25,19,PT,ES00277,0.0,0.0,0.0,0.0,0.0
2024-08-25,19,FR,ES00859,1199.593,1199.593,-0.0,0.0,4629.981
2024-08-25,19,PT,ES00813,0.0,0.0,0.0,0.0,0.0
2024-08-25,19,PT,ES01092,0.0,0.0,0.0,0.0,0.0
2024-08-25,19,PT,ES00817,0.0,0.0,0.0,0.0,0.0
2024-08-25,19,FR,ES00742,104.202,104.202,0.0,0.0,402.182
2024-08-25,19,FR,ES01126,592.795,592.795,-0.0,0.0,2287.97
2024-08-25,19,FR,ES00981,104.202,104.202,0.0,0.0,402.182
2024-08-25,19,PT,ES00818,0.0,0.0,0.0,0.0,0.0
2024-08-25,21,PT,ES00277,-1200.918,-1185.961,14.957,-11439.849,0.0
2024-08-25,21,FR,ES00859,2859.342,2290.828,-568.514,0.0,4629.981
2024-08-25,21,PT,ES00813,-41.282,-33.716,7.566,-393.245,0.0
2024-08-25,21,PT,ES01092,-150.115,-158.808,-8.693,-1429.981,0.0
2024-08-25,21,PT,ES00817,-150.115,-155.83,-5.715,-1429.981,0.0
2024-08-25,21,FR,ES00742,248.376,402.182,153.806,0.0,402.182
2024-08-25,21,FR,ES01126,1412.984,1673.886,260.902,0.0,2287.97
2024-08-25,21,FR,ES00981,248.376,402.182,153.806,0.0,402.182
2024-08-25,21,PT,ES00818,-150.115,-158.23,-8.115,-1429.981,0.0
2024-08-25,22,PT,ES00277,-1478.392,-0.0,1478.392,-11439.849,0.0
2024-08-25,22,FR,ES00859,3804.556,3253.259,-551.296,0.0,4629.981
2024-08-25,22,PT,ES00813,-50.82,-0.0,50.82,-393.245,0.0
2024-08-25,22,PT,ES01092,-184.799,-1429.981,-1245.182,-1429.981,0.0
2024-08-25,22,PT,ES00817,-184.799,-0.0,184.799,-1429.981,0.0
2024-08-25,22,FR,ES00742,330.482,402.182,71.7,0.0,402.182
2024-08-25,22,FR,ES01126,1880.074,2287.97,407.896,0.0,2287.97
2024-08-25,22,FR,ES00981,330.482,402.182,71.7,0.0,402.182
2024-08-25,22,PT,ES00818,-184.799,-653.628,-468.829,-1429.981,0.0
2024-08-26,0,PT,ES00277,0.0,0.0,0.0,0.0,0.0
