date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-22,10,818,LTGES0558,12,728,ES00012,ES00737,ES511,ES512,inter_nuts3,false,1.0,0.8,45.8,0.0,1429.98,3.2
2025-06-25,15,1528,LTGES1005b,212,592,ES00215,ES00597,ES241,ES241,intra_nuts3,true,10.0,0.8,-250.81,0.0,7864.9,3.2
2024-08-20,1,176,LTGES0129,163,165,ES00166,ES00168,ES432,ES432,intra_nuts3,true,10.0,0.8,124.57,0.0,3932.45,3.2
2025-06-30,18,768,LTGES0531a,70,862,ES00070,ES00871,ES111,ES111,intra_nuts3,true,10.0,0.8,-248.26,0.0,7864.9,3.2
2025-06-29,7,1335,LTGES0879,223,737,ES00226,ES00746,ES130,ES130,intra_nuts3,true,10.0,0.8,-451.57,0.0,14299.81,3.2
2024-08-24,20,175,LTGES0128b,1043,898,ES01057,ES00907,ES425,ES425,intra_nuts3,true,10.0,0.8,249.41,0.0,7864.9,3.2
2025-06-25,15,1527,LTGES1005a,212,592,ES00215,ES00597,ES241,ES241,intra_nuts3,true,10.0,0.8,-250.81,0.0,7864.9,3.2
2025-06-30,18,769,LTGES0531b,70,862,ES00070,ES00871,ES111,ES111,intra_nuts3,true,10.0,0.8,-248.26,0.0,7864.9,3.2
2025-06-30,20,1915,LTGES1253,1137,797,ES01157,ES00806,ES114,ES114,intra_nuts3,true,10.0,0.8,-124.49,0.0,3932.45,3.2
2025-06-29,20,851,LTGES0576b,451,452,ES00454,ES00455,ES513,ES513,intra_nuts3,true,10.0,0.8,-251.11,0.0,7864.9,3.2
2025-06-29,7,127,LTGES0089,79,691,ES00079,ES00698,ES412,ES412,intra_nuts3,true,10.0,0.8,451.48,0.0,14299.81,3.2
2025-06-29,20,850,LTGES0576a,451,452,ES00454,ES00455,ES513,ES513,intra_nuts3,true,10.0,0.8,-251.11,0.0,7864.9,3.2
2025-06-25,15,1173,LTGES0771a,225,518,ES00228,ES00521,ES511,ES511,intra_nuts3,true,10.0,0.8,-251.85,0.0,7864.9,3.2
2025-06-25,15,1174,LTGES0771b,225,518,ES00228,ES00521,ES511,ES511,intra_nuts3,true,10.0,0.8,-251.85,0.0,7864.9,3.2
2025-06-27,19,393,LTGES0267,281,275,ES00284,ES00278,ES243,ES243,intra_nuts3,true,10.0,0.8,121.27,0.0,3932.45,3.1
2025-06-24,14,1144,LTGES0754a,1038,487,ES01052,ES00490,ES425,ES425,intra_nuts3,true,10.0,0.8,247.35,0.0,7864.9,3.1
2024-08-22,17,1293,LTGES0851,553,101,ES00558,ES00101,ES120,ES120,intra_nuts3,true,10.0,0.8,122.15,0.0,3932.45,3.1
2025-06-24,9,1654,LTGES1089a,243,67,ES00246,ES00067,ES415,ES415,intra_nuts3,true,10.0,0.8,-873.82,0.0,28599.62,3.1
2024-08-24,20,1929,LTGES1262,1150,165,ES01170,ES00168,ES432,ES432,intra_nuts3,true,10.0,0.8,120.83,0.0,3932.45,3.1
2024-08-24,20,2268,TR_026f4709,606,607,ES00611,ES00612,ES422,ES422,intra_nuts3,true,10.0,0.8,-118.04,0.0,3840.0,3.1
2025-06-24,9,1655,LTGES1089b,243,67,ES00246,ES00067,ES415,ES415,intra_nuts3,true,10.0,0.8,-873.82,0.0,28599.62,3.1
2024-08-26,17,1277,LTGES0839,539,546,ES00544,ES00551,ES112,ES112,intra_nuts3,true,10.0,0.8,449.09,0.0,14299.81,3.1
2025-06-25,15,25,LTGES0015b,13,24,ES00013,ES00024,ES300,ES300,intra_nuts3,true,10.0,0.8,246.56,0.0,7864.9,3.1
2025-06-25,15,1555,LTGES1021a,488,918,ES00491,ES00929,ES425,ES425,intra_nuts3,true,10.0,0.8,240.01,0.0,7864.9,3.1
2025-06-24,12,961,LTGES0643b,474,1079,ES00477,ES01095,ES615,ES615,intra_nuts3,true,10.0,0.8,240.71,0.0,7864.9,3.1
2025-06-30,20,484,LTGES0334,795,1137,ES00804,ES01157,ES114,ES114,intra_nuts3,true,10.0,0.8,-123.14,0.0,3932.45,3.1
2025-06-25,15,1556,LTGES1021b,488,918,ES00491,ES00929,ES425,ES425,intra_nuts3,true,10.0,0.8,240.01,0.0,7864.9,3.1
2025-06-25,15,24,LTGES0015a,13,24,ES00013,ES00024,ES300,ES300,intra_nuts3,true,10.0,0.8,246.56,0.0,7864.9,3.1
2025-06-25,15,1006,LTGES0670a,14,480,ES00014,ES00483,ES300,ES300,intra_nuts3,true,10.0,0.8,-890.12,0.0,28599.62,3.1
2025-06-27,8,2235,TR_db0bb0db,1130,1131,ES01150,ES01151,ES422,ES422,intra_nuts3,true,10.0,0.8,-185.68,0.0,6000.0,3.1
2025-06-25,15,1007,LTGES0670b,14,480,ES00014,ES00483,ES300,ES300,intra_nuts3,true,10.0,0.8,-890.12,0.0,28599.62,3.1
2025-06-24,12,960,LTGES0643a,474,1079,ES00477,ES01095,ES615,ES615,intra_nuts3,true,10.0,0.8,240.71,0.0,7864.9,3.1
2025-06-27,19,775,LTGES0536,857,425,ES00866,ES00428,ES111,ES111,intra_nuts3,true,10.0,0.8,120.45,0.0,3932.45,3.1
2025-06-25,15,329,LTGES0230a,121,254,ES00121,ES00257,ES523,ES523,intra_nuts3,true,10.0,0.8,-244.58,0.0,7864.9,3.1
2025-06-24,14,1145,LTGES0754b,1038,487,ES01052,ES00490,ES425,ES425,intra_nuts3,true,10.0,0.8,247.35,0.0,7864.9,3.1
2025-06-27,8,2233,TR_90fa9b51,637,638,ES00643,ES00644,ES422,ES422,intra_nuts3,true,10.0,0.8,-118.47,0.0,3840.0,3.1
2025-06-25,15,330,LTGES0230b,121,254,ES00121,ES00257,ES523,ES523,intra_nuts3,true,10.0,0.8,-244.58,0.0,7864.9,3.1
2024-08-26,8,738,LTGES0508a,33,19,ES00033,ES00019,ES300,ES300,intra_nuts3,true,10.0,0.8,853.12,0.0,28599.62,3.0
2024-08-26,9,1653,LTGES1088b,155,157,ES00158,ES00160,ES432,ES432,intra_nuts3,true,10.0,0.8,233.5,0.0,7864.9,3.0
2025-06-30,20,1971,LTGES1294,1171,659,ES01191,ES00665,ES243,ES243,intra_nuts3,true,10.0,0.8,119.62,0.0,3932.45,3.0
2025-06-25,15,1415,LTGES0930,560,570,ES00565,ES00575,ES413,ES413,intra_nuts3,true,10.0,0.8,118.12,0.0,3932.45,3.0
2024-08-22,10,2259,TR_53ce20b7,566,567,ES00571,ES00572,ES130,ES130,intra_nuts3,true,10.0,0.8,-47.68,0.0,1600.0,3.0
2024-08-26,17,2055,LTGES1358a,110,173,ES00110,ES00176,ES419,ES419,intra_nuts3,true,10.0,0.8,-847.38,0.0,28599.62,3.0
2024-08-26,17,2056,LTGES1358b,110,173,ES00110,ES00176,ES419,ES419,intra_nuts3,true,10.0,0.8,-847.38,0.0,28599.62,3.0
2025-06-25,15,934,LTGES0628a,14,681,ES00014,ES00688,ES300,ES300,intra_nuts3,true,10.0,0.8,846.8,0.0,28599.62,3.0
2025-06-25,15,1327,LTGES0873,560,153,ES00565,ES00156,ES413,ES413,intra_nuts3,true,10.0,0.8,116.75,0.0,3932.45,3.0
