Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES416	ES424	7	1500.0
ES417	ES418	1	3574.95286682216
ES417	ES418	2	3574.95286682216
ES417	ES418	3	3574.95286682216
ES417	ES418	4	3574.95286682216
ES417	ES418	5	3574.95286682216
ES417	ES418	6	3574.95286682216
ES417	ES418	7	3574.95286682216
ES417	ES424	1	1500.0
ES417	ES424	2	1500.0
ES417	ES424	3	1500.0
ES417	ES424	4	1500.0
ES417	ES424	5	1500.0
ES417	ES424	6	1500.0
ES417	ES424	7	1500.0
ES418	ES419	1	31906.4543363878
ES418	ES419	2	31906.4543363878
ES418	ES419	3	31906.4543363878
ES418	ES419	4	31906.4543363878
ES418	ES419	5	31906.4543363878
ES418	ES419	6	31906.4543363878
ES418	ES419	7	31906.4543363878
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES419	Portugal	3	0.0
ES419	Portugal	4	0.0
ES419	Portugal	5	0.0
ES419	Portugal	6	0.0
ES419	Portugal	7	0.0
ES421	ES422	1	3470.0
ES421	ES422	2	3470.0
ES421	ES422	3	3470.0
ES421	ES422	4	3470.0
ES421	ES422	5	3470.0
ES421	ES422	6	3470.0
ES421	ES422	7	3470.0
ES421	ES423	1	7149.90573364432
ES421	ES423	2	7149.90573364432
ES421	ES423	3	7149.90573364432
ES421	ES423	4	7149.90573364432
ES421	ES423	5	7149.90573364432
ES421	ES423	6	7149.90573364432
ES421	ES423	7	7149.90573364432
ES421	ES521	1	2940.0
ES421	ES521	2	2940.0
ES421	ES521	3	2940.0
ES421	ES521	4	2940.0
ES421	ES521	5	2940.0
ES421	ES521	6	2940.0
ES421	ES521	7	2940.0
ES421	ES523	1	3574.95286682216
ES421	ES523	2	3574.95286682216
ES421	ES523	3	3574.95286682216
ES421	ES523	4	3574.95286682216
ES421	ES523	5	3574.95286682216
ES421	ES523	6	3574.95286682216
ES421	ES523	7	3574.95286682216
ES421	ES614	1	1500.0
ES421	ES614	2	1500.0
ES421	ES614	3	1500.0
ES421	ES614	4	1500.0
ES421	ES614	5	1500.0
ES421	ES614	6	1500.0
ES421	ES614	7	1500.0
ES421	ES616	1	1500.0
ES421	ES616	2	1500.0
ES421	ES616	3	1500.0
ES421	ES616	4	1500.0
ES421	ES616	5	1500.0
ES421	ES616	6	1500.0
ES421	ES616	7	1500.0
ES421	ES620	1	7149.90573364432
ES421	ES620	2	7149.90573364432
ES421	ES620	3	7149.90573364432
ES421	ES620	4	7149.90573364432
ES421	ES620	5	7149.90573364432
ES421	ES620	6	7149.90573364432
ES421	ES620	7	7149.90573364432
ES422	ES423	1	1500.0
ES422	ES423	2	1500.0
ES422	ES423	3	1500.0
ES422	ES423	4	1500.0
ES422	ES423	5	1500.0
ES422	ES423	6	1500.0
ES422	ES423	7	1500.0
ES422	ES425	1	3932.44815350436
ES422	ES425	2	3932.44815350436
ES422	ES425	3	3932.44815350436
ES422	ES425	4	3932.44815350436
ES422	ES425	5	3932.44815350436
ES422	ES425	6	3932.44815350436
ES422	ES425	7	3932.44815350436
ES422	ES431	1	7149.90573364432
ES422	ES431	2	7149.90573364432
ES422	ES431	3	7149.90573364432
ES422	ES431	4	7149.90573364432
ES422	ES431	5	7149.90573364432
ES422	ES431	6	7149.90573364432
ES422	ES431	7	7149.90573364432
ES422	ES613	1	2483.112038376094
ES422	ES613	2	2483.112038376094
ES422	ES613	3	2483.112038376094
ES422	ES613	4	2483.112038376094
ES422	ES613	5	2483.112038376094
ES422	ES613	6	2483.112038376094
ES422	ES613	7	2483.112038376094
ES422	ES616	1	8133.01777202042
ES422	ES616	2	8133.01777202042
ES422	ES616	3	8133.01777202042
ES422	ES616	4	8133.01777202042
ES422	ES616	5	8133.01777202042
ES422	ES616	6	8133.01777202042
ES422	ES616	7	8133.01777202042
ES423	ES424	1	8133.01777202042
ES423	ES424	2	8133.01777202042
ES423	ES424	3	8133.01777202042
ES423	ES424	4	8133.01777202042
ES423	ES424	5	8133.01777202042
ES423	ES424	6	8133.01777202042
ES423	ES424	7	8133.01777202042
ES423	ES425	1	1500.0
ES423	ES425	2	1500.0
ES423	ES425	3	1500.0
ES423	ES425	4	1500.0
ES423	ES425	5	1500.0
ES423	ES425	6	1500.0
ES423	ES425	7	1500.0
ES423	ES523	1	7149.90573364432
ES423	ES523	2	7149.90573364432
ES423	ES523	3	7149.90573364432
ES423	ES523	4	7149.90573364432
ES423	ES523	5	7149.90573364432
ES423	ES523	6	7149.90573364432
ES423	ES523	7	7149.90573364432
ES425	ES431	1	1500.0
ES425	ES431	2	1500.0
ES425	ES431	3	1500.0
ES425	ES431	4	1500.0
ES425	ES431	5	1500.0
ES425	ES431	6	1500.0
ES425	ES431	7	1500.0
ES425	ES432	1	3113.112038376094
ES425	ES432	2	3113.112038376094
ES425	ES432	3	3113.112038376094
ES425	ES432	4	3113.112038376094
ES425	ES432	5	3113.112038376094
ES425	ES432	6	3113.112038376094
ES425	ES432	7	3113.112038376094
ES431	ES432	1	19840.988410863
ES431	ES432	2	19840.988410863
ES431	ES432	3	19840.988410863
ES431	ES432	4	19840.988410863
ES431	ES432	5	19840.988410863
ES431	ES432	6	19840.988410863
ES431	ES432	7	19840.988410863
ES431	ES613	1	1500.0
ES431	ES613	2	1500.0
ES431	ES613	3	1500.0
ES431	ES613	4	1500.0
ES431	ES613	5	1500.0
ES431	ES613	6	1500.0
ES431	ES613	7	1500.0
ES431	ES615	1	1500.0
ES431	ES615	2	1500.0
ES431	ES615	3	1500.0
ES431	ES615	4	1500.0
ES431	ES615	5	1500.0
ES431	ES615	6	1500.0
ES431	ES615	7	1500.0
ES431	ES618	1	18857.8763724869
ES431	ES618	2	18857.8763724869
ES431	ES618	3	18857.8763724869
ES431	ES618	4	18857.8763724869
ES431	ES618	5	18857.8763724869
ES431	ES618	6	18857.8763724869
ES431	ES618	7	18857.8763724869
ES431	Portugal	1	1787.47643341108
ES431	Portugal	2	1787.47643341108
ES431	Portugal	3	1787.47643341108
ES431	Portugal	4	1787.47643341108
ES431	Portugal	5	1787.47643341108
ES431	Portugal	6	1787.47643341108
ES431	Portugal	7	1787.47643341108
ES432	ES616	1	3574.95286682216
ES432	ES616	2	3574.95286682216
ES432	ES616	3	3574.95286682216
ES432	ES616	4	3574.95286682216
ES432	ES616	5	3574.95286682216
ES432	ES616	6	3574.95286682216
ES432	ES616	7	3574.95286682216
ES432	Portugal	1	1787.47643341108
ES432	Portugal	2	1787.47643341108
ES432	Portugal	3	1787.47643341108
ES432	Portugal	4	1787.47643341108
ES432	Portugal	5	1787.47643341108
ES432	Portugal	6	1787.47643341108
ES432	Portugal	7	1787.47643341108
ES511	ES512	1	10724.85860046648
ES511	ES512	2	10724.85860046648
ES511	ES512	3	10724.85860046648
ES511	ES512	4	10724.85860046648
ES511	ES512	5	10724.85860046648
ES511	ES512	6	10724.85860046648
ES511	ES512	7	10724.85860046648
ES511	ES513	1	14657.30675397086
ES511	ES513	2	14657.30675397086
ES511	ES513	3	14657.30675397086
ES511	ES513	4	14657.30675397086
ES511	ES513	5	14657.30675397086
ES511	ES513	6	14657.30675397086
ES511	ES513	7	14657.30675397086
ES511	ES514	1	31906.4543363878
ES511	ES514	2	31906.4543363878
ES511	ES514	3	31906.4543363878
ES511	ES514	4	31906.4543363878
ES511	ES514	5	31906.4543363878
ES511	ES514	6	31906.4543363878
ES511	ES514	7	31906.4543363878
ES512	ES513	1	1500.0
ES512	ES513	2	1500.0
ES512	ES513	3	1500.0
ES512	ES513	4	1500.0
ES512	ES513	5	1500.0
ES512	ES513	6	1500.0
ES512	ES513	7	1500.0
ES512	France	1	2859.96229345773
ES512	France	2	2859.96229345773
ES512	France	3	2859.96229345773
ES512	France	4	2859.96229345773
ES512	France	5	2859.96229345773
ES512	France	6	2859.96229345773
ES512	France	7	2859.96229345773
ES513	ES514	1	2483.112038376094
ES513	ES514	2	2483.112038376094
ES513	ES514	3	2483.112038376094
ES513	ES514	4	2483.112038376094
ES513	ES514	5	2483.112038376094
ES513	ES514	6	2483.112038376094
ES513	ES514	7	2483.112038376094
ES513	France	1	0.0
ES513	France	2	0.0
ES513	France	3	0.0
ES513	France	4	0.0
ES513	France	5	0.0
ES513	France	6	0.0
ES513	France	7	0.0
ES514	ES522	1	3574.95286682216
ES514	ES522	2	3574.95286682216
ES514	ES522	3	3574.95286682216
ES514	ES522	4	3574.95286682216
ES514	ES522	5	3574.95286682216
ES514	ES522	6	3574.95286682216
ES514	ES522	7	3574.95286682216
ES521	ES523	1	8133.01777202042
ES521	ES523	2	8133.01777202042
ES521	ES523	3	8133.01777202042
ES521	ES523	4	8133.01777202042
ES521	ES523	5	8133.01777202042
ES521	ES523	6	8133.01777202042
