Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES415	ES432	2	3574.95286682216
ES415	ES432	3	3574.95286682216
ES415	ES432	4	3574.95286682216
ES415	ES432	5	3574.95286682216
ES415	ES432	6	3574.95286682216
ES415	ES432	7	3574.95286682216
ES415	Portugal	1	491.556019188047
ES415	Portugal	2	491.556019188047
ES415	Portugal	3	491.556019188047
ES415	Portugal	4	491.556019188047
ES415	Portugal	5	491.556019188047
ES415	Portugal	6	491.556019188047
ES415	Portugal	7	491.556019188047
ES416	ES418	1	5853.98531942129
ES416	ES418	2	5853.98531942129
ES416	ES418	3	5853.98531942129
ES416	ES418	4	5853.98531942129
ES416	ES418	5	5853.98531942129
ES416	ES418	6	5853.98531942129
ES416	ES418	7	5853.98531942129
ES417	ES418	1	1787.47643341108
ES417	ES418	2	1787.47643341108
ES417	ES418	3	1787.47643341108
ES417	ES418	4	1787.47643341108
ES417	ES418	5	1787.47643341108
ES417	ES418	6	1787.47643341108
ES417	ES418	7	1787.47643341108
ES418	ES419	1	15953.2271681939
ES418	ES419	2	15953.2271681939
ES418	ES419	3	15953.2271681939
ES418	ES419	4	15953.2271681939
ES418	ES419	5	15953.2271681939
ES418	ES419	6	15953.2271681939
ES418	ES419	7	15953.2271681939
ES421	ES423	1	5514.95286682216
ES421	ES423	2	5514.95286682216
ES421	ES423	3	5514.95286682216
ES421	ES423	4	5514.95286682216
ES421	ES423	5	5514.95286682216
ES421	ES423	6	5514.95286682216
ES421	ES423	7	5514.95286682216
ES421	ES523	1	1787.47643341108
ES421	ES523	2	1787.47643341108
ES421	ES523	3	1787.47643341108
ES421	ES523	4	1787.47643341108
ES421	ES523	5	1787.47643341108
ES421	ES523	6	1787.47643341108
ES421	ES523	7	1787.47643341108
ES421	ES620	1	3574.95286682216
ES421	ES620	2	3574.95286682216
ES421	ES620	3	3574.95286682216
ES421	ES620	4	3574.95286682216
ES421	ES620	5	3574.95286682216
ES421	ES620	6	3574.95286682216
ES421	ES620	7	3574.95286682216
ES422	ES425	1	1966.22407675218
ES422	ES425	2	1966.22407675218
ES422	ES425	3	1966.22407675218
ES422	ES425	4	1966.22407675218
ES422	ES425	5	1966.22407675218
ES422	ES425	6	1966.22407675218
ES422	ES425	7	1966.22407675218
ES422	ES431	1	3574.95286682216
ES422	ES431	2	3574.95286682216
ES422	ES431	3	3574.95286682216
ES422	ES431	4	3574.95286682216
ES422	ES431	5	3574.95286682216
ES422	ES431	6	3574.95286682216
ES422	ES431	7	3574.95286682216
ES422	ES613	1	983.112038376094
ES422	ES613	2	983.112038376094
ES422	ES613	3	983.112038376094
ES422	ES613	4	983.112038376094
ES422	ES613	5	983.112038376094
ES422	ES613	6	983.112038376094
ES422	ES613	7	983.112038376094
ES422	ES616	1	4066.50888601021
ES422	ES616	2	4066.50888601021
ES422	ES616	3	4066.50888601021
ES422	ES616	4	4066.50888601021
ES422	ES616	5	4066.50888601021
ES422	ES616	6	4066.50888601021
ES422	ES616	7	4066.50888601021
ES423	ES424	1	4066.50888601021
ES423	ES424	2	4066.50888601021
ES423	ES424	3	4066.50888601021
ES423	ES424	4	4066.50888601021
ES423	ES424	5	4066.50888601021
ES423	ES424	6	4066.50888601021
ES423	ES424	7	4066.50888601021
ES423	ES523	1	3574.95286682216
ES423	ES523	2	3574.95286682216
ES423	ES523	3	3574.95286682216
ES423	ES523	4	3574.95286682216
ES423	ES523	5	3574.95286682216
ES423	ES523	6	3574.95286682216
ES423	ES523	7	3574.95286682216
ES425	ES432	1	1613.112038376094
ES425	ES432	2	1613.112038376094
ES425	ES432	3	1613.112038376094
ES425	ES432	4	1613.112038376094
ES425	ES432	5	1613.112038376094
ES425	ES432	6	1613.112038376094
ES425	ES432	7	1613.112038376094
ES431	ES432	1	11330.4942054315
ES431	ES432	2	11330.4942054315
ES431	ES432	3	11330.4942054315
ES431	ES432	4	11330.4942054315
ES431	ES432	5	11330.4942054315
ES431	ES432	6	11330.4942054315
ES431	ES432	7	11330.4942054315
