Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES419	Li-Ion_BESS	2	10638.298
ES419	Li-Ion_BESS	3	10638.298
ES419	Li-Ion_BESS	4	10638.298
ES419	Li-Ion_BESS	5	10638.298
ES419	Li-Ion_BESS	6	10638.298
ES419	Li-Ion_BESS	7	10638.298
ES421	HydroPumpStorage	1	10638.298
ES421	HydroPumpStorage	2	10638.298
ES421	HydroPumpStorage	3	10638.298
ES421	HydroPumpStorage	4	10638.298
ES421	HydroPumpStorage	5	10638.298
ES421	HydroPumpStorage	6	10638.298
ES421	HydroPumpStorage	7	10638.298
ES421	Li-Ion_BESS	1	10638.298
ES421	Li-Ion_BESS	2	10638.298
ES421	Li-Ion_BESS	3	10638.298
ES421	Li-Ion_BESS	4	10638.298
ES421	Li-Ion_BESS	5	10638.298
ES421	Li-Ion_BESS	6	10638.298
ES421	Li-Ion_BESS	7	10638.298
ES422	HydroPumpStorage	1	10638.298
ES422	HydroPumpStorage	2	10638.298
ES422	HydroPumpStorage	3	10638.298
ES422	HydroPumpStorage	4	10638.298
ES422	HydroPumpStorage	5	10638.298
ES422	HydroPumpStorage	6	10638.298
ES422	HydroPumpStorage	7	10638.298
ES422	Li-Ion_BESS	1	10638.298
ES422	Li-Ion_BESS	2	10638.298
ES422	Li-Ion_BESS	3	10638.298
ES422	Li-Ion_BESS	4	10638.298
ES422	Li-Ion_BESS	5	10638.298
ES422	Li-Ion_BESS	6	10638.298
ES422	Li-Ion_BESS	7	10638.298
ES423	HydroPumpStorage	1	10638.298
ES423	HydroPumpStorage	2	10638.298
ES423	HydroPumpStorage	3	10638.298
ES423	HydroPumpStorage	4	10638.298
ES423	HydroPumpStorage	5	10638.298
ES423	HydroPumpStorage	6	10638.298
ES423	HydroPumpStorage	7	10638.298
ES423	Li-Ion_BESS	1	10638.298
ES423	Li-Ion_BESS	2	10638.298
ES423	Li-Ion_BESS	3	10638.298
ES423	Li-Ion_BESS	4	10638.298
ES423	Li-Ion_BESS	5	10638.298
ES423	Li-Ion_BESS	6	10638.298
ES423	Li-Ion_BESS	7	10638.298
ES424	HydroPumpStorage	1	10638.298
ES424	HydroPumpStorage	2	10638.298
ES424	HydroPumpStorage	3	10638.298
ES424	HydroPumpStorage	4	10638.298
ES424	HydroPumpStorage	5	10638.298
ES424	HydroPumpStorage	6	10638.298
ES424	HydroPumpStorage	7	10638.298
ES424	Li-Ion_BESS	1	10638.298
ES424	Li-Ion_BESS	2	10638.298
ES424	Li-Ion_BESS	3	10638.298
ES424	Li-Ion_BESS	4	10638.298
ES424	Li-Ion_BESS	5	10638.298
ES424	Li-Ion_BESS	6	10638.298
ES424	Li-Ion_BESS	7	10638.298
ES425	HydroPumpStorage	1	10638.298
ES425	HydroPumpStorage	2	10638.298
ES425	HydroPumpStorage	3	10638.298
ES425	HydroPumpStorage	4	10638.298
ES425	HydroPumpStorage	5	10638.298
ES425	HydroPumpStorage	6	10638.298
ES425	HydroPumpStorage	7	10638.298
ES425	Li-Ion_BESS	1	10638.298
ES425	Li-Ion_BESS	2	10638.298
ES425	Li-Ion_BESS	3	10638.298
ES425	Li-Ion_BESS	4	10638.298
ES425	Li-Ion_BESS	5	10638.298
ES425	Li-Ion_BESS	6	10638.298
ES425	Li-Ion_BESS	7	10638.298
ES431	HydroPumpStorage	1	10638.298
ES431	HydroPumpStorage	2	10638.298
ES431	HydroPumpStorage	3	10638.298
ES431	HydroPumpStorage	4	10638.298
ES431	HydroPumpStorage	5	10638.298
ES431	HydroPumpStorage	6	10638.298
ES431	HydroPumpStorage	7	10638.298
ES431	Li-Ion_BESS	1	10638.298
ES431	Li-Ion_BESS	2	10638.298
ES431	Li-Ion_BESS	3	10638.298
ES431	Li-Ion_BESS	4	10638.298
ES431	Li-Ion_BESS	5	10638.298
ES431	Li-Ion_BESS	6	10638.298
ES431	Li-Ion_BESS	7	10638.298
ES432	HydroPumpStorage	1	10638.298
ES432	HydroPumpStorage	2	10638.298
ES432	HydroPumpStorage	3	10638.298
ES432	HydroPumpStorage	4	10638.298
ES432	HydroPumpStorage	5	10638.298
ES432	HydroPumpStorage	6	10638.298
ES432	HydroPumpStorage	7	10638.298
ES432	Li-Ion_BESS	1	10638.298
ES432	Li-Ion_BESS	2	10638.298
ES432	Li-Ion_BESS	3	10638.298
ES432	Li-Ion_BESS	4	10638.298
ES432	Li-Ion_BESS	5	10638.298
ES432	Li-Ion_BESS	6	10638.298
ES432	Li-Ion_BESS	7	10638.298
ES511	HydroPumpStorage	1	10638.298
ES511	HydroPumpStorage	2	10638.298
ES511	HydroPumpStorage	3	10638.298
ES511	HydroPumpStorage	4	10638.298
ES511	HydroPumpStorage	5	10638.298
ES511	HydroPumpStorage	6	10638.298
ES511	HydroPumpStorage	7	10638.298
ES511	Li-Ion_BESS	1	10638.298
ES511	Li-Ion_BESS	2	10638.298
ES511	Li-Ion_BESS	3	10638.298
ES511	Li-Ion_BESS	4	10638.298
ES511	Li-Ion_BESS	5	10638.298
ES511	Li-Ion_BESS	6	10638.298
ES511	Li-Ion_BESS	7	10638.298
ES512	HydroPumpStorage	1	10638.298
ES512	HydroPumpStorage	2	10638.298
ES512	HydroPumpStorage	3	10638.298
ES512	HydroPumpStorage	4	10638.298
ES512	HydroPumpStorage	5	10638.298
ES512	HydroPumpStorage	6	10638.298
ES512	HydroPumpStorage	7	10638.298
ES512	Li-Ion_BESS	1	10638.298
ES512	Li-Ion_BESS	2	10638.298
ES512	Li-Ion_BESS	3	10638.298
ES512	Li-Ion_BESS	4	10638.298
ES512	Li-Ion_BESS	5	10638.298
ES512	Li-Ion_BESS	6	10638.298
ES512	Li-Ion_BESS	7	10638.298
ES513	HydroPumpStorage	1	10638.298
ES513	HydroPumpStorage	2	10638.298
ES513	HydroPumpStorage	3	10638.298
ES513	HydroPumpStorage	4	10638.298
ES513	HydroPumpStorage	5	10638.298
ES513	HydroPumpStorage	6	10638.298
ES513	HydroPumpStorage	7	10638.298
ES513	Li-Ion_BESS	1	10638.298
ES513	Li-Ion_BESS	2	10638.298
ES513	Li-Ion_BESS	3	10638.298
ES513	Li-Ion_BESS	4	10638.298
ES513	Li-Ion_BESS	5	10638.298
ES513	Li-Ion_BESS	6	10638.298
ES513	Li-Ion_BESS	7	10638.298
ES514	HydroPumpStorage	1	10638.298
ES514	HydroPumpStorage	2	10638.298
ES514	HydroPumpStorage	3	10638.298
ES514	HydroPumpStorage	4	10638.298
ES514	HydroPumpStorage	5	10638.298
ES514	HydroPumpStorage	6	10638.298
ES514	HydroPumpStorage	7	10638.298
ES514	Li-Ion_BESS	1	10638.298
ES514	Li-Ion_BESS	2	10638.298
ES514	Li-Ion_BESS	3	10638.298
ES514	Li-Ion_BESS	4	10638.298
ES514	Li-Ion_BESS	5	10638.298
ES514	Li-Ion_BESS	6	10638.298
ES514	Li-Ion_BESS	7	10638.298
ES521	HydroPumpStorage	1	10638.298
ES521	HydroPumpStorage	2	10638.298
ES521	HydroPumpStorage	3	10638.298
ES521	HydroPumpStorage	4	10638.298
ES521	HydroPumpStorage	5	10638.298
ES521	HydroPumpStorage	6	10638.298
ES521	HydroPumpStorage	7	10638.298
ES521	Li-Ion_BESS	1	10638.298
ES521	Li-Ion_BESS	2	10638.298
ES521	Li-Ion_BESS	3	10638.298
ES521	Li-Ion_BESS	4	10638.298
ES521	Li-Ion_BESS	5	10638.298
ES521	Li-Ion_BESS	6	10638.298
ES521	Li-Ion_BESS	7	10638.298
ES522	HydroPumpStorage	1	10638.298
ES522	HydroPumpStorage	2	10638.298
ES522	HydroPumpStorage	3	10638.298
ES522	HydroPumpStorage	4	10638.298
ES522	HydroPumpStorage	5	10638.298
ES522	HydroPumpStorage	6	10638.298
ES522	HydroPumpStorage	7	10638.298
ES522	Li-Ion_BESS	1	10638.298
ES522	Li-Ion_BESS	2	10638.298
ES522	Li-Ion_BESS	3	10638.298
ES522	Li-Ion_BESS	4	10638.298
ES522	Li-Ion_BESS	5	10638.298
ES522	Li-Ion_BESS	6	10638.298
ES522	Li-Ion_BESS	7	10638.298
ES523	HydroPumpStorage	1	10638.298
ES523	HydroPumpStorage	2	10638.298
ES523	HydroPumpStorage	3	10638.298
ES523	HydroPumpStorage	4	10638.298
ES523	HydroPumpStorage	5	10638.298
ES523	HydroPumpStorage	6	10638.298
ES523	HydroPumpStorage	7	10638.298
ES523	Li-Ion_BESS	1	10638.298
ES523	Li-Ion_BESS	2	10638.298
ES523	Li-Ion_BESS	3	10638.298
ES523	Li-Ion_BESS	4	10638.298
ES523	Li-Ion_BESS	5	10638.298
ES523	Li-Ion_BESS	6	10638.298
ES523	Li-Ion_BESS	7	10638.298
ES532	HydroPumpStorage	1	10638.298
ES532	HydroPumpStorage	2	10638.298
ES532	HydroPumpStorage	3	10638.298
ES532	HydroPumpStorage	4	10638.298
ES532	HydroPumpStorage	5	10638.298
ES532	HydroPumpStorage	6	10638.298
ES532	HydroPumpStorage	7	10638.298
ES532	Li-Ion_BESS	1	10638.298
ES532	Li-Ion_BESS	2	10638.298
ES532	Li-Ion_BESS	3	10638.298
ES532	Li-Ion_BESS	4	10638.298
ES532	Li-Ion_BESS	5	10638.298
ES532	Li-Ion_BESS	6	10638.298
ES532	Li-Ion_BESS	7	10638.298
ES611	HydroPumpStorage	1	10638.298
ES611	HydroPumpStorage	2	10638.298
ES611	HydroPumpStorage	3	10638.298
ES611	HydroPumpStorage	4	10638.298
ES611	HydroPumpStorage	5	10638.298
ES611	HydroPumpStorage	6	10638.298
ES611	HydroPumpStorage	7	10638.298
ES611	Li-Ion_BESS	1	10638.298
ES611	Li-Ion_BESS	2	10638.298
ES611	Li-Ion_BESS	3	10638.298
ES611	Li-Ion_BESS	4	10638.298
ES611	Li-Ion_BESS	5	10638.298
ES611	Li-Ion_BESS	6	10638.298
ES611	Li-Ion_BESS	7	10638.298
ES612	HydroPumpStorage	1	10638.298
ES612	HydroPumpStorage	2	10638.298
ES612	HydroPumpStorage	3	10638.298
ES612	HydroPumpStorage	4	10638.298
