date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,257,LTGES0185,770,223,-172.72,-22.48,1429.98,12.2
2024-07-08,0,510,LTGES0354,801,802,59.38,-6.24,393.24,15.2
2024-07-08,0,19,LTGES0012a,1065,22,34.04,5.12,786.49,4.4
2024-07-08,0,1754,LTGES1154b,146,140,130.89,11.14,786.49,16.7
2024-07-08,0,2013,LTGES1327c,142,679,42.18,9.04,1572.98,2.7
2024-07-08,0,2166,LTGES1444,1050,711,-16.4,-2.35,393.24,4.2
2024-07-08,0,673,LTGES0464a,835,836,36.88,-0.75,786.49,4.7
2024-07-08,0,1502,LTGES0988a,734,586,26.77,-0.31,786.49,3.4
2024-07-08,0,925,LTGES0622a,467,385,-283.59,11.95,786.49,36.1
2024-07-08,0,1824,LTGES1200,634,1121,5.76,-1.55,393.24,1.5
2024-07-08,0,2181,TR_3d4e3db8,541,542,25.64,0.23,240.0,10.7
2024-07-08,0,2287,TR_6cc3bf96,133,134,-20.1,-3.05,160.0,12.7
2024-07-08,0,2190,TR_3cdb5cac,159,160,8.48,-17.53,240.0,8.1
2024-07-08,0,2127,LTGES1412b,666,403,34.59,-29.56,2859.96,1.6
2024-07-08,0,1785,LTGES1176,1112,624,-0.27,-0.18,393.24,0.1
2024-07-08,0,2288,TR_023fe59e,167,168,-173.4,-9.72,384.0,45.2
2024-07-08,0,197,LTGES0142b,129,88,16.78,-12.48,786.49,2.7
2024-07-08,0,1545,LTGES1016b,600,436,-15.73,-15.98,786.49,2.9
2024-07-08,0,401,LTGES0274,287,285,-36.96,-1.52,393.24,9.4
2024-07-08,0,1804,LTGES1184b,610,423,137.82,-0.47,786.49,17.5
2024-07-08,0,276,LTGES0201b,863,3,19.57,-7.13,786.49,2.6
2024-07-08,0,778,LTGES0538b,373,433,355.73,-51.76,2859.96,12.6
2024-07-08,0,2204,TR_565d8e08,715,716,-0.54,0.51,160.0,0.5
2024-07-08,0,1973,LTGES1297b,660,411,96.46,-37.15,786.49,13.1
2024-07-08,0,21,LTGES0013a,18,1085,66.92,24.65,786.49,9.1
2024-07-08,0,2096,LTGES1388b,1179,661,-0.05,-0.13,786.49,0.0
2024-07-08,0,244,LTGES0173b,731,963,-19.66,-0.71,786.49,2.5
2024-07-08,0,83,LTGES0056,91,831,-176.63,2.24,393.24,44.9
2024-07-08,0,582,LTGES0405a,273,345,68.91,-12.38,2859.96,2.4
2024-07-08,0,1043,LTGES0688b,920,487,-7.01,4.79,786.49,1.1
2024-07-08,0,2084,LTGES1381a,702,105,-37.65,-0.92,786.49,4.8
2024-07-08,0,2011,LTGES1327a,142,679,42.18,9.04,1572.98,2.7
2024-07-08,0,868,LTGES0588b,772,457,-15.65,9.63,2859.96,0.6
2024-07-08,0,2097,LTGES1389,1216,411,16.98,-9.48,393.24,4.9
2024-07-08,0,2025,LTGES1334b,1220,1186,-20.3,-3.96,786.49,2.6
2024-07-08,0,558,LTGES0386b,823,814,42.87,15.92,786.49,5.8
2024-07-08,0,1540,LTGES1014a,73,1033,27.36,-1.63,786.49,3.5
2024-07-08,0,1974,LTGES1298,659,463,133.67,-0.55,393.24,34.0
2024-07-08,0,1938,LTGES1268b,415,1066,0.13,-0.12,270.7,0.1
2024-07-08,0,871,LTGES0590b,277,952,237.25,-28.41,2859.96,8.4
2024-07-08,0,1615,LTGES1064b,24,296,84.24,17.25,786.49,10.9
2024-07-08,0,3,LTGES0002a,729,1086,-21.53,-1.55,786.49,2.7
2024-07-08,0,545,LTGES0378b,333,34,-74.01,23.54,786.49,9.9
2024-07-08,0,81,LTGES0055a,87,88,-7.82,-20.82,786.49,2.8
2024-07-08,0,1968,LTGES1293,658,1180,3.2,2.29,393.24,1.0
2024-07-08,0,987,LTGES0658,478,84,-22.61,-24.15,1429.98,2.3
2024-07-08,0,2202,TR_b44ed123,815,816,-4.3,0.18,160.0,2.7
2024-07-08,0,2276,TR_c5245018,217,218,-138.02,-7.73,384.0,36.0
2024-07-08,0,1516,LTGES0997,138,135,-23.83,-1.32,393.24,6.1
2024-07-08,0,964,LTGES0646,1079,475,-14.44,4.75,393.24,3.9
2024-07-08,0,751,LTGES0519a,856,1138,-14.2,-0.37,786.49,1.8
2024-07-08,0,2327,TR_c6d90e4e,260,261,-130.99,43.91,384.0,36.0
2024-07-08,0,2163,LTGES1442,214,1195,51.27,-11.51,393.24,13.4
2024-07-08,0,1070,LTGES0708a,924,175,-90.97,-24.81,786.49,12.0
2024-07-08,0,1169,LTGES0769a,420,225,88.2,-8.66,786.49,11.3
2024-07-08,0,1493,LTGES0982a,1021,1020,33.7,-0.73,786.49,4.3
2024-07-08,0,1019,LTGES0674d,909,911,-49.54,-3.54,1572.98,3.2
2024-07-08,0,1684,LTGES1112b,624,1111,-85.0,-36.15,786.49,11.7
2024-07-08,0,2259,TR_6fc17258,561,562,-0.33,0.74,160.0,0.5
2024-07-08,0,2196,TR_ec3a7de9,34,35,-0.05,-186.47,600.0,31.1
2024-07-08,0,1334,LTGES0879,223,737,-77.48,-6.0,1429.98,5.4
2024-07-08,0,1897,LTGES1244a,1078,620,-98.61,-19.81,2859.96,3.5
2024-07-08,0,303,LTGES0218a,238,241,953.91,-59.37,2859.96,33.4
2024-07-08,0,1434,LTGES0942b,851,573,223.13,2.36,2859.96,7.8
2024-07-08,0,2001,LTGES1320a,421,1230,2.18,-1.43,786.49,0.3
2024-07-08,0,1710,LTGES1126,960,139,70.67,-7.61,393.24,18.1
2024-07-08,0,1210,LTGES0797a,181,726,10.74,-1.7,5719.92,0.2
2024-07-08,0,2203,TR_ae86a0a4,333,334,-55.13,-187.39,756.0,25.8
2024-07-08,0,704,LTGES0482b,403,705,-30.14,108.36,2859.96,3.9
2024-07-08,0,1882,LTGES1234b,448,621,-36.79,-1.83,786.49,4.7
2024-07-08,0,1837,LTGES1207d,638,1131,82.89,6.44,5719.92,1.5
2024-07-08,0,2186,TR_b8345e3b,326,327,-32.2,-49.46,240.0,24.6
2024-07-08,0,1468,LTGES0962,427,852,26.23,-2.31,393.24,6.7
2024-07-08,0,117,LTGES0082b,114,116,33.77,-0.57,786.49,4.3
2024-07-08,0,1166,LTGES0767b,432,420,96.34,-7.38,786.49,12.3
2024-07-08,0,1864,LTGES1223b,643,645,54.17,4.85,2859.96,1.9
2024-07-08,0,1050,LTGES0694a,1063,489,-7.34,-0.93,786.49,0.9
2024-07-08,0,1423,LTGES0935a,93,699,-187.09,1.28,786.49,23.8
2024-07-08,0,1542,LTGES1015a,225,600,56.19,-15.57,786.49,7.4
2024-07-08,0,499,LTGES0346,318,319,41.97,-2.56,393.24,10.7
2024-07-08,0,1432,LTGES0941,98,851,-200.17,-10.68,1429.98,14.0
2024-07-08,0,1145,LTGES0754b,1038,487,55.47,-28.29,786.49,7.9
2024-07-08,0,852,LTGES0577a,210,880,9.93,-0.09,786.49,1.3
2024-07-08,0,2083,LTGES1380b,768,274,-2.1,-2.88,2859.96,0.1
2024-07-08,0,182,LTGES0133b,21,156,-360.31,-140.13,2859.96,13.5
2024-07-08,0,176,LTGES0129,163,165,124.46,0.24,393.24,31.6
2024-07-08,0,1199,LTGES0791a,694,525,-60.97,-1.24,786.49,7.8
2024-07-08,0,1675,LTGES1105b,142,1142,1.94,1.22,786.49,0.3
