date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,2,510,LTGES0354,801,802,94.83,0.0,393.24,24.1
2024-07-08,2,19,LTGES0012a,1065,22,22.51,0.0,786.49,2.9
2024-07-08,2,1754,LTGES1154b,146,140,125.9,0.0,786.49,16.0
2024-07-08,2,2013,LTGES1327c,142,679,40.55,0.0,1572.98,2.6
2024-07-08,2,2166,LTGES1444,1050,711,-9.77,0.0,393.24,2.5
2024-07-08,2,673,LTGES0464a,835,836,42.22,0.0,786.49,5.4
2024-07-08,2,1502,LTGES0988a,734,586,45.06,0.0,786.49,5.7
2024-07-08,2,925,LTGES0622a,467,385,-334.18,0.0,786.49,42.5
2024-07-08,2,1824,LTGES1200,634,1121,11.38,0.0,393.24,2.9
2024-07-08,2,2181,TR_10cbc112,475,476,-83.9,0.0,384.0,21.8
2024-07-08,2,2287,TR_023fe59e,167,168,-205.16,0.0,384.0,53.4
2024-07-08,2,2190,TR_f3d46ea1,172,173,23.9,0.0,160.0,14.9
2024-07-08,2,2127,LTGES1412b,666,403,38.76,0.0,2859.96,1.4
2024-07-08,2,1785,LTGES1176,1112,624,-0.27,0.0,393.24,0.1
2024-07-08,2,2288,TR_4cb0b32d,276,277,-11.31,0.0,384.0,2.9
2024-07-08,2,197,LTGES0142b,129,88,8.51,0.0,786.49,1.1
2024-07-08,2,1545,LTGES1016b,600,436,-1.96,0.0,786.49,0.2
2024-07-08,2,401,LTGES0274,287,285,-44.58,0.0,393.24,11.3
2024-07-08,2,1804,LTGES1184b,610,423,139.06,0.0,786.49,17.7
2024-07-08,2,276,LTGES0201b,863,3,16.58,0.0,786.49,2.1
2024-07-08,2,778,LTGES0538b,373,433,304.22,0.0,2859.96,10.6
2024-07-08,2,2204,TR_28414610,155,156,1389.33,0.0,3000.0,46.3
2024-07-08,2,1973,LTGES1297b,660,411,101.09,0.0,786.49,12.9
2024-07-08,2,21,LTGES0013a,18,1085,63.37,0.0,786.49,8.1
2024-07-08,2,2096,LTGES1388b,1179,661,-0.05,0.0,786.49,0.0
2024-07-08,2,244,LTGES0173b,731,963,-27.72,0.0,786.49,3.5
2024-07-08,2,83,LTGES0056,91,831,-197.51,0.0,393.24,50.2
2024-07-08,2,582,LTGES0405a,273,345,67.33,0.0,2859.96,2.4
2024-07-08,2,1043,LTGES0688b,920,487,7.13,0.0,786.49,0.9
2024-07-08,2,2084,LTGES1381a,702,105,-41.67,0.0,786.49,5.3
2024-07-08,2,2011,LTGES1327a,142,679,40.55,0.0,1572.98,2.6
2024-07-08,2,868,LTGES0588b,772,457,-15.73,0.0,2859.96,0.5
2024-07-08,2,2097,LTGES1389,1216,411,17.11,0.0,393.24,4.4
2024-07-08,2,2025,LTGES1334b,1220,1186,-27.32,0.0,786.49,3.5
2024-07-08,2,558,LTGES0386b,823,814,48.69,0.0,786.49,6.2
2024-07-08,2,1540,LTGES1014a,73,1033,27.93,0.0,786.49,3.6
2024-07-08,2,1974,LTGES1298,659,463,134.88,0.0,393.24,34.3
2024-07-08,2,1938,LTGES1268b,415,1066,0.09,0.0,270.7,0.0
2024-07-08,2,871,LTGES0590b,277,952,268.66,0.0,2859.96,9.4
2024-07-08,2,1615,LTGES1064b,24,296,94.0,0.0,786.49,12.0
2024-07-08,2,3,LTGES0002a,729,1086,-25.4,0.0,786.49,3.2
2024-07-08,2,545,LTGES0378b,333,34,-109.36,0.0,786.49,13.9
2024-07-08,2,81,LTGES0055a,87,88,-13.7,0.0,786.49,1.7
2024-07-08,2,1968,LTGES1293,658,1180,3.26,0.0,393.24,0.8
2024-07-08,2,987,LTGES0658,478,84,13.64,0.0,1429.98,1.0
2024-07-08,2,2202,TR_ae86a0a4,333,334,-49.1,0.0,756.0,6.5
2024-07-08,2,2276,TR_01096471,493,494,-268.99,0.0,384.0,70.0
2024-07-08,2,1516,LTGES0997,138,135,-23.35,0.0,393.24,5.9
2024-07-08,2,964,LTGES0646,1079,475,-53.66,0.0,393.24,13.6
2024-07-08,2,751,LTGES0519a,856,1138,-14.27,0.0,786.49,1.8
2024-07-08,2,2327,TR_fa1d5cde,1054,1055,-121.55,0.0,384.0,31.7
2024-07-08,2,2163,LTGES1442,214,1195,56.35,0.0,393.24,14.3
2024-07-08,2,1070,LTGES0708a,924,175,-42.56,0.0,786.49,5.4
2024-07-08,2,1169,LTGES0769a,420,225,98.06,0.0,786.49,12.5
2024-07-08,2,1493,LTGES0982a,1021,1020,34.41,0.0,786.49,4.4
2024-07-08,2,1019,LTGES0674d,909,911,-52.66,0.0,1572.98,3.3
2024-07-08,2,1684,LTGES1112b,624,1111,-4.52,0.0,786.49,0.6
2024-07-08,2,2259,TR_4a6d455c,144,145,-99.75,0.0,240.0,41.6
2024-07-08,2,2196,TR_30aa9055,170,171,-21.31,0.0,160.0,13.3
2024-07-08,2,1334,LTGES0879,223,737,-83.64,0.0,1429.98,5.8
2024-07-08,2,1897,LTGES1244a,1078,620,-153.12,0.0,2859.96,5.4
2024-07-08,2,303,LTGES0218a,238,241,1232.4,0.0,2859.96,43.1
2024-07-08,2,1434,LTGES0942b,851,573,164.54,0.0,2859.96,5.8
2024-07-08,2,2001,LTGES1320a,421,1230,2.16,0.0,786.49,0.3
2024-07-08,2,1710,LTGES1126,960,139,65.79,0.0,393.24,16.7
2024-07-08,2,1210,LTGES0797a,181,726,10.81,0.0,5719.92,0.2
2024-07-08,2,2203,TR_565d8e08,715,716,-0.81,0.0,160.0,0.5
2024-07-08,2,704,LTGES0482b,403,705,-23.88,0.0,2859.96,0.8
2024-07-08,2,1882,LTGES1234b,448,621,-40.08,0.0,786.49,5.1
2024-07-08,2,1837,LTGES1207d,638,1131,86.94,0.0,5719.92,1.5
2024-07-08,2,2186,TR_86c7bc47,242,243,-145.79,0.0,1200.0,12.1
2024-07-08,2,1468,LTGES0962,427,852,29.21,0.0,393.24,7.4
2024-07-08,2,117,LTGES0082b,114,116,50.92,0.0,786.49,6.5
2024-07-08,2,1166,LTGES0767b,432,420,100.34,0.0,786.49,12.8
2024-07-08,2,1864,LTGES1223b,643,645,135.8,0.0,2859.96,4.7
2024-07-08,2,1050,LTGES0694a,1063,489,-7.5,0.0,786.49,1.0
2024-07-08,2,1423,LTGES0935a,93,699,-196.51,0.0,786.49,25.0
2024-07-08,2,1542,LTGES1015a,225,600,60.34,0.0,786.49,7.7
2024-07-08,2,499,LTGES0346,318,319,45.88,0.0,393.24,11.7
2024-07-08,2,1432,LTGES0941,98,851,-20.8,0.0,1429.98,1.5
2024-07-08,2,1145,LTGES0754b,1038,487,15.15,0.0,786.49,1.9
2024-07-08,2,852,LTGES0577a,210,880,14.52,0.0,786.49,1.8
2024-07-08,2,2083,LTGES1380b,768,274,-2.15,0.0,2859.96,0.1
2024-07-08,2,182,LTGES0133b,21,156,-316.25,0.0,2859.96,11.1
2024-07-08,2,176,LTGES0129,163,165,203.89,0.0,393.24,51.8
2024-07-08,2,1199,LTGES0791a,694,525,-26.68,0.0,786.49,3.4
2024-07-08,2,1675,LTGES1105b,142,1142,-1.89,0.0,786.49,0.2
2024-07-08,2,894,LTGES0604c,280,892,54.97,0.0,1179.73,4.7
2024-07-08,2,1231,LTGES0808,529,1140,-141.56,0.0,393.24,36.0
2024-07-08,2,1939,LTGES1269a,572,416,37.42,0.0,786.49,4.8
2024-07-08,2,1720,LTGES1132a,182,627,-1.92,0.0,786.49,0.2
2024-07-08,2,1758,LTGES1156a,599,485,-95.22,0.0,786.49,12.1
2024-07-08,2,2289,TR_41fc927f,272,273,-184.9,0.0,384.0,48.2
2024-07-08,2,1083,LTGES0715a,927,504,40.75,0.0,786.49,5.2
2024-07-08,2,1780,LTGES1172,1106,272,-148.64,0.0,393.24,37.8
2024-07-08,2,554,LTGES0384,820,336,-0.04,0.0,393.24,0.0
2024-07-08,2,623,LTGES0433a,1145,350,521.37,0.0,2859.96,18.2
2024-07-08,2,249,LTGES0178,876,879,135.77,0.0,393.24,34.5
2024-07-08,2,485,LTGES0335,313,799,9.75,0.0,393.24,2.5
2024-07-08,2,2179,TR_72a9d275,125,126,65.4,0.0,756.0,8.7
2024-07-08,2,636,LTGES0441,833,204,-265.81,0.0,393.24,67.6
2024-07-08,2,1736,LTGES1143a,1094,939,-12.95,0.0,786.49,1.6
2024-07-08,2,1239,LTGES0813,215,97,18.81,0.0,393.24,4.8
2024-07-08,2,1659,LTGES1094b,476,35,-45.64,0.0,2859.96,1.6
2024-07-08,2,1290,LTGES0850a,170,552,-45.76,0.0,786.49,5.8
