date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-12-02,15,602,G0392,Solar,PV,491,72.96,16.68,0.02,100.0,0.0
2024-12-02,15,1344,LS_ES01058,LoadShed,LoadShed,1044,9.53,-0.0,1.05,-0.0,10000.0
2024-12-02,15,703,G0631,Solar,PV,836,3.23,0.74,0.0,100.0,0.0
2024-12-02,15,594,G0370,Solar,PV,472,26.38,6.03,0.0,100.0,0.0
2024-12-02,15,651,G0518,Solar,PV,667,447.96,102.43,4.32,100.0,0.0
2024-12-02,15,1046,LS_ES00244,LoadShed,LoadShed,241,12.31,-0.0,12.31,-0.0,10000.0
2024-12-02,15,1976,LS_ES00501,LoadShed,LoadShed,498,23.7,-0.0,12.31,-0.0,10000.0
2024-12-02,15,1253,LS_ES00872,LoadShed,LoadShed,863,56.51,-0.0,28.83,-0.0,10000.0
2024-12-02,15,932,G0344,Solar,Solar Thermal,443,65.15,14.9,0.03,100.0,0.0
2024-12-02,15,962,G0772,Solar,Solar Thermal,1048,134.6,30.78,0.36,100.0,0.0
2024-12-02,15,522,G0231,Solar,PV,321,694.56,158.82,52.2,100.0,0.0
2024-12-02,15,1838,LS_ES01216,LoadShed,LoadShed,1196,16.67,-0.0,7.71,-0.0,10000.0
2024-12-02,15,9,G0704,Biomass,Biomass,949,41.97,0.0,2.46,0.0,53.09
2024-12-02,15,1117,LS_ES00087,LoadShed,LoadShed,87,26.08,-0.0,4.89,-0.0,10000.0
2024-12-02,15,1272,LS_ES00969,LoadShed,LoadShed,958,16.12,-0.0,3.76,-0.0,10000.0
2024-12-02,15,1532,LS_ES01218,LoadShed,LoadShed,1198,15.33,-0.0,15.33,-0.0,10000.0
2024-12-02,15,1382,LS_ES00604,LoadShed,LoadShed,599,127.53,-0.0,23.62,-0.0,10000.0
2024-12-02,15,552,G0296,Solar,PV,380,72.96,16.68,0.05,100.0,0.0
2024-12-02,15,192,G0185,Wind,Onshore,278,100.71,7.15,-0.0,100.0,0.18
2024-12-02,15,12,G0846,Biomass,Biomass,1151,34.42,0.0,1.54,0.0,53.09
2024-12-02,15,1342,LS_ES00570,LoadShed,LoadShed,565,19.4,-0.0,0.6,-0.0,10000.0
2024-12-02,15,357,G0732,Wind,Onshore,981,78.68,5.58,1.83,100.0,0.18
2024-12-02,15,1885,LS_ES00864,LoadShed,LoadShed,855,7.53,-0.0,1.72,-0.0,10000.0
2024-12-02,15,417,G0898,Wind,Onshore,1206,410.69,29.15,0.52,100.0,0.18
2024-12-02,15,1700,LS_ES01014,LoadShed,LoadShed,1000,1.83,-0.0,0.0,-0.0,10000.0
2024-12-02,15,1608,LS_ES01055,LoadShed,LoadShed,1041,114.8,-0.0,23.61,-0.0,10000.0
2024-12-02,15,694,G0616,Solar,PV,823,134.6,30.78,-3.5,100.0,0.0
2024-12-02,15,1157,LS_ES00429,LoadShed,LoadShed,426,12.52,-0.0,2.41,-0.0,10000.0
2024-12-02,15,1260,LS_ES00611,LoadShed,LoadShed,606,2.88,-0.0,2.88,-0.0,10000.0
2024-12-02,15,426,G0914,Wind,Onshore,1221,42.49,3.02,0.0,100.0,0.18
2024-12-02,15,991,BESS_ES00685,Battery,Li-Ion,678,0.0,0.0,0.0,100.0,0.0
2024-12-02,15,539,G0267,Solar,PV,347,252.25,57.68,0.95,100.0,0.0
2024-12-02,15,2034,LS_ES00100,LoadShed,LoadShed,100,133.75,-0.0,27.27,-0.0,10000.0
2024-12-02,15,1301,LS_ES01082,LoadShed,LoadShed,1067,11.23,-0.0,2.0,-0.0,10000.0
2024-12-02,15,2038,LS_ES00292,LoadShed,LoadShed,289,29.18,-0.0,7.83,-0.0,10000.0
2024-12-02,15,1340,LS_ES00838,LoadShed,LoadShed,829,8.93,-0.0,1.77,-0.0,10000.0
2024-12-02,15,1014,LS_ES00300,LoadShed,LoadShed,297,13.9,-0.0,1.01,-0.0,10000.0
2024-12-02,15,761,G0782,Solar,PV,1078,8.88,2.03,-0.65,100.0,0.0
2024-12-02,15,610,G0407,Solar,PV,512,2.96,0.68,0.0,100.0,0.0
2024-12-02,15,1660,LS_ES00152,LoadShed,LoadShed,149,14.81,-0.0,5.07,-0.0,10000.0
2024-12-02,15,739,G0712,Solar,PV,956,45.5,10.4,0.12,100.0,0.0
2024-12-02,15,1259,LS_ES00837,LoadShed,LoadShed,828,31.13,-0.0,11.86,-0.0,10000.0
2024-12-02,15,1317,LS_ES00548,LoadShed,LoadShed,543,0.53,-0.0,-0.51,-0.0,10000.0
