date,hour,gen_id,fuel,technology,dispatch_mw
2024-07-08,11,G0404,Wind,Onshore,0.0
2024-07-08,11,BESS_ES00708,Battery,Li-Ion,0.0
2024-07-08,11,G0833,Wind,Onshore,0.0
2024-07-08,11,G0457,Wind,Onshore,0.0
2024-07-08,11,LS_ES00520,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01101,LoadShed,LoadShed,0.0
2024-07-08,11,G0107,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES00092,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01134,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00327,LoadShed,LoadShed,0.0
2024-07-08,11,G0649,Gas,Gas_turbine,0.0
2024-07-08,11,LS_ES00663,LoadShed,LoadShed,0.0
2024-07-08,11,G0751,Wind,Onshore,0.0
2024-07-08,11,LS_ES00107,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00181,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00787,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00964,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01188,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00468,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00518,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00293,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00307,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00675,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00914,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00953,LoadShed,LoadShed,0.0
2024-07-08,11,G0888,Wind,Onshore,0.0
2024-07-08,11,LS_ES00215,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00460,LoadShed,LoadShed,0.0
2024-07-08,11,G0287,Solar,PV,0.0
2024-07-08,11,LS_ES01155,LoadShed,LoadShed,0.0
2024-07-08,11,G0065,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES01112,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00494,LoadShed,LoadShed,0.0
2024-07-08,11,G0163,Solar,PV,0.0
2024-07-08,11,LS_ES00414,LoadShed,LoadShed,0.0
2024-07-08,11,G0741,Hydro,reservoir,0.0
2024-07-08,11,LS_ES00080,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00132,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00819,LoadShed,LoadShed,0.0
2024-07-08,11,G0906,Wind,Onshore,0.0
2024-07-08,11,LS_ES00515,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00437,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00915,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00543,LoadShed,LoadShed,0.0
2024-07-08,11,G0198,Gas,Gas_turbine,0.0
2024-07-08,11,LS_ES00175,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00668,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01103,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00907,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00212,LoadShed,LoadShed,0.0
2024-07-08,11,G0456,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES00885,LoadShed,LoadShed,0.0
2024-07-08,11,G0440,Wind,Onshore,0.0
2024-07-08,11,LS_ES00098,LoadShed,LoadShed,0.0
2024-07-08,11,G0134,Wind,Onshore,0.0
2024-07-08,11,LS_ES00533,LoadShed,LoadShed,0.0
2024-07-08,11,G0461,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES00383,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00829,LoadShed,LoadShed,0.0
2024-07-08,11,G0213,Wind,Onshore,0.0
2024-07-08,11,LS_ES00906,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00083,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00977,LoadShed,LoadShed,0.0
2024-07-08,11,G0740,Hydro,pumped_storage,0.0
2024-07-08,11,LS_ES01251,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00958,LoadShed,LoadShed,0.0
2024-07-08,11,G0228,Wind,Onshore,0.0
2024-07-08,11,LS_ES00980,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00798,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01227,LoadShed,LoadShed,0.0
2024-07-08,11,G0016,Wind,Onshore,0.0
2024-07-08,11,G0442,Wind,Onshore,0.0
2024-07-08,11,LS_ES00759,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00975,LoadShed,LoadShed,0.0
2024-07-08,11,G0537,Wind,Onshore,0.0
2024-07-08,11,G0386,Gas,Combined_cycle,0.0
2024-07-08,11,G0737,Wind,Onshore,0.0
2024-07-08,11,LS_ES00358,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00664,LoadShed,LoadShed,0.0
2024-07-08,11,G0900,Wind,Onshore,0.0
2024-07-08,11,LS_ES01088,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00676,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01220,LoadShed,LoadShed,0.0
2024-07-08,11,G0095,Hydro,pumped_storage,0.0
2024-07-08,11,LS_ES00051,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00410,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00881,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00366,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00490,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00077,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01025,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00006,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00943,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01004,LoadShed,LoadShed,0.0
2024-07-08,11,G0646,Wind,Onshore,0.0
2024-07-08,11,LS_ES01153,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00286,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00089,LoadShed,LoadShed,0.0
2024-07-08,11,G0511,Wind,Onshore,0.0
2024-07-08,11,LS_ES00171,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01044,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00555,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00111,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00769,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00812,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01206,LoadShed,LoadShed,0.0
