date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00029,1.0262,0.0
2024-07-08,0,ES00795,1.0246,14.607
2024-07-08,0,ES00556,1.0202,0.342
2024-07-08,0,ES00958,1.0294,4.979
2024-07-08,0,ES00370,1.03,1.15
2024-07-08,0,ES01252,1.0276,7.289
2024-07-08,0,ES00959,1.025,5.819
2024-07-08,0,ES00518,1.0289,1.883
2024-07-08,0,ES00713,1.0225,1.131
2024-07-08,0,ES00500,1.03,3.499
2024-07-08,0,ES00507,1.0255,1.451
2024-07-08,0,ES01206,1.0163,-4.258
2024-07-08,0,ES01209,1.0332,4.332
2024-07-08,0,ES00925,1.0227,2.837
2024-07-08,0,ES00620,1.0211,3.996
2024-07-08,0,ES00987,1.0226,-1.216
2024-07-08,0,ES00377,1.03,2.884
2024-07-08,0,ES01146,1.0305,3.655
2024-07-08,0,ES00895,1.0295,6.581
2024-07-08,0,ES00367,1.0285,0.613
2024-07-08,0,ES00812,1.0292,5.22
2024-07-08,0,ES00575,1.0201,3.408
2024-07-08,0,ES00044,1.0222,-1.488
2024-07-08,0,ES00172,1.0256,-8.669
2024-07-08,0,ES00192,1.0245,1.629
2024-07-08,0,ES00432,1.0308,3.504
2024-07-08,0,ES00094,1.0206,10.654
2024-07-08,0,ES00291,1.0193,-1.586
2024-07-08,0,ES00073,1.0231,-1.233
2024-07-08,0,ES00082,1.0306,3.612
2024-07-08,0,ES00911,1.0215,0.999
2024-07-08,0,ES00079,1.0279,-0.263
2024-07-08,0,ES00985,1.0228,-1.225
2024-07-08,0,ES01110,1.0181,-3.691
2024-07-08,0,ES01083,1.0273,-0.932
2024-07-08,0,ES00510,1.0281,5.611
2024-07-08,0,ES00430,1.0191,-4.442
2024-07-08,0,ES01203,1.0267,-2.92
2024-07-08,0,ES00394,1.0245,0.484
2024-07-08,0,ES00539,1.0224,0.61
2024-07-08,0,ES00577,1.0179,-4.38
2024-07-08,0,ES00008,1.0253,1.995
2024-07-08,0,ES00064,1.0334,4.139
2024-07-08,0,ES01031,1.0185,-4.467
2024-07-08,0,ES00091,1.032,1.249
2024-07-08,0,ES01140,1.0241,3.64
2024-07-08,0,ES00933,1.03,2.764
2024-07-08,0,ES00735,1.0301,4.094
2024-07-08,0,ES00501,1.0269,1.601
2024-07-08,0,ES00159,1.0352,5.703
2024-07-08,0,ES00223,1.0261,0.047
2024-07-08,0,ES00022,1.023,-3.088
2024-07-08,0,ES00887,1.03,2.896
2024-07-08,0,ES00386,1.0329,3.996
2024-07-08,0,ES00327,1.0272,4.684
2024-07-08,0,ES00870,1.0364,5.121
2024-07-08,0,ES00707,1.0175,8.617
2024-07-08,0,ES00493,1.0244,-2.401
2024-07-08,0,ES00509,1.0282,6.008
2024-07-08,0,ES00884,1.027,-3.137
2024-07-08,0,ES00072,1.03,1.546
2024-07-08,0,ES00869,1.014,1.434
2024-07-08,0,ES01106,1.0237,-2.862
2024-07-08,0,ES00674,1.0282,6.074
2024-07-08,0,ES00475,1.0233,2.313
2024-07-08,0,ES01051,1.0226,-2.628
2024-07-08,0,ES00527,1.0283,3.194
2024-07-08,0,ES01249,1.026,4.364
2024-07-08,0,ES00776,1.0259,1.319
2024-07-08,0,ES00148,1.0259,-0.222
2024-07-08,0,ES00036,1.03,3.324
2024-07-08,0,ES01100,1.025,-1.66
2024-07-08,0,ES00356,1.0275,2.298
2024-07-08,0,ES00235,1.0291,0.688
2024-07-08,0,ES00410,1.0275,7.29
2024-07-08,0,ES00054,1.024,2.77
2024-07-08,0,ES00733,1.0273,-0.812
2024-07-08,0,ES00101,1.0161,-2.784
2024-07-08,0,ES00801,1.0243,8.166
2024-07-08,0,ES00724,1.0304,9.053
2024-07-08,0,ES00956,1.0313,1.009
2024-07-08,0,ES01068,1.0371,25.289
2024-07-08,0,ES01133,1.03,12.401
2024-07-08,0,ES00338,1.0246,1.849
2024-07-08,0,ES00636,1.0219,-8.091
2024-07-08,0,ES00171,1.0291,2.38
2024-07-08,0,ES00406,1.0336,5.655
2024-07-08,0,ES01027,1.0186,-4.256
2024-07-08,0,ES00273,1.0241,-0.854
2024-07-08,0,ES00479,1.0286,2.859
2024-07-08,0,ES01041,1.0295,23.733
2024-07-08,0,ES00965,1.0261,-1.311
2024-07-08,0,ES00456,1.0267,3.098
2024-07-08,0,ES00892,1.0323,4.501
2024-07-08,0,ES00088,1.0233,2.956
2024-07-08,0,ES00752,1.0262,-3.14
2024-07-08,0,ES00077,1.0341,-0.158
2024-07-08,0,ES00601,1.0253,-4.046
2024-07-08,0,ES00983,1.0229,-1.219
2024-07-08,0,ES00452,1.03,2.887
2024-07-08,0,ES01102,1.0305,12.117
2024-07-08,0,ES00390,1.0311,2.454
2024-07-08,0,ES00625,1.0327,-2.024
2024-07-08,0,ES00453,1.0172,-9.686
2024-07-08,0,ES00917,1.027,0.564
2024-07-08,0,ES00591,1.0179,-4.404
2024-07-08,0,ES00982,1.0285,8.208
2024-07-08,0,ES00641,1.0283,-0.122
2024-07-08,0,ES00043,1.0295,0.721
2024-07-08,0,ES01111,1.0261,-1.314
2024-07-08,0,ES01229,1.0266,1.312
2024-07-08,0,ES01018,1.012,2.115
2024-07-08,0,ES00902,1.0264,4.658
2024-07-08,0,ES00535,1.0235,0.151
2024-07-08,0,ES00607,1.0218,-3.3
2024-07-08,0,ES00710,1.0293,0.954
2024-07-08,0,ES00599,1.0269,-6.915
2024-07-08,0,ES00657,1.0276,7.222
2024-07-08,0,ES01060,1.0235,-2.652
2024-07-08,0,ES00943,1.027,0.537
2024-07-08,0,ES00973,1.0232,-0.13
2024-07-08,0,ES00525,1.0269,0.087
2024-07-08,0,ES00009,1.0274,3.134
2024-07-08,0,ES01135,1.0239,-0.602
2024-07-08,0,ES00557,1.0164,-2.68
2024-07-08,0,ES00195,1.0262,1.412
2024-07-08,0,ES00012,1.0276,-3.32
